,NO,Name,Ht.,Wt.,Pos,CL,Hometown / High School,Twitter,Current School Name,Instagram
0,0,Derrick Edwards,5' 11'',180,DB,R-So.,"Miami, Fla. / Palmetto",7derrickedwards,Louisville,prez7x
1,1,Jamari Thrash,6' 1'',180,WR,R-Jr.,"LaGrange, Ga. / Troup County",Jamari_Thrash,Louisville,
2,2,"Jarvis Brownlee, Jr.",6' 0'',190,DB,Jr.,"Miami Gardens, Fla. / Carol City",Jarvisbrownlee3,Louisville,
3,2,Khalib Johnson,6' 2'',220,QB,So.,"Pinson, Ala. / Clay-Chalkville",khalibjohnson2,Louisville,
4,3,Kevin Coleman,5' 11'',180,WR,So.,"St. Louis, Mo. / St. Mary's",,Louisville,
5,3,Quincy Riley,6' 0'',185,DB,R-Jr.,"Columbia, S.C. / A.C. Flora",QuincyRiley03,Louisville,qriley1
6,5,Josh Minkins,6' 2'',195,DB,Jr.,"Louisville, Ky. / Ballard",JoshMinkinsJr,Louisville,joshminkinsjr
7,6,Stanquan Clark,6' 2'',225,LB,Fr.,"Miami, Fla. / Miami Central",moneymannquann,Louisville,
8,6,Evan Conley,6' 2'',210,QB,Sr.,"Marietta, Ga. / Kell",Econ11_,Louisville,evan.conley_
9,7,Jimmy Calloway,6' 0'',185,WR,R-So.,"Morrow, Ga. / Morrow",Jimmycalloway1,Louisville,
10,9,Ashton Gillotte,6' 3'',270,DL,Jr.,"Boca Raton, Fla. / Boca Raton",AshtonGillotte,Louisville,gelato_54
11,9,Ahmari Huggins-Bruce,5' 11'',170,WR,Jr.,"Dillon, S.C. / Dillon",ahmari_huggins,Louisville,ahmarihb
12,10,Pierce Clarkson,6' 1'',190,QB,Fr.,"Bellflower, Calif. / St. John Bosco",PierceClarkson_,Louisville,
13,10,Benjamin Perry,6' 3'',205,DB,R-So.,"Country Club Hills, Ill. / Hillcrest",perry_ben10,Louisville,b_.perry10
14,11,Jamari Johnson,6' 5'',260,TE,Fr.,"Inglewood, Calif. / Inglewood",JamariJJ2,Louisville,
15,13,Jack Plummer,6' 5'',215,QB,Sr.,"Gilbert, Ariz. / Gilbert",Jackplummer13,Louisville,Jackplummer13
16,14,Stephen Herron,6' 4'',240,DL,R-Sr.,"Louisville, Ky. / Trinity",,Louisville,
17,14,Sam Vaulton,6' 3'',215,QB,So.,"Santa Monica, Calif. / Santa Monica",,Louisville,
18,15,Kameron Wilson,6' 2'',220,DL,R-So.,"McDonough, Ga. / Mount Zion",Kameron00074791,Louisville,kxmm_
19,17,Jackson Hamilton,6' 0'',220,LB,R-So.,"Woodstock, Ga. / Blessed Trinity Catholic",Jackson_Ham1,Louisville,jacksonhamilton1
20,17,Nathan McElroy,6' 2'',195,QB,Jr.,"Louisville, Ky. / Trinity",natemac_5,Louisville,
21,18,Gilbert Frierson,6' 1'',215,DB-LB,R-Sr.,"Coconut Grove, Fla. / Coral Gables",_gbe2,Louisville,Official_gb3
22,18,Jadon Thompson,6' 2'',185,WR,Jr.,"Chicago, Ill. / Naperville, Ill.",,Louisville,
23,18,Sam Young,6' 3'',195,QB,So.,"LaGrange, Ky. / Oldham County",,Louisville,
24,19,Brock Domann,6' 2'',225,QB,Sr.,"Colorado Springs, Colo. / Independence CC",DomannBrock,Louisville,bdomann19
25,19,Marquis Grove-Killebrew,6' 0'',180,DB,R-Fr.,"Kennesaw, Ga. / North Cobb",qfromtheville,Louisville,
26,19,Popeye Williams,6' 3'',245,DL,So.,"Westfield, Ind. / Westfield",Popeye2022,Louisville,
27,20,Victoine Brown,6' 4'',250,DL,R-So.,"Loganville, Ga. / Grayson",BrownVictoine,Louisville,
28,20,Maurice Turner,5' 10'',185,RB,So.,"Nicholls, Ga. / Coffee",2022Maurice,Louisville,
29,21,D'Angelo Hutchinson,6' 3'',195,DB,So.,"St. Petersburg, Fla. / Northeast",DangeloHU5,Louisville,
30,23,K.J. Cloyd,6' 2'',220,LB,Sr.,"Columbia, Miss. / Columbia",Kj_Cloyd,Louisville,kj.cloyd
31,23,Isaac Guerendo,6' 1'',225,RB,Sr.,"Clayton, Ind. / Avon",isaacguerendo,Louisville,isaac_guerendo
32,24,Jaylin Alderman,6' 1'',230,LB,Jr.,"Valdosta, Ga. / Valdosta",jaylin_alderman,Louisville,jaylinalderman_
33,25,Jawhar Jordan,5' 10'',180,RB,R-Jr.,"Chandler, Ariz. / Hamilton/Syracuse",JaJo_25,Louisville,
34,26,M.J. Griffin,6' 1'',210,DB,R-Jr.,"Ypsilanti, Mich. / Temple",OG3ooda,Louisville,
35,27,Devin Neal,6' 0'',205,DB,Jr.,"Lexington, Ky. / Douglass",,Louisville,
36,28,Trey Franklin,5' 10'',180,DB,R-Jr.,"Robins, Ga. / Iowa Western CC",trey1franklin,Louisville,
37,29,Jeremy Hamilton,6' 1'',190,DB,So.,"Georgetown, Ky. / Scott County",jeremy86280066,Louisville,jeremyhamil.tom
38,30,Grant Goodman,5' 11'',190,RB,So.,"Louisville, Ky. / St. Xavier",GrantGoodman17,Louisville,
39,30,Shavarick Williams,6' 0'',190,DB,Jr.,"Sicily Island, La. / Adams County Christian",,Louisville,
40,32,Ryheem Craig,6' 3'',235,DL,R-So.,"Taylorsville, N.C. / Alexander Central",CraigRyheem,Louisville,
41,32,James Turner,6' 0'',200,K,Sr.,"Saline, Mich. / Saline",jamesturner004,Louisville,jamesturner4
42,33,Mario Agyen,5' 7'',190,RB,R-Jr.,Bronx N.Y. / Northern Highlands,mario_agyen,Louisville,
43,33,Jeremiah Caldwell,6' 3'',180,DB,So.,"Belleville, Mich. / Belleville",J_caldwell7,Louisville,
44,34,TJ Quinn,6' 0'',230,LB,R-So.,"Valdosta, Ga. / Lowndes",tjquinn_,Louisville,tjquinn1
45,35,Antonio Watts,6' 2'',225,LB,So.,"Columbus, Ga. / Carver",,Louisville,
46,36,Jatavian Churchill,5' 11'',180,WR,Jr.,"Springfield, Ky. / Washington County",jahh02,Louisville,jahh.02
47,37,Austin Holland,5' 11'',190,WR,Sr.,"Leesburg, Va. / Heritage",tempouno1,Louisville,tempouno
48,37,Jacob Williams,6' 0'',200,LS,So.,"Ocean Springs, Md. / Ocean Springs",,Louisville,
49,39,Daniel Martens,5' 11'',185,DB,So.,"Franklin, Wisc. / Franklin",,Louisville,
50,40,Brock Travelstead,6' 1'',205,K,Jr.,"Acworth, Ga. / North Paulding",KP12Travelstead,Louisville,legatron38
51,41,Ramon Puryear,6' 3'',260,DL,R-Jr.,"Louisville, Ky. / Eastern",RamonPuryear8,Louisville,rp41
52,42,Josh Lifson,6' 3'',250,TE,Gr.,"Louisville, Ky. / Kentucky Country Day",JoshLifson,Louisville,
53,43,Jack Reiger,6' 1'',225,LB,R-Sr.,"Hoffman Estates, Ill. / J.B. Conant",Jreiger22,Louisville,
54,44,Selah Brown,6' 2'',285,DL,So.,"Louisville, Ky. / Male",grindtimesayy,Louisville,
55,44,Francis Sherman,6' 3'',235,TE,R-Jr.,"Bay Village, Ohio / Bay",Francis2Sherman,Louisville,francis_sherman
56,45,Duane Martin,6' 2'',260,TE,Jr.,"Laurens, S.C. / Laurens District 55",Duanemartin01,Louisville,Duanemartin21
57,45,Seth Pugh,6' 2'',200,DB,Jr.,"Pikeville, Ky. / Pikeville",,Louisville,
58,46,Darrian Bell,6' 0'',235,LB,Jr.,"Danville, Ky. / Danville",Dbeezy25,Louisville,darrianbell46
59,47,Jaylen Williams,6' 1'',185,LS,So.,"Lawrenceville, Ga. / Archer",,Louisville,
60,48,Shai Kochav,6' 3'',240,LS,R-So.,"Miami, Fla. / TRU Prep",shai_kochav,Louisville,shai_kochav
61,48,Dakadrien Saunders,5' 10'',185,DB,So.,"Eminence, Ky. / Eminence",,Louisville,
62,50,Yirayah LaNier,6' 2'',245,DL,Jr.,"Brentwood, Tenn. / Brentwood",Yirayah_,Louisville,Yirayah_
63,51,Austin Collins,6' 3'',290,OL,R-So.,"Perrysburg, Ohio / Perrysburg",austinc50,Louisville,austin.collins51
64,56,Renato Brown,6' 4'',315,OL,R-Jr.,"West Palm Beach, Fla. / Palm Beach Central",Renato__59,Louisville,Renato__59
65,58,Charlie Ely,6' 2'',230,LB,R-So.,"Louisville, Ky. / Trinity",CharlieEly2,Louisville,charlie.ely10
66,60,Sam Secrest,6' 6'',305,OL,R-Fr.,"Indianapolis, Ind. / Roncalli",samsecrest72,Louisville,
67,61,Bryan Hudson,6' 4'',305,OL,R-Sr.,"Georgetown, Ky. / Scott County",HudsonBryan,Louisville,hudson_71_60
68,64,Travis Taylor,6' 3'',285,OL,Jr.,"Houston, Texas / St. Thomas",,Louisville,
69,65,Izaiah Reed,6' 5'',295,OL,So.,"Jackson, Tenn. / North Side",lilflyzae,Louisville,
70,67,John Paul Flores,6' 4'',305,OL,R-Sr.,"Arlington, Texas / All Saints",jpflores_76,Louisville,
71,68,Michael Gonzalez,6' 4'',305,OL,Jr.,"Indian Trail, N.C. / Sun Valley",mgonzalez_71,Louisville,michael.gonzalez6
72,71,Joshua Black,6' 2'',280,OL,R-Jr.,"Stone Mountain, Ga. / Stephenson",BlackSJoshua,Louisville,j7black1
73,72,Emmanual Sowders,6' 4'',290,OL,Gr.,"Louisville, Ky. / Jeffersontown",EmmanualSowders,Louisville,emmanualsowders72
