,Statistic,No.,Name,Pos.,Ht.,Wt.,Year,Hometown / Previous School,Image,Title
78,,59.0,Henry Lutovsky,OL,6-6,310.0,So.,"Crawfordsville, Iowa / Mount Pleasant",,
79,,61.0,Dylan Parrott,OL,6-5,340.0,R-Fr.,"Eldridge, Iowa / North Scott",,
80,,62.0,Ben Scott,OL,6-5,300.0,Jr.,"Honolulu, Hawaii / St. Louis HS / Arizona State",,
81,,63.0,Nouredin Nouili,OL,6-4,315.0,Sr.,"Frankfurt, Germany / Norris HS / Colorado State",,
82,,65.0,Teddy Prochazka,OL,6-10,320.0,So.,"Elkhorn, Neb. / Elkhorn South",,
83,,66.0,Ezra Miller,OL,6-6,310.0,Jr.,"Holstein, Iowa / Ridge View HS / Iowa",,
84,,67.0,Joey Mancino,OL,6-3,280.0,So.,"Holmdel, N.J. / Holmdel",,
85,,69.0,Turner Corcoran,OL,6-6,300.0,Jr.,"Lawrence, Kan. / Free State",,
86,,70.0,Keegan Menning,OL,6-5,325.0,So.,"Fremont, Neb. / Fremont",,
87,,71.0,Jacob Hood,OL,6-8,345.0,R-Fr.,"Nashville, Tenn. / Hillsboro HS / Georgia",,
88,,72.0,Nash Hutmacher,DL,6-4,330.0,Jr.,"Oacoma, S.D. / Chamberlain",,
89,,75.0,Maverick Noonan,LB,6-3,245.0,Fr.,"Omaha, Neb. / Elkhorn South",,
90,,77.0,Gunnar Gottula,OL,6-5,300.0,Fr.,"Lincoln, Neb. / Southeast",,
91,,79.0,Spencer Pankratz,PK,6-1,200.0,So.,"Highlands Ranch, Colo. / Valor Christian HS / Furman",,
92,,80.0,Shawn Hardy II,WR,6-3,190.0,So.,"Kingsland, Ga. / Camden County",,
93,,80.0,Jacob Herbek,DL,6-5,260.0,Jr.,"Grand Island, Neb. / Central Catholic",,
94,,82.0,Isaiah Garcia-Castaneda,WR,6-0,185.0,Jr.,"Twentynine Palms, Calif. / Twentynine Palms HS / Saddleback College / New Mexico State",,
95,,83.0,Jake Appleget,TE,6-4,220.0,R-Fr.,"Lincoln, Neb. / Southeast",,
96,,84.0,Alex Bullock,WR,6-2,195.0,So.,"Omaha, Neb. / Creighton Prep",,
97,,86.0,AJ Rollins,TE,6-6,220.0,So.,"Omaha, Neb. / Creighton Prep",,
98,,87.0,Brodie Tagaloa,DL,6-3,260.0,R-Fr.,"Pittsburg, Calif. / De La Salle",,
99,,88.0,Ru'Quan Buckley,DL,6-6,290.0,So.,"Wyoming, Mich. / Godwin Heights",,
100,,88.0,Victor Jones Jr.,WR,6-1,195.0,R-Fr.,"Orlando, Fla. / Olympia",,
101,,89.0,Arik Gilbert,TE,6-6,260.0,So.,"Marietta, Ga. / Marietta HS / LSU / Georgia",,
102,,90.0,Jacob Hohl,P,6-2,215.0,Jr.,"Lincoln, Neb. / Southwest HS / Nebraska Wesleyan",,
103,,90.0,Stephon Wynn Jr.,DL,6-3,305.0,Sr.,"Anderson, S.C. / IMG (Fla.) Academy / Alabama",,
104,,91.0,Cameron Lenhardt,DL,6-3,245.0,Fr.,"Staten Island, N.Y. / IMG (Fla.) Academy",,
105,,93.0,Kai Wallin,DL,6-5,235.0,So.,"Sacramento, Calif. / Jesuit HS / American River CC",,
106,,96.0,Camden Witucki,LS,6-2,225.0,So.,"Grand Blanc, Mich. / Grand Blanc Community",,
107,,97.0,Blaise Gunnerson,DL,6-6,250.0,So.,"Carroll, Iowa / Kuemper Catholic",,
108,,99.0,Luke Lindenmeyer,TE,6-4,250.0,R-Fr.,"La Vista, Neb. / Papillion-La Vista",,
109,,99.0,Ty Robinson,DL,6-6,310.0,Jr.,"Gilbert, Ariz. / Higley",,
110,,,Tristan Alvano,PK,6-1,185.0,Fr.,"Omaha, Neb. / Westside",,
111,,,Cole Ballard,RB,6-0,190.0,Fr.,"Elkhorn, Neb. / Elkhorn South",,
112,,,D'Andre Barnes,DB,6-0,175.0,Fr.,"Aurora, Co. / Regis Jesuit",,
113,,,Demitrius Bell,WR,6-1,185.0,Fr.,"Nashville, Tenn. / McGavock",,
114,,,Vincent Carroll-Jackson,DL,6-5,270.0,Fr.,"Harrisburg, Pa. / Central Dauphin East",,
115,,,Jeremiah Charles,WR,6-2,160.0,Fr.,"Arlington, Texas / Arlington Martin",,
116,,,Malachi Coleman,WR,6-4,185.0,Fr.,"Lincoln, Neb. / Lincoln East",,
117,,,Jaidyn Doss,WR,6-0,195.0,Fr.,"Raymore, Mo. / Raymore-Peculiar",,
118,,,Cayden Echternach,TE,6-3,250.0,Fr.,"Bennington, Neb. / Bellevue West",,
119,,,Eric Fields,LB,6-2,195.0,Fr.,"Ardmore, Okla. / Ardmore",,
120,,,Mason Goldman,OL/DL,6-5,260.0,Fr.,"Gretna, Neb. / Gretna",,
121,,,Kwinten Ives,RB,6-2,185.0,Fr.,"Beverly, N.J. / Palmyra",,
122,,,Mason Jones,DB,6-0,185.0,Fr.,"Omaha, Neb. / Burke",,
123,,,Brock Knutson,OL,6-7,300.0,Fr.,"Scottsbluff, Neb. / Scottsbluff",,
124,,,Sua Lefotu,DL,6-4,300.0,Fr.,"Bellflower, Calif. / St. John Bosco",,
125,,,Jaylen Lloyd,WR,5-11,160.0,Fr.,"Omaha, Neb. / Westside",,
126,,,Jason Maciejczak,OL/DL,6-3,320.0,Fr.,"Pierre, S.D. / T.F. Riggs",,
127,,,Ethan Nation,DB,5-10,160.0,Fr.,"Roswell, Ga. / Roswell",,
128,,,Dylan Rogers,LB,6-3,240.0,Fr.,"Cypress, Texas / Cypress Woods",,
129,,,Grant Seagren,OL,6-6,250.0,Fr.,"Oakland, Neb. / Oakland-Craig",,
130,,,Sam Sledge,OL,6-3,285.0,Fr.,"Omaha, Neb. / Creighton Prep",,
