,Statistic,#,Full Name,Pos.,Ht.,Wt.,Class,Hometown,Previous School,Image,Name,Title
91,,79.0,Thomas Little,OG,6-2,334.0,Fr.,"Monroe, La.",Carroll,,,
92,,80.0,Will Derrick,WR,6-0,158.0,Jr.,"Shreveport, La.",Calvary Baptist Academy,,,
93,,82.0,Zach Rasmussen,TE,6-4,232.0,5th,"Anna, Texas",Cisco College,,,
94,,83.0,Max McGee,WR,6-0,171.0,Fr.,"Hattiesburg, Miss.",Presbyterian Christian School,,,
95,,84.0,Parker Hill,WR,5-10,186.0,Fr.,"Destin, Fla.",Fort Walton Beach,,,
96,,85.0,Rylan Green,TE,6-3,260.0,R-Fr.,"West Monroe, La.",West Monroe,,,
97,,86.0,Justin Kimber,WR,6-3,187.0,R-Fr.,"Arlington, Texas",Mansfield Timberview,,,
98,,87.0,Nolan Quinlan,TE,6-5,247.0,Jr.,"Westhampton Beach, N.Y.",Wagner College,,,
99,,88.0,Jordan Crumpton,TE,6-4,237.0,So.,"Shreveport, La.",Huntington,,,
100,,89.0,Trent Ginn,WR,5-6,166.0,Fr.,"Rayville, La.",Riverfield Academy,,,
101,,90.0,Sir'Darrius Ellis,DT,6-0,295.0,Jr.,"Monroe, La.",Ouachita Parish,,,
102,,91.0,Caleb Thomas,DT,6-1,299.0,Gr.,"Mansfield, Texas",UConn,,,
103,,92.0,James Smith,DE,6-3,231.0,Fr.,"Virginia Beach, Va.",Fork Union Military Academy,,,
104,,93.0,Anthony Campbell,DE,6-7,277.0,Jr.,"Bartow, Fla.",Independence CC,,,
105,,94.0,Seth Mason,DE,6-3,258.0,So.,"Allen, Texas",Allen,,,
106,,95.0,Garrett Guirlando,DE,6-3,272.0,R-Fr.,"West Monroe, La.",Louisiana Tech,,,
107,,96.0,Cooper Webb,DL,6-1,282.0,So.,"Davis, Okla.",Northeastern Oklahoma A&M College,,,
108,,97.0,James Gillespie,DT,6-2,311.0,R-Fr.,"Woodbridge, Va.",Bishop Ireton,,,
109,,98.0,Tikey Reese,DL,6-1,275.0,R-Fr.,"Monroe, La.",Southern U.,,,
