,Statistic,#,Name,Pos.,Class,Ht.,Wt.,Hometown / High School,Twitter,Instagram,Image,Title
62,,64.0,Tag Bonnema,DL,R-Fr.,6-4,232.0,"Zeeland, Mich. / Zeeland",TagBonnema,tagbonnema,,
63,,65.0,Trevor Campbell,OL,Gr.,6-3,315.0,"Naperville, Ill. / Naperville Central",Trevor7816,trevor_78_16,,
64,,66.0,Isaiah Street,DL,R-Fr.,6-5,225.0,"Brownsburg, Ind. / Brownsburg",IsaiahStreet3,isaiahstreet51,,
65,,67.0,Trevor Shaw,OL,So.,6-6,305.0,"Flemington, N.J. / Cheshire Academy (CT)",TrevorShaw75,t_shaw75_,,
66,,68.0,Jakari Liston,OL,R-Fr.,6-3,270.0,"Flint, Mich. / Canterbury (Conn.)",jakariliston,jliston68,,
67,,69.0,Logan Wilson,DL,R-So.,6-3,283.0,"Appleton, Wis. / Kimberly",20lwilson,logan.t.wilson,,
68,,70.0,Calvin Muraski,OL,R-So.,6-7,306.0,"Green Bay, Wis. / Bay Port",CalvinMuraski,calvinmuraski,,
69,,71.0,Adam Vandervest,OL,Jr.,6-6,301.0,"Verona, Wis. / Verona Area",adamvandervest,adamvandervest,,
70,,75.0,Addison West,OL,R-Jr.,6-3,305.0,"Cary, Ill. / Cary-Grove",AddisonWest1,addisonwest70,,
71,,76.0,Chad Schuester,OL,R-Fr.,6-6,270.0,"Franklin, Wis. / Syracuse",,,,
72,,77.0,Jacob Gideon,OL,Jr.,6-2,295.0,"Union, Ky. / Ryle",jgideon65,_jakegideon,,
73,,78.0,Luke Zanotti,OL,Fr.,6-4,285.0,"Bay City, Mich. / Bay City Central",,,,
74,,79.0,Caden Peddie,OL,R-So.,6-3,270.0,"Grandville, Mich. / Grandville",CadenPeddie,caden.peddie,,
75,,80.0,Cam Hedgecock,WR,R-So.,5-10,177.0,"Ft. Wayne, Ind. / Carroll",cam_hedgecock24,cam.hedgecock,,
76,,82.0,Elliott Grashuis,WR,R-So.,6-5,180.0,"Grand Rapids, Mich. / South Christian",ejgras03,ejsosmoove,,
77,,83.0,Kadinn Morris,TE,R-So.,6-3,245.0,"Denham Springs, La. / Sacred Heart-Griffin (Ill.)",KaddinM,kadinn_morris,,
78,,86.0,Blake Bosma,TE,R-So.,6-3,230.0,"Holland, Mich. / West Ottawa",blake_bosma,blakeboz616,,
79,,87.0,Mitch Bartol,TE,Jr.,6-3,255.0,"Kimberly, Wis. / Kimberly",Mitchbartol1,mitchbartol,,
80,,90.0,Isaiah Green,DL,So.,6-2,300.0,"St. Cloud, Min. / Iowa Western CC",,,,
81,,91.0,Marcel Tyler,DL,So.,6-4,270.0,"Racine, Wis. / Iowa Western CC",,,,
82,,92.0,Jayden Childers,DL,R-Fr.,6-3,230.0,"Indianapolis, Ind. / Brebeuf Jesuit",Jayden_C17,iamjaydenchilders,,
83,,93.0,Corey Walker,DL,R-So.,6-5,270.0,"Normal, Ill. / Normal West",Corey_Walker_,coreyuwalker,,
84,,95.0,Ryan Wynn,DL,So.,6-3,275.0,"Anderson, S.C. / Georgia Military College",,,,
85,,97.0,Patrick Grange,DE,R-So.,6-2,252.0,"Naperville, Ill. / Naperville Cenral",pjgrange32,patrickgrange1,,
86,,98.0,Joshua Nobles,DL,R-So.,6-2,250.0,"Blackwood, N.J. / Woodrow Wilson",JN_Wwhs,856.j0sh,,
87,,99.0,Marshawn Kneeland,DL,R-Jr.,6-3,275.0,"Grand Rapids, Mich. / Godwin Heights",MarshawnKneela1,m_kneeland94,,
0,,,Lance Taylor,,,,,,,,,Head Coach
1,,,Lou Esposito,,,,,,,,,Assistant Coach - Defensive Coordinator
2,,,Billy Cosh,,,,,,,,,Offensive Coordinator/Quarterbacks Coach
3,,,Jeff Popovich,,,,,,,,,Assistant Coach - Special Teams Coordinator
4,,,Eric Evans,,,,,,,,,Assistant Coach - Tight Ends
5,,,David Denham,,,,,,,,,Assistant Coach - Defensive Line
6,,,Donald Celiscar,,,,,,,,,Assistant Coach - Cornerbacks
7,,,Trevor Mendelson,,,,,,,,,Assistant Coach - Offensive Line
8,,,Tim Cooper,,,,,,,,,Assistant Coach - Safeties
9,,,Jordan Reid,,,,,,,,,Assistant Coach - Wide Receivers
10,,,Anthony Davis,,,,,,,,,Assistant Coach - Running Backs
11,,,KC Zenner,,,,,,,,,Graduate Assistant
12,,,Adam Lovan,,,,,,,,,Offensive Graduate Assistant
13,,,Gaizka Crowley,,,,,,,,,General Manager
14,,,Mike Parrish,,,,,,,,,Associate AD - Football
15,,,Cam Allen,,,,,,,,,Director of Player Personnel
16,,,Adam Fry,,,,,,,,,Director of Football Video
17,,,Grant Geib,,,,,,,,,Director of Strength & Conditioning
18,,,Kyle Murray,,,,,,,,,Assistant Strength & Conditioning Coach
19,,,Taylor Jorgensen,,,,,,,,,Football Equipment Manager
20,,,Paige Robbins,,,,,,,,,"Assistant- Operations, HC, Recruiting"
21,,,William Birach,,,,,,,,,Defensive Student Assistant
22,,,Mitchell Boles,,,,,,,,,Offensive Student Assistant
23,,,Jace Lowe,,,,,,,,,Offensive Quality Control
24,,,Matt McNulty,,,,,,,,,Defensive Quality Control
25,,,Jake Passinault,,,,,,,,,Defensive Student Assistant
26,,,Tom Zbikowski,,,,,,,,,Defensive Quality Control
27,,,Chris Cosh,,,,,,,,,Senior Analyst
28,,,Todd Leitschurch,,,,,,,,,Director of Analytics / Game Management
29,,,Scott Raber,,,,,,,,,Defensive Quality Control
30,,,Alec Lettl,,,,,,,,,Defensive Graduate Assistant
31,,,Will Ahrens,,,,,,,,,Offensive Graduate Assistant
