,Number,Name,Position,Height,Weight,Class,Hometown,High school,Current School Name,Previous School,Social
50,47.0,Jarard Mosely,Defensive Back,6-2,183 lbs.,Sophomore,"West Palm Beach, Fla.",Cardinal Newman,Kentucky,,twitter  instagram
51,48.0,Jack Varga,Fullback,5-11,222 lbs.,Senior,"Louisville, Ky.",St. Xavier,Kentucky,,twitter  instagram  nil
52,49.0,Jai Williams,Outside Linebacker,6-5,214 lbs.,Junior,"Lake Forest, Ill.",Lake Forest,Kentucky,,twitter  instagram
53,50.0,Darrion Henry-Young,Defensive Lineman,6-4,264 lbs.,Junior,"Cincinnati, Ohio",Princeton,Kentucky,Ohio State,twitter  instagram
54,50.0,Koby Keenum,Offensive Lineman,6-4,295 lbs.,Freshman,"Florence, Ala.",Mars Hill Bible School,Kentucky,,
55,51.0,Tanner Bowles,Offensive Lineman,6-5,306 lbs.,Senior,"Glasgow, Ky.",Glasgow,Kentucky,Alabama,
56,54.0,D’Eryk Jackson,Inside Linebacker,6-1,245 lbs.,Senior,"Dublin, Ga.",West Laurens,Kentucky,,twitter  instagram
57,55.0,Noah Matthews,Outside Linebacker,6-5,237 lbs.,Redshirt Freshman,"Bridgeville, Del.",Woodbridge,Kentucky,,instagram
58,55.0,Clay Perry,Long Snapper,6-0,199 lbs.,Senior,"Upton, Ky.",Central Hardin,Kentucky,,twitter  instagram
59,56.0,Deondre Buford,Offensive Lineman,6-3,312 lbs.,Junior,"Detroit, Mich.",Martin Luther King,Kentucky,,twitter  instagram
60,57.0,Jonathan Berry,Offensive Lineman,6-5,294 lbs.,Junior,"Stamping Ground, Ky.",Scott County,Kentucky,,twitter  instagram
61,58.0,Lucas Padgett,Offensive Lineman,6-4,315 lbs.,Junior,"Birmingham, Ala.",La Cueva,Kentucky,,twitter  instagram
62,59.0,Conner Long,Outside Linebacker,6-3,213 lbs.,Junior,"East Lansing, Mich.",East Lansing,Kentucky,,twitter  instagram
63,62.0,Jager Burton,Offensive Lineman,6-4,307 lbs.,Sophomore,"Lexington, Ky.",Frederick Douglass,Kentucky,,twitter  instagram
64,65.0,Grant Bingham,Offensive Lineman,6-5,321 lbs.,Redshirt Freshman,"Johnson County, Ky.",Johnson Central,Kentucky,,twitter  instagram
65,67.0,Paul Rodriguez,Offensive Lineman,6-5,324 lbs.,Sophomore,"Mason, Ohio",William Mason,Kentucky,,twitter  instagram
