,Statistic,#,Full Name,Pos.,Ht.,Wt.,Class,Hometown,Current School Name,Image,Name,Title
22,,16.0,La'Derrick Bell,WR,6-2,206.0,R-Jr.,"Anniston, Ala.",Jacksonville State,,,
23,,16.0,Laletia Hale,LB,6-0,210.0,R-Jr.,"Montgomery, Ala.",Jacksonville State,,,
24,,17.0,Sean Brown,TE,6-5,250.0,R-Jr.,"Rome, Ga.",Jacksonville State,,,
25,,19.0,Pearson Baldwin,TE,6-2,215.0,R-Fr.,"Springville, Ala.",Jacksonville State,,,
26,,19.0,Cam Williams,BAN,6-6,241.0,R-So.,"Gwinnett, Ga.",Jacksonville State,,,
27,,22.0,J'Wan Evans,RB,5-11,193.0,Jr.,"Philadelphia, Pa.",Jacksonville State,,,
28,,22.0,Jabari Mack,CB,6-1,175.0,So.,"Jacksonville, Fla.",Jacksonville State,,,
29,,23.0,Kolbi Fuqua,SAF,6-3,212.0,R-Jr.,"Cordova, Ala.",Jacksonville State,,,
30,,23.0,Bam Smith,RB,5-9,185.0,R-Sr.,"Houston, Texas",Jacksonville State,,,
31,,24.0,Brad Harper,LB,6-1,210.0,Rf.,"Auburn, Ala.",Jacksonville State,,,
32,,24.0,Isaiah Schmidtke,RB,5-11,205.0,Rf.,"Dallas, Texas",Jacksonville State,,,
33,,25.0,Anwar Lewis,RB,5-8,180.0,R-Jr.,"Pensacola, Fla.",Jacksonville State,,,
34,,26.0,Ron Wiggins,RB,5-11,180.0,R-Jr.,"Jacksonville, Ala.",Jacksonville State,,,
35,,27.0,Austin Ambush,SAF,6-3,210.0,Jr.,"Gaithersburg, Md.",Jacksonville State,,,
36,,28.0,Reggion Bennett,RB,5-9,170.0,Rf.,"Hartsville, S.C.",Jacksonville State,,,
37,,29.0,Cade Backe,P,6-0,180.0,R-So.,"Crystal Lake, Ill.",Jacksonville State,,,
38,,29.0,Josh Richard,WR,5-9,175.0,R-Jr.,"Gadsden, Ala.",Jacksonville State,,,
39,,30.0,"Jaylen ""J-Rock"" Swain",DE,5-10,255.0,Jr.,"Oxford, Ala.",Jacksonville State,,,
40,,34.0,Jalen Bustamante,SAF,6-1,205.0,Sr.,"Alabaster, Ala.",Jacksonville State,,,
41,,35.0,Ronnie Ellis,SAF,6-2,195.0,Rf.,"Macclenny, Fla.",Jacksonville State,,,
42,,36.0,Keeshaun Glanton,RB,5-11,195.0,Rf.,"Luverne, Ala.",Jacksonville State,,,
43,,37.0,Garrison Rippa,K,5-10,180.0,Fr.,"Locust Grove, Ga.",Jacksonville State,,,
44,,38.0,Tristan Wells,LB,5-10,205.0,R-Jr.,"Talladega, Ala.",Jacksonville State,,,
45,,39.0,Nylan Harper,CB,5-11,165.0,Rf.,"Pascagoula, Miss.",Jacksonville State,,,
46,,41.0,"Curley Young, Jr.",BAN,6-2,218.0,R-Jr.,"Austin, Texas",Jacksonville State,,,
47,,42.0,Carter Dingler,LB,6-1,212.0,Fr.,"Attalla, Ala.",Jacksonville State,,,
48,,43.0,Thomas Peterson,LS,6-4,260.0,R-Jr.,"Mequon, Wis.",Jacksonville State,,,
49,,44.0,Jaden Thomas,LB,6-3,225.0,Rf.,"Hueytown, Ala.",Jacksonville State,,,
50,,45.0,Cole Fuller,LB,6-3,240.0,R-So.,"Gardendale, Ala.",Jacksonville State,,,
51,,46.0,Nick Covington,CB,6-1,198.0,Rf.,"Opelika, Ala.",Jacksonville State,,,
52,,47.0,Alen Karajic,K,6-5,220.0,Jr.,"Ooltewah, Tenn.",Jacksonville State,,,
53,,47.0,Josh Leonard,TE,6-6,200.0,Rf.,"Atlanta, Ga.",Jacksonville State,,,
54,,48.0,Jaleel Birdsong,LB,6-3,225.0,Rf.,"Harvest, Ala.",Jacksonville State,,,
55,,50.0,Javarius Hoskins,DE,6-4,250.0,Jr.,"Tuscaloosa, Ala.",Jacksonville State,,,
56,,51.0,"Jasperlynn Peacock, Jr.",OL,6-3,280.0,R-So.,"Lovejoy, Ga.",Jacksonville State,,,
57,,53.0,Luke Hogan,LS,6-0,225.0,R-So.,"Ardmore, Ala.",Jacksonville State,,,
58,,54.0,Daveion Harley,OL,6-2,305.0,Fr.,"Havana, Fla.",Jacksonville State,,,
59,,55.0,Hayden Zepp,OL,6-3,300.0,Rf.,"St. Petersburg, Fla.",Jacksonville State,,,
60,,57.0,Jeff Marks,DL,6-3,280.0,R-Sr.,"Mobile, Ala.",Jacksonville State,,,
61,,58.0,Dmarkes Davis,DL,6-0,220.0,R-Sr.,"Birmingham, Ala.",Jacksonville State,,,
62,,58.0,Bronson Laney,OL,6-3,285.0,Fr.,"Fort Payne, Ala.",Jacksonville State,,,
63,,64.0,Cade Nayadley,OL,6-4,285.0,R-Jr.,"Ringgold, Ga.",Jacksonville State,,,
64,,65.0,Kevin Ellis,OL,6-2,265.0,R-So.,"Stockbridge, Ga.",Jacksonville State,,,
65,,67.0,Xavier Bausley,OL,6-5,295.0,Rf.,"Charleston, W.Va.",Jacksonville State,,,
66,,69.0,Treylen Brown,OL,6-3,307.0,R-Jr.,"Spartanburg, S.C.",Jacksonville State,,,
67,,70.0,Mason Richards,OL,6-4,310.0,Rf.,"Cullman, Ala.",Jacksonville State,,,
68,,72.0,Drew Padgett,OL,6-7,305.0,R-So.,"Birmingham, Ala.",Jacksonville State,,,
69,,73.0,Will O'Steen,OL,6-4,280.0,R-So.,"White Plains, Ala.",Jacksonville State,,,
70,,74.0,Clay Webb,OL,6-3,290.0,R-Jr.,"Oxford, Ala.",Jacksonville State,,,
71,,78.0,Brock Robey,OL,6-3,290.0,Jr.,"Clarksburg, W.Va.",Jacksonville State,,,
72,,80.0,Ryan Brandon,WR,6-0,175.0,Rf.,"Boerne, Texas",Jacksonville State,,,
73,,81.0,Jacob Barrick,TE,6-3,220.0,So.,"Martinsburg, W.Va.",Jacksonville State,,,
74,,82.0,Cai Mayowa,WR,6-2,197.0,Rf.,"Hoover, Ala.",Jacksonville State,,,
