,Statistic,#,Name,Pos.,Ht.,Wt.,Yr.,Exp.,Current School Name,Hometown,High School,Previous School,Major,Image,Title
78,,52.0,DJ Campbell,OL,6-3,323.0,Fr.,FR,Texas,"Arlington, Texas",Bowie,,Undeclared,,
79,,52.0,Chris Hannon,EDGE,6-2,219.0,Sr.,SQ,Texas,"Houston, Texas",Second Baptist,,Business: Finance,,
80,,53.0,Aaron Bryant,DL,6-2,307.0,Fr.,FR,Texas,"Southaven, Miss.",Southaven,,Undeclared,,
81,,54.0,Cole Hutson,OL,6-5,305.0,Fr.,FR,Texas,"Frisco, Texas",Frisco,,Business Undeclared,,
82,,55.0,Winston Smith,LB,6-1,208.0,Fr.,HS,Texas,"Houston, Texas",Memorial,,,,
83,,56.0,Cameron Williams,OL,6-5,364.0,Fr.,FR,Texas,"Duncanville, Texas",Duncanville,,Undeclared,,
84,,57.0,Christian Rizzi,DS,5-11,224.0,So.,SQ,Texas,"Metairie, La.",Metairie Park Country Day,,Undeclared,,
85,,58.0,Lance St. Louis,DS,6-0,217.0,Fr.,FR,Texas,"Gilbert, Ariz.",Williams Field,,Undeclared,,
86,,59.0,Will Pliska,OL,6-5,295.0,Sr.,TR,Texas,"Kirkland, Wash.",Lake Washington,Washington,,,
87,,61.0,Sawyer Goram-Welch,OL,6-4,296.0,So.,1L,Texas,"Longview, Texas",Longview,,Economics,,
88,,62.0,Connor Robertson,OL,6-4,307.0,Fr.,FR,Texas,"Austin, Texas",Westlake,,Business,,
89,,63.0,Rick McBroom,OL,6-2,302.0,Fr.,FR,Texas,"Fort Worth, Texas",All Saints Episcopal,,Economics,,
90,,64.0,Michael Balis,OL,6-5,275.0,Sr.,SQ,Texas,"Plano, Texas",Plano West,,Business: Management Information Systems,,
91,,65.0,Jake Majors,OL,6-3,314.0,So.,1L,Texas,"Prosper, Texas",Prosper,,Business: Management,,
92,,66.0,Chad Wolf,OL,6-3,274.0,Sr.,SQ,Texas,"Austin, Texas",Lake Travis,,Corporate Communication,,
93,,67.0,Malik Agbo,OL,6-4,339.0,Fr.,FR,Texas,"Federal Way, Wash.",Beamer,,Undeclared,,
94,,69.0,Andrej Karic,OL,6-5,306.0,So.,2L,Texas,"Southlake, Texas",Carroll,,Physical Culture and Sports,,
95,,70.0,Christian Jones,OL,6-6,333.0,Sr.,3L,Texas,"Cypress, Texas",Cypress Woods,,Sport Management,,
96,,71.0,Logan Parr,OL,6-4,314.0,So.,SQ,Texas,"Helotes, Texas",O'Connor,,Corporate Communication,,
97,,72.0,Neto Umeozulu,OL,6-4,306.0,Fr.,FR,Texas,"Allen, Texas",Allen,,Undeclared,,
98,,75.0,Junior Angilau,OL,6-6,311.0,Sr.,3L,Texas,"Salt Lake City, Utah",East,,Strategic Communication,,
99,,76.0,Hayden Conner,OL,6-5,324.0,So.,1L,Texas,"Katy, Texas",Taylor,,Physics,,
100,,78.0,Kelvin Banks Jr.,OL,6-4,320.0,Fr.,FR,Texas,"Humble, Texas",Summer Creek,,Undeclared,,
101,,79.0,Max Merril,OL,6-4,292.0,R-Fr.,RS,Texas,"Houston, Texas",Strake Jesuit,,Business Undeclared,,
102,,80.0,Myles Hill,TE,6-2,207.0,Fr.,FR,Texas,"Arlington, Texas",Martin,,Undeclared,,
103,,81.0,Juan Davis,TE,6-4,219.0,So.,1L,Texas,"Fort Worth, Texas",Everman,,Undeclared,,
104,,82.0,Gus Asel,WR,6-1,214.0,Jr.,SQ,Texas,"Frisco, Texas",Reedy,Hendrix College,Economics,,
105,,83.0,Gabe Sulser,WR,5-9,163.0,Sr.,TR,Texas,"Billings, Mont.",Billings Senior,Montana,Public Affairs (MPA),,
106,,84.0,Reece Beauchamp,WR,6-2,190.0,Fr.,FR,Texas,"Austin, Texas",Vandegrift,,Undeclared,,
107,,85.0,Gunnar Helm,TE,6-5,251.0,So.,1L,Texas,"Englewood, Colo.",Cherry Creek,,Undeclared,,
108,,86.0,Paxton Anderson,WR,6-4,214.0,Jr.,SQ,Texas,"Dallas, Texas",Highland Park,,Sport Management,,
109,,86.0,Zac Swanson,DL,6-4,257.0,Fr.,FR,Texas,"Phoenix, Ariz.",Brophy College Prep,,Corporate Communication,,
110,,87.0,Parker Alford,WR,5-10,176.0,Sr.,SQ,Texas,"Dripping Springs, Texas",Dripping Springs,,Exercise Science,,
111,,88.0,Casey Cain,WR,6-3,195.0,R-Fr.,RS,Texas,"New Orleans, La.",Warren Easton,,Undeclared,,
112,,88.0,Barryn Sorrell,EDGE,6-4,258.0,So.,1L,Texas,"New Orleans, La.",Holy Cross,,Business Undeclared,,
