,Number,Name,Position,HT.,WT.,YEAR,HOMETOWN,LAST SCHOOL
87,77.0,Tegra Tshabola,OL,6-6,327.0,So.,"West Chester, Ohio",Lakota West
88,78.0,Jakob James,OL,6-5,297.0,Sr.,"Cincinnati, Ohio",Elder
89,80.0,Noah Rogers,WR,6-2,194.0,Fr.,"Rolesville, N.C.",Rolesville
90,80.0,Bryson Rodgers,WR,6-2,175.0,Fr.,"Zephyrhills, Fla.",Wiregrass Ranch
91,81.0,Sam Hart,TE,6-5,248.0,Jr.,"Aurora, Colo.",Cherokee Trail
92,82.0,David Adolph,WR,6-4,205.0,So.,"Dublin, Ohio",Jerome
93,83.0,Joop Mitchell,WR,5-10,180.0,Jr.,"Wyoming, Ohio",Wyoming
94,84.0,Joe Royer,TE,6-5,252.0,Sr.,"Cincinnati, Ohio",Elder
95,85.0,Bennett Christian,TE,6-5,245.0,So.,"Acworth, Ga.",Allatoona
96,87.0,Reis Stocksdale,WR,5-9,188.0,Jr.,"Morrow, Ohio",Little Miami
97,88.0,Gee Scott Jr.,TE,6-3,240.0,Sr.,"Seattle, Wash.",Eastside Catholic
98,89.0,Zak Herbstreit,TE,6-2,240.0,Jr.,"Nashville, Tenn.",Montgomery Bell Academy
99,90.0,Jaden McKenzie,DT,6-2,286.0,Sr.,"Wake Forest, N.C.",Wake Forest H.S.
100,91.0,Tyleik Williams,DT,6-2,290.0,Jr.,"Manassas, Va.",Unity Reed
101,92.0,Caden Curry,DE,6-3,259.0,So.,"Greenwood, Ind.",Center Grove
102,93.0,Hero Kanu,DT,6-4,305.0,So.,"Rancho Santa Margarita, Calif.",Santa Margarita Catholic
103,95.0,Casey Magyar,K,5-10,189.0,Jr.,"Dublin, Ohio",Kent State
104,96.0,Collin Johnson,LS,6-0,209.0,Jr.,"New Albany, Ohio",New Albany
105,97.0,Kenyatta Jackson,DE,6-5,252.0,So.,"Hollywood, Fla.",Chaminade-Madonna Prep
106,98.0,Jake Seibert,K,6-1,205.0,Sr.,"Cincinnati, Ohio",La Salle
0,,Ryan Day,Head Coach,,,,,
1,,Brian Hartline,Offensive Coordinator / Wide Receivers Coach,,,,,
2,,Jim Knowles,Defensive Coordinator / Linebackers Coach,,,,,
3,,Tony Alford,Assistant Head Coach for Offense / Running Backs Coach,,,,,
4,,Justin Frye,Associate Head Coach for Offense / Offensive Line Coach,,,,,
5,,Larry Johnson,Associate Head Coach / Defensive Line Coach,,,,,
