,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Major,Hometown / High School,Previous School,Twitter,Instagram,Opendorse,Image,Name,Title
46,,27.0,Caleb Atogho,DB,6-0,170.0,Fr.,,"Baltimore, MD / Franklin",,,calebatogho,caleb-atogho,,,
47,,27.0,Eli Mason,RB,6-1,210.0,Fr.,Undecided (Letters and Science),"Ashburn, VA / Stone Bridge",,elimason26,elimason26,eli-mason,,,
48,,29.0,Challen Faamatau,RB,5-11,225.0,Sr.,Sociology,"Kalihi, HI / Farrington",Coffeyville Community College,CFaamatau,Challenfaamatau,challen-faamatau,,,
49,,29.0,Ian Maloney,LB,6-2,210.0,R-Fr.,Undecided (Letters and Science),"Belle Vernon, PA / Belle Vernon Area",Louisville,Ian_Maloney13,ianwmaloney,ian-maloney,,,
50,,30.0,Justin Hunter,WR,6-3,180.0,Fr.,,"Baltimore, MD / Concordia Prep",,,,,,,
51,,30.0,Durell Nchami,LB,6-4,260.0,R-Sr.,Family Science,"Silver Spring, MD / Paint Branch",,Superdurell,Superdurell,durell-nchami,,,
52,,31.0,Andrew Booker,LB,6-3,238.0,Fr.,,"Cincinnati, OH / Winton Woods",,andrew_rashad,,bam-booker,,,
53,,31.0,Antwain Littleton II,RB,6-0,235.0,R-Fr.,Undecided (Letters & Sciences),"Greenbelt, MD / St. John’s College",,7Golivee,7Golivee,antwain-littleton,,,
54,,32.0,Shane Mosley,DB,5-11,205.0,R-So.,Economics,"Havertown, PA / Haverford",,_Shanemosley3,_Shanemosley3,shane-mosley-profile,,,
55,,33.0,Mosiah Nasili-Kite,DL,6-2,310.0,R-Sr.,Family Science,"Pittsburg, CA / Emerald Ridge",Independence CC,mosiahkite,mosiahkite,mosiah-nasili-kite,,,
56,,34.0,Lavain Scruggs,DB,6-2,190.0,Fr.,Architecture,"Baltimore, MD / Archbishop Spalding",,,,lavain-scruggs,,,
57,,35.0,Joseph Bearns III,FB,6-1,280.0,R-Fr.,Kinesiology,"Huntingtown, MD / St. Frances Academy",,JoeBearns,Jbearns3,joseph-bearns-iii,,,
58,,35.0,Kobi Thomas,LB,6-1,235.0,Sr.,Criminology and Criminal Justice,"Largo, MD / DeMatha Catholic",,KobiThomas,,kobi-thomas,,,
59,,36.0,Owura Berko,DB,6-0,195.0,R-Jr.,Biology,"Crofton, MD / The Severn School",,Berko_owura,__Owura__,owura-serebourowura-berko,,,
60,,36.0,Aeneas Smith,RB,5-9,220.0,Fr.,Undecided (Letters and Science),"Columbia, MD / Archbishop Spalding",,,,aeneas-smith,,,
61,,37.0,Jordan Cannon,LB,5-11,210.0,Fr.,Management,"Southfield, MI / St. Mary's",,,,jordan-cannon,,,
62,,38.0,Chad Ryland,K,6-0,183.0,Sr.,,"Lebanon, PA / Cedar Crest",Eastern Michigan,C_Ryland38,c.ryland38,chad-ryland,,,
63,,39.0,Daniel Owens,DL,6-2,245.0,Fr.,Letters and Science,"Pikesville, MD / Calvert Hall",,DO__x11,d_owens27,daniel-owens,,,
64,,40.0,Taizse Johnson,DL,6-1,310.0,So.,Undecided (Letters and Science),"District Heights, MD / St. John’s College",,TaizseJohnson,aliasta_,taizse-johnson,,,
65,,41.0,Rex Fleming,DB,5-11,195.0,Jr.,Kinesiology,"Owings, MD / Northern",,RexFleming8,Rexfleming,rex-fleming,,,
66,,42.0,Kameron Blount,LB,6-3,240.0,R-Jr.,Family Science,"Waldorf, MD / St. Charles",,Kameronblount4,kblount4,kameron-blount,,,
67,,43.0,Brenden Segovia,P,6-1,230.0,R-Fr.,Undecided (Letters and Sciences),"Los Angeles, CA / Oaks Christian School",,Brenden_segovia,Brendenxsegovia,brenden-segovia,,,
68,,44.0,Caleb Wheatland,LB,6-2,235.0,Fr.,Communications,"Centreville, VA / Avalon School",,CalebWheatland,caleb_wheatland,caleb-wheatland,,,
69,,45.0,Jake Foggia,LS,5-11,230.0,R-So.,Undecided (Letters & Sciences),"West Long Branch, NJ / Red Bank Catholic",Oregon,Foggia_jake,Jake_foggia56,jake-foggia,,,
70,,45.0,Kellan Wyatt,LB,6-1,225.0,Fr.,,"Glen Burnie, MD / Archbishop Spalding",,KellanWyatt,go1ivee__,kellan-wyatt,,,
71,,47.0,Harrison Beattie,K,5-11,195.0,R-So.,Undecided (Letters and Sciences),"Phoenix, MD / McDonogh",Oregon,Hbeattie9,Hbeattie1_,harrison-beattie,,,
72,,47.0,Maxwell Brown,TE,6-4,200.0,R-Fr.,Undecided (Letters and Sciences),"Olney, MD / Sherwood",,,Og.maxbrown,maxwell-brown,,,
73,,48.0,Terrance Butler Jr.,LB,6-3,225.0,R-Fr.,Undecided (Letters & Sciences),"Baltimore, Md. / Saint Frances Academy",,_Terrancebutler,Tjbutlerr,terrance-butler,,,
74,,49.0,David Brownlee,LB,6-1,230.0,Sr.,Management,"Clinton, MD / Bishop McNamara",,AyyooDaVe,Ayyoodj,david-brownlee,,,
75,,50.0,Johari Branch,OL,6-3,330.0,Sr.,Family Science,"Chicago, IL / Phillips Academy",,Dafamous_Hari,Dafamous_Hari,johari-branch,,,
76,,50.0,Alex Simet,LB,5-10,220.0,Sr.,Finance,"Towson, MD / Towson",,AlexAlexsimet58,Alexsimet,alexanderalex-simet,,,
77,,51.0,Coltin Deery,OL,6-4,295.0,Fr.,Archaeology,"Glen Mills, PA / Malvern Prep",,,coltin.deery,coltin-deery,,,
78,,51.0,Josh Morris,LB,6-2,215.0,Jr.,Sociology,"Glendale, MD / Gonzaga College",,,realjmorris,josh-morris-profile,,,
79,,52.0,Keon Kindred,OL,6-5,281.0,Fr.,Management,"South Bay, FL / Everglades Preparatory Academy",,,,keon-kindred,,,
80,,53.0,Sean Greeley,LB,6-0,220.0,Sr.,Kinesiology,"Havre de Grace, MD / Havre de Grace",,Seangreeley12,Iamseangreeley,sean-greeley,,,
81,,54.0,Spencer Anderson,OL,6-5,320.0,R-Sr.,Business and Management,"Bowie, MD / Bishop McNamara",,Ayo_spence,sathereal_,spencer-anderson,,,
82,,54.0,Ami Finau,DL,6-2,320.0,Sr.,Family Science,"Kahuku, Hawaii / Euless Trinity",Independence Community College,Finau_ami,William_finau,viliamiami-finau,,,
83,,55.0,Andre Roye Jr.,OL,6-6,320.0,Fr.,Letters and Science,"District Heights, MD / St. Frances Academy",,AndreRoyeJr,drecinco5,andre-roye-jr,,,
84,,57.0,Isaac Bunyun,DL,6-3,300.0,R-So.,Public Policy,"Accra, Ghana / High Point",,Ibunyun_,Ibunyun,isaac-bunyun,,,
85,,57.0,Ja'Kavion Nonar,OL,6-7,280.0,Fr.,Letters and Science,"Belle Glade, FL / Everglades Prep Academy",,,jayfrom6ix_,jakavion-nonar,,,
86,,59.0,Ethan Gough,LS,6-1,205.0,R-Fr.,Undecided (Letters & Sciences),"Owings, MD / DeMatha Catholic",,Ethangough10,Ethan_gough_,ethan-gough,,,
87,,60.0,Khristopher Love,OL,6-3,315.0,R-So.,Family Science,"Miami Gardens, FL / American Heritage",,Khrislove1,60k.love,khristopher-love,,,
88,,63.0,Clayton Allen,OL,6-5,325.0,R-Fr.,Undecided (Letters and Sciences),"Huntingtown, MD / St. Mary's Ryken",,Clayton23Allen,Clayton_allen23,clayton-allen-profile,,,
89,,64.0,Marcus Finger,OL,6-6,315.0,R-Jr.,Digital Media,"Fort Myers, FL / Fort Myers",,Marcus_finger,Marcus_finger,marcus-finger,,,
90,,66.0,Aric Harris,OL,6-2,310.0,Jr.,Family Science,"Pensacola, FL / Escambia",Hutchinson CC,ESPN_woody,Lilwoody850,aric-harris,,,
91,,67.0,Tommy Varhall,OL,6-8,315.0,R-Fr.,Undecided (Letters & Sciences),"Overland Park, KS / IMG Academy",,Tommyvarhall77,Tommy.varhall,thomas-varhall,,,
92,,68.0,Sean Wilkins,OL,6-4,310.0,R-So.,Economics-B.S.,"Gambrills, MD / Arundel",,Seanwilkins68,Sean.wilkins68,sean-wilkins,,,
93,,70.0,Amelio Morán,OL,6-5,310.0,R-Sr.,Sociology,"Virginia Beach, VA / Princess Anne",Lackawanna College,AmelioMoran,Amelio_moran,amelio-moran,,,
94,,71.0,Jaelyn Duncan,OL,6-6,320.0,R-Sr.,Family Science,"New Carrollton, MD / St. Frances Academy",,King_jay70,__Bigdawgjay__,jaelyn-duncan,,,
95,,72.0,Conor Fagan,OL,6-8,285.0,R-So.,Economics,"Clarksburg, MD / Gonzaga College",,Conorjfagan,conorfagan72,conor-fagan,,,
96,,74.0,Delmar Glaze,OL,6-5,305.0,R-So.,Family Science,"Charlotte, NC / West Mecklenburg",,Drglazejr,Delmar.glaze,delmardj-glazejr-profile,,,
97,,75.0,Ja'Khi Green,OL,6-5,310.0,R-So.,Criminal Justice,"Palmer Park, MD / St. Frances Academy",,JakhiGreen,Topdawgtank,jakhi-green,,,
98,,76.0,Kyle Long,OL,6-5,325.0,R-Fr.,Undecided (Letters & Sciences),"St. Louis, MO / Hazelwood Central",,K_Long75,Seven6iixx,kyle-long-profile,,,
99,,77.0,Maximus McCree,OL,6-6,285.0,So.,Family Science,"Kansas City, MO / Grandview",Iowa Central CC,MaximusMcCree75,,maximus-mccree,,,
100,,78.0,Mason Lunsford,OL,6-7,305.0,R-Jr.,Criminology and Criminal Justice,"Olney, MD / Good Counsel",,Lunsford_Mason,masonlunsford_78,mason-lunsford,,,
101,,80.0,Terrance Ellis II,TE,6-4,240.0,Gr.,,"Stockbridge, GA / Woodland",Alabama State,Terrance_03,_terrance_3,terrance-ellis-ii,,,
102,,81.0,Kai Holloway,WR,5-10,175.0,R-Fr.,Undecided (Letters & Sciences),"Rockville, MD / Walter Johnson",,kholloway51,kaiholloway,kholloway51,,,
103,,82.0,Leron Husbands,TE,6-3,230.0,R-Fr.,Undecided (Letters and Sciences),"Seat Pleasant, MD / Archbishop Carroll",,Leronofficial,Leronofficial,leron-husbands,,,
104,,83.0,Joshua Jennings,TE,6-5,240.0,Fr.,Undecided (Letters and Science),"Frederick, MD / Good Counsel",,,j.jennings8,joshua-jennings,,,
105,,84.0,Corey Dyches,TE,6-2,220.0,R-So.,Family Science,"Oxon Hill, MD / Potomac",,Cdychh,Cdychh,corey-dyches,,,
106,,85.0,Preston Howard,TE,6-6,220.0,Fr.,Undecided (Letters and Science),"Arbutus, MD / McDonogh",,,the.prestonhoward,preston-howard,,,
107,,86.0,Shane Carroll,WR,6-1,185.0,Fr.,,"Olney, MD / Good Counsel",,,,shane-carroll,,,
108,,87.0,Robert Smith,WR,6-1,190.0,R-Fr.,Undecided (Letters and Science),"Houston, TX / Strake Jesuit College Preparatory",,Robertosmity13,_robwick,robert-smith,,,
109,,88.0,Anthony Booker Jr.,DL,6-4,320.0,R-Jr.,Family Science,"Cincinnati, OH / Winton Woods",,Arbj14_,,anthony-booker,,,
110,,88.0,Khalid Jones,WR,6-1,175.0,R-Fr.,Undecided (Letters and Science),"Clarksburg, MD / Quince Orchard",,,,khalid-jones,,,
111,,91.0,Jack Howes,K/P,6-0,195.0,R-Fr.,Civil Engineering,"Orlando, FL / Edgewater",,JackHowes06,jack_howes91,jack-howes,,,
112,,91.0,Christian Teague,DL,6-5,255.0,Jr.,Sociology,"Hagerstown, MD / North Hagerstown",Morgan State,,,christian-teague,,,
113,,92.0,Henry Chibueze,DL,6-3,310.0,Sr.,Undecided (Letters and Science),"Woodbridge, VA / Woodbridge",Liberty,,,henry-chibueze,,,
114,,95.0,Austin Fontaine,DL,6-3,260.0,R-Sr.,African American Studies,"Waldorf, MD / DeMatha Catholic",,Fontaine_austin,fontaine55_,austin-fontaine,,,
115,,98.0,Anthony Pecorella,P,6-3,212.0,Sr.,Finance,"Malverne, NY / Chaminade",,Ant_Pec21,Ant_pec98,anthony-pecorella,,,
116,,99.0,Tommy Akingbesote,DL,6-4,310.0,So.,Undecided (Letters & Sciences),"Largo, MD / Charles Herbert Flowers",,Famousstommm,Famouss.tommm,tommy-akingbesote,,,
117,,99.0,Colton Spangler,P,6-0,185.0,Sr.,Architecture,"Pasadena, MD / Chesapeake",,C_spangler12,Spanglercolton,colton-spangler,,,
0,,,,,,,,,,,,,,,Michael Locksley,Head Coach
1,,,,,,,,,,,,,,,Brian Williams,Defensive Coordinator/Defensive Line Coach
2,,,,,,,,,,,,,,,Gunter Brewer,Wide Receivers Coach/Passing Game Coordinator
