,Statistic,No.,Name,Pos.,Ht.,Wt.,Class,Hometown / High School,Current School Name,Previous School,Image,Title
95,,96.0,Franklin Lama,LS,6-2,255.0,Sr.,"Madison Heights, Mich. / Bishop Foley H.S.",Central Michigan,,,
96,,97.0,Michael Heldman,DL,6-4,246.0,R-So.,"Romeo, Mich. / Romeo H.S.",Central Michigan,,,
97,,98.0,Deonte Bryant,DL,6-5,240.0,Jr.,"Minneapolis, Minn. / Hopkins H.S.",Central Michigan,Iowa Central College,,
98,,99.0,Quindario Lee,DL,6-5,294.0,R-So.,"McKenzie, Ala. / McKenzie H.S.",Central Michigan,Fort Scott CC,,
0,,,Jim McElwain,,,,,,Central Michigan,,,Head Coach
1,,,Robb Akey,,,,,,Central Michigan,,,Defensive Coordinator
2,,,Paul Petrino,,,,,,Central Michigan,,,Offensive Coordinator/Wide Receivers
3,,,Michael Zordich,,,,,,Central Michigan,,,Assistant Head Coach/Defensive Backs
4,,,Cornell Jackson,,,,,,Central Michigan,,,Running Backs
5,,,Keith Murphy,,,,,,Central Michigan,,,Special Teams Coordinator/Safeties
6,,,Tavita Thompson,,,,,,Central Michigan,,,Run Game Coordinator/Offensive Line
7,,,Ryan McNamara,,,,,,Central Michigan,,,Linebackers
8,,,Jesse Williams,,,,,,Central Michigan,,,Defensive Line
9,,,Brandon Torrey,,,,,,Central Michigan,,,Tight Ends/Tackles
10,,,Jake Kostner,,,,,,Central Michigan,,,Quarterbacks
11,,,Joel Welsh,,,,,,Central Michigan,,,Director of Strength & Conditioning
12,,,John Leister,,,,,,Central Michigan,,,Director of Football Operations
13,,,Jay McDowell,,,,,,Central Michigan,,,Football Video Operations Coordinator
14,,,Chris Calley,,,,,,Central Michigan,,,Director of Player Personnel
15,,,Michael McGee,,,,,,Central Michigan,,,Director of Recruiting
16,,,Mark DeBastiani,,,,,,Central Michigan,,,Senior Director/Football Relations & Student-Athlete Engagement
17,,,Nate Mason,,,,,,Central Michigan,,,Coordinator/Athletic Equipment Operations
18,,,Da'Quaun Jamison,,,,,,Central Michigan,,,Defensive Graduate Assistant
19,,,Jack Bush,,,,,,Central Michigan,,,Offensive Graduate Assistant
20,,,Cody Crawford,,,,,,Central Michigan,,,Staff Assistant
21,,,Kumehnnu Gwilly,,,,,,Central Michigan,,,Staff Assistant
22,,,Danny Akey,,,,,,Central Michigan,,,Student Assistant
23,,,Nick Belay,,,,,,Central Michigan,,,Student Assistant
24,,,Brandon Hintz,,,,,,Central Michigan,,,Student Assistant
25,,,Ashley Jetzer,,,,,,Central Michigan,,,Student Assistant - Video
26,,,Danny Motowski,,,,,,Central Michigan,,,Student Assistant
27,,,Zach Winter,,,,,,Central Michigan,,,Student Assistant- Video
