,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Previous School,Image,Name,Title
55,,93.0,Jah-Marien Latham,DL,6-3,275.0,R-Jr.,"Reform, Ala. / Pickens County",,,,
56,,65.0,JC Latham,OL,6-6,335.0,Jr.,"Oak Creek, Wis. / IMG Academy",,,,
57,,19.0,Kendrick Law,WR,5-11,201.0,So.,"Shreveport, La. / Captain Shreve",,,,
58,,32.0,Deontae Lawson,LB,6-2,230.0,R-So.,"Mobile, Ala. / Mobile Christian",,,,
59,,87.0,Danny Lewis Jr.,TE,6-5,255.0,R-Fr.,"New Iberia, La. / Westgate",,,,
60,,20.0,Earl Little II,DB,6-1,186.0,R-Fr.,"Fort Lauderdale, Fla. / American Heritage",,,,
61,,89.0,Ty Lockwood,TE,6-5,234.0,Fr.,"Thompson’s Station, Tenn. / Independence",,,,
62,,12.0,Dylan Lonergan,QB,6-2,212.0,Fr.,"Snellville, Ga. / Brookwood",,,,
63,,32.0,Jay Loper Jr.,WR,5-11,180.0,So.,"Daphne, Ala. / Bayside Academy",,,,
64,,28.0,Michael Lorino III,RB,5-9,185.0,So.,"Birmingham, Ala. / Mountain Brook",,,,
65,,17.0,Trezmen Marshall,LB,6-1,236.0,Sr.,"Homerville, Ga. / Clinch County",Georgia,,,
66,,38.0,Alijah May,DB,5-11,195.0,Jr.,"Pinson, Ala. / Pinson Valley",,,,
67,,2.0,Jase McClellan,RB,5-11,212.0,Sr.,"Aledo, Texas / Aledo",,,,
68,,45.0,Caleb McDougle,DB,5-11,207.0,Jr.,"Muscle Shoals, Ala. / Muscle Shoals",,,,
69,,1.0,Kool-Aid McKinstry,DB,6-1,195.0,Jr.,"Birmingham, Ala. / Pinson Valley",,,,
70,,56.0,Seth McLaughlin,OL,6-4,301.0,Sr.,"Buford, Ga. / Buford",,,,
71,,34.0,Coby McNeal,TE,6-5,250.0,R-So.,"Dothan, Ala. / Ashford",Colorado State,,,
72,,54.0,Miles McVay,OL,6-6,350.0,Fr.,"East Saint Louis, Ill. / East Saint Louis",,,,
73,,26.0,Jam Miller,RB,5-10,211.0,So.,"Tyler, Texas / Tyler Legacy",,,,
74,,4.0,Jalen Milroe,QB,6-2,220.0,R-So.,"Katy, Texas / Tompkins",,,,
75,,27.0,Tony Mitchell,DB,6-2,205.0,Fr.,"Alabaster, Ala. / Thompson",,,,
76,,55.0,Roq Montgomery,OL,6-3,332.0,Fr.,"Anniston, Ala. / Anniston",,,,
77,,13.0,Malachi Moore,DB,6-0,198.0,Sr.,"Trussville, Ala. / Hewitt-Trussville",,,,
78,,43.0,Shawn Murphy,LB,6-2,225.0,R-Fr.,"Manassas, Va. / Unity Reed",,,,
79,,48.0,Hayden Neighbors,WR,6-3,185.0,Jr.,"Huntsville, Ala. / Huntsville",,,,
80,,84.0,Amari Niblack,TE,6-4,233.0,So.,"Saint Petersburg, Fla. / Lakewood",,,,
81,,91.0,Jaheim Oatis,DL,6-5,328.0,So.,"Columbia, Miss. / Columbia",,,,
82,,33.0,Hunter Osborne,DL,6-4,275.0,Fr.,"Trussville, Ala. / Hewitt-Trussville",,,,
83,,45.0,Robbie Ouzts,TE,6-4,258.0,Jr.,"Rock Hill, S.C. / Rock Hill",,,,
84,,44.0,Damon Payne Jr.,DL,6-4,303.0,R-So.,"Belleville, Mich. / Belleville",,,,
85,,53.0,Vito Perri,LB,5-11,178.0,R-Fr.,"Alpharetta, Ga. / Alpharetta",,,,
86,,97.0,Khurtiss Perry,DL,6-2,265.0,R-Fr.,"Pike Road, Ala. / Pike Road",,,,
87,,21.0,Jake Pope,DB,6-1,192.0,R-Fr.,"Buford, Ga. / Buford",,,,
88,,49.0,Jax Porter,TE,6-6,232.0,R-Fr.,"Dallas, Texas / IMG Academy",,,,
89,,80.0,Kobe Prentice,WR,5-10,182.0,So.,"Calera, Ala. / Calera",,,,
90,,18.0,Shazz Preston,WR,6-0,202.0,R-Fr.,"Saint James, La. / Saint James",,,,
91,,57.0,Elijah Pritchett,OL,6-6,312.0,R-Fr.,"Columbus, Ga. / Carver",,,,
92,,74.0,Kadyn Proctor,OL,6-7,354.0,Fr.,"Des Moines, Iowa / Southeast Polk",,,,
93,,57.0,Chase Quigley,DL,6-1,236.0,Jr.,"Libertyville, Ill. / Libertyville",,,,
94,,16.0,Will Reichard,PK,6-1,194.0,Gr.,"Hoover, Ala. / Hoover",,,,
95,,90.0,Jordan Renaud,DL,6-4,261.0,Fr.,"Tyler, Texas / Tyler Legacy",,,,
96,,29.0,Dezz Ricks,DB,6-1,182.0,Fr.,"Bradenton, Fla. / IMG Academy",,,,
97,,77.0,Jaeden Roberts,OL,6-5,316.0,R-So.,"Houston, Texas / North Shore",,,,
98,,23.0,Jahquez Robinson,DB,6-2,199.0,R-Jr.,"Jacksonville, Fla. / Sandalwood",,,,
99,,34.0,Quandarrius Robinson,LB,6-5,231.0,Sr.,"Birmingham, Ala. / Jackson-Olin",,,,
100,,37.0,Ty Roper,DB,5-8,189.0,So.,"Foley, Ala. / Foley",,,,
101,,61.0,Graham Roten,OL,6-3,285.0,Jr.,"Fairview, Tenn. / Christ Presbyterian Academy",,,,
102,,52.0,Alex Rozier,SN,6-4,220.0,So.,"Hattiesburg, Miss. / Oak Grove",,,,
103,,49.0,Qua Russaw,LB,6-2,242.0,Fr.,"Montgomery, Ala. / Carver",,,,
104,,97.0,Reid Schuback,PK,6-0,185.0,Jr.,"Poway, Calif. / Poway",,,,
105,,99.0,Nick Serpa,P,6-4,215.0,So.,"Foothill Ranch, Calif. / Trabuco Hills",,,,
106,,15.0,Ty Simpson,QB,6-2,203.0,R-Fr.,"Martin, Tenn. / Westview",,,,
107,,44.0,Charlie Skehan,TE,6-1,232.0,Sr.,"Columbia, S.C. / Cardinal Newman",,,,
108,,8.0,DeVonta Smith,DB,6-0,194.0,Jr.,"Cincinnati, Ohio / La Salle",,,,
109,,47.0,James Smith,DL,6-3,296.0,Fr.,"Montgomery, Ala. / Carver",,,,
110,,58.0,Jordan Smith,LB,5-10,210.0,Sr.,"Chelsea, Ala. / Chelsea",,,,
111,,50.0,Tim Smith,DL,6-4,302.0,Sr.,"Gifford, Fla. / Sebastian River",,,,
112,,33.0,Jack Standeffer,WR,5-10,160.0,So.,"Tuscaloosa, Ala. / Tuscaloosa Academy",,,,
113,,11.0,Kristian Story,DB,6-1,211.0,Sr.,"Lanett, Ala. / Lanett",,,,
114,,47.0,Adam Thorsland,TE,6-5,232.0,Jr.,"Walhalla, S.C. / Walhalla",,,,
115,,15.0,Dallas Turner,LB,6-4,242.0,Jr.,"Fort Lauderdale, Fla. / Saint Thomas Aquinas",,,,
116,,53.0,Kade Wehby,SN,5-9,185.0,Jr.,"Plantation, Fla. / Saint Thomas Aquinas",,,,
117,,55.0,Bennett Whisenhunt,LB,6-1,222.0,Sr.,"Vestavia Hills, Ala. / Vestavia Hills",,,,
118,,5.0,Roydell Williams,RB,5-10,214.0,Sr.,"Hueytown, Ala. / Hueytown",,,,
119,,37.0,Sam Willoughby,WR,5-10,165.0,Sr.,"Vestavia Hills, Ala. / Vestavia Hills",,,,
120,,39.0,Peyton Yates,DB,5-10,180.0,So.,"Eads, Tenn. / Briarcrest Christian",,,,
0,,,,,,,,,,,Nick Saban,Head Coach
1,,,,,,,,,,,Kevin Steele,Defensive Coordinator
2,,,,,,,,,,,Tommy Rees,Offensive Coordinator/Quarterbacks
3,,,,,,,,,,,Holmon Wiggins,Assistant Head Coach of Offense/Wide Receivers
4,,,,,,,,,,,Coleman Hutzler,Special Teams Coordinator/Outside Linebackers
5,,,,,,,,,,,Joe Cox,Tight Ends
6,,,,,,,,,,,Robert Gillespie,Running Backs
7,,,,,,,,,,,Freddie Roach,Defensive Line
8,,,,,,,,,,,Travaris Robinson,Cornerbacks
9,,,,,,,,,,,Eric Wolford,Offensive Line
10,,,,,,,,,,,Robert Bala,Inside Linebackers
0,,,,,,,,,,,Ellis Ponder,"Associate Athletics Director, Football Chief Operating Officer"
1,,,,,,,,,,,Todd Watson,Special Assistant to Head Coach
2,,,,,,,,,,,Kenneth Whisenhunt,Special Assistant to the Head Coach
3,,,,,,,,,,,David Ballou,Director of Sports Performance
