,Statistic,#,Full Name,Academic Year,Pos.,Ht.,Wt.,Hometown / High School,Previous School,Image,Name,Title
76,,15.0,Shane Porter,So.,Wide Receiver,5-11,179.0,"Friendswood, Texas / Clear Brook",,,,
77,,32.0,Desmond Purnell,So.,Linebacker,5-11,224.0,"Topeka, Kan. / Hayden",,,,
78,,90.0,Donovan Rieman,R-Fr.,Defensive End,6-4,247.0,"Enid, Okla. / Enid",,,,
79,,45.0,Austin Romaine,Fr.,Linebacker,6-2,235.0,"Hillsboro, Mo. / Hillsboro",,,,
80,,2.0,Jake Rubley,So.,Quarterback,6-3,215.0,"Highlands Ranch, Colorado / Highlands Ranch",,,,
81,,7.0,Kam Sallis,Fr.,Safety,6-1,206.0,"Arlington, Texas / Kennedale",,,,
82,,2.0,Kobe Savage,Sr.,Safety,5-11,206.0,"Paris, Texas /",Tyler JC,,,
83,,39.0,Jordan Schippers,Sr.,Running Back,6-1,208.0,"Colby, Kan. / Colby",Western Illinois Univ.,,,
84,,49.0,Andrew Schmelzle,So.,Defensive End,6-4,219.0,"Sabetha, Kan. / Sabetha",,,,
85,,99.0,Uso Seumalo,Sr.,Nose Guard,6-3,345.0,"Maunaloa, Hawai'i / Molokai",Garden City CC,,,
86,,66.0,Sam Shields,Jr.,Offensive Line,6-4,299.0,"Manhattan, Kan. / Manhattan",,,,
87,,21.0,Marques Sigle,Jr.,Safety,5-11,197.0,"Omaha, Neb. / Omaha North",North Dakota State Univ.,,,
88,,96.0,Leyton Simmering,R-Fr.,Kicker,6-0,166.0,"Rosemount, Minn. / Rosemount",,,,
89,,34.0,Ben Sinnott,Jr.,Tight End,6-4,245.0,"Waterloo, Iowa / Columbus Catholic",,,,
90,,37.0,Andrew Sonner,So.,Tight End,6-4,244.0,"Olathe, Kan. / Olathe East",,,,
91,,12.0,Nickendre Stiger,R-Jr.,Safety,5-10,175.0,"Wichita, Kan. / Wichita East",Butler CC,,,
92,,14.0,Tyson Struber,R-Fr.,Wide Receiver,6-2,205.0,"Galva, Kan. / Canton-Galva",,,,
