,Num,Name,Pos,Yr,Ht,Wt,Hometown,High School/Previous School,Unnamed: 8,Position,Alma Mater
9,,De’Vion Warren,,,,,,,,Quality Control - Offense,
10,,HT Fountain,,,,,,,,Graduate Assistant - Special Teams,
11,,Keith Jones,,,,,,,,Graduate Assistant - Defense,
12,,Butler Benton,,,,,,,,General Manager,
13,,Carina Hargreaves,,,,,,,,Director of Recruiting,
14,,Taylor Clements,,,,,,,,Director of On-Campus Recruiting,
15,,Brian Overton,,,,,,,,Assistant to the Head Coach,
16,,Charlie Williams,,,,,,,,Director of Football Management/NFL Liaison,
17,,Dalton Withrow,,,,,,,,Director of Football Equipment Operations,
18,,Matt Saucier,,,,,,,,Assistant Football Equipment Manager,
19,,Daniel Beavers,,,,,,,,Graduate Assistant - Equipment,
20,,Brooks Gillerlain,,,,,,,,Director of Football Nutrition,
21,,Colin MacDonald,,,,,,,,Director of Creative Media,
22,,Josh Mindemann,,,,,,,,Senior Graphic Designer,
23,,JP Sinuk,,,,,,,,Creative Media,
24,,Laurie Hicks,,,,,,,,Administrative Assistant to Head Coach,
25,,Michele Clements,,,,,,,,Administrative Assistant / Assistant Coaches,
