,#,Name,Cl.,Pos.,Height,Weight,Exp.,Hometown,Current School Name,High School,Previous School
54,39,West Shuler,R-Jr.,LB,"6' 1""",220,SQ,"Knoxville, Tenn.",Tennessee,Christ School (N.C.),
55,39,Toby Wilson,R-Sr.,PK,"5' 10""",190,2L,"Brentwood, Tenn.",Tennessee,Brentwood Academy,
56,40,Chase McGrath,R-Sr.,PK,"6' 0""",198,1L,"Newport Beach, Calif.",Tennessee,Mater Dei,Southern Cal
57,40,Kalib Perry,Fr.,LB,"6' 3""",228,HS,"Georgetown, Ky.",Tennessee,Great Crossing,
58,41,JT Carver,R-Fr.,PK,"5' 11""",195,RS,"Martin, Tenn.",Tennessee,Westview,
59,41,Malik Ganaway,Fr.,DB,"6' 2""",190,HS,"Trenton, Tenn.",Tennessee,Peabody,
60,42,Hunter Barnes,Fr.,RB,"6' 0""",190,HS,"Memphis, Tenn.",Tennessee,Memphis School,
61,42,Tyre West,Fr.,DL,"6' 3""",290,HS,"Tifton, Ga.",Tennessee,Tifton County,
62,43,Jerrod Gentry,R-Fr.,DB,"6' 0""",200,RS,"Memphis, Tenn.",Tennessee,Briarcrest Christian,
63,43,Titus Rohrer,Fr.,TE,"6' 7""",230,HS,"Bryan, Ohio",Tennessee,Bryan,
64,44,Charlie Browder,R-Fr.,TE,"6' 7""",250,TR,"Kingsport, Tenn.",Tennessee,Christ School (N.C.),UCF
65,44,Elijah Herring,Fr.,LB,"6' 2""",227,HS,"Newnan, Ga.",Tennessee,Riverdale (Tenn.),
66,47,Matt Gaca,R-Jr.,LB,"6' 2""",223,SQ,"Franklin, Tenn.",Tennessee,Franklin,Incarnate Word
67,47,Matthew Salansky,R-Jr.,LS,"5' 11""",245,2L,"Morristown, Tenn.",Tennessee,Morristown West,
68,48,Bennett Brady,Fr.,LS,"6' 1""",205,HS,"Memphis, Tenn.",Tennessee,Evangelical Christian,
69,48,Derek Taylor,Fr.,DB,"6' 4""",208,HS,"Greenbrier, Tenn.",Tennessee,Greenbrier,
70,50,Jackson Lampley,R-Jr.,OL,"6' 4""",320,1L,"Nashville, Tenn.",Tennessee,Montgomery Bell Academy,
71,51,Elijah Simmons,R-Jr.,DL,"6' 2""",340,2L,"Memphis, Tenn.",Tennessee,"Pearl-Cohn (Nashville, Tenn.)",
72,52,Maurese Smith,R-Sr.,DL,"6' 3""",315,1L,"Huntsville, Ala.",Tennessee,Hazel Green,Alabama A&M
73,53,Jeremiah Crawford,Sr.,OL,"6' 5""",315,1L,"Goddard, Kan.",Tennessee,Goddard,Butler (Kan.) CC
74,53,Jackson Hannah,R-Jr.,LB,"6' 3""",225,TR,"Nashville, Tenn.",Tennessee,Montgomery Bell Academy,Nebraska
75,54,Gerald Mincey,R-So.,OL,"6' 6""",337,TR,"Fort Lauderdale, Fla.",Tennessee,Cardinal Gibbons,Florida
76,55,Will Albright,R-So.,LB,"6' 1""",220,SQ,"Greeneville, Tenn.",Tennessee,Greeneville,
77,55,Braeden Krivosh,R-So.,OL,"6' 2""",310,SQ,"Baltimore, Md.",Tennessee,Calvert Hall,
78,56,Mekhi Bigelow,Fr.,LB,"6' 0""",205,HS,"Charlotte, N.C.",Tennessee,Chambers,
79,56,Mo Clipper Jr.,Fr.,OL,"6' 5""",305,HS,"Alpharetta, Ga.",Tennessee,Milton,
