,No.,Name,Pos.,Cl.,Ht.,Wt.,Hometown,High School | Previous School,Current School Name,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93
0,0,DJ Irons,QB,R-Sr.,6' 6'',205,"Lawrenceville, Ga.",Grayson | Iowa Central CC,Akron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,"Corey Thomas, Jr.",OLB,R-Jr.,6' 4'',205,"Pittsburgh, Pa.",Penn Hills,Akron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,"Anthony Williams, Jr.",RB,R-Jr.,6' 1'',195,"Chicago, Ill.",Bolingbrook | Michigan State,Akron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Daniel George,WR,R-Sr.,6' 2'',210,"Fort Washington, Md.",Oxon Hill | Penn State,Akron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,Bobby Golden,WR,So.,5' 9'',180,"Miami, Fla.",Miami Palmetto,Akron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,Ryan Johnson,DL,Sr.,6' 4'',255,"Starkville, Miss.",Starkville | Iowa Central CC,Akron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,TJ Banks,TE,R-Sr.,6' 5'',240,"North Versailles, Pa.",East Alleghany | West Virginia,Akron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Akron,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad
8,6,Joey Hunter,DB,R-Jr.,6' 1'',195,"Atlanta, Ga.",Sandy Creek,Akron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6,Dakota Thomas,WR,R-So.,6' 0'',195,"Atlanta, Ga.",Shiloh,Akron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
