,Statistic,No.,Name,Pos.,Year,Ht.,Wt.,Hometown/Previous School,Current School Name,High School,Image,Title
3,,,Matt Limegrover,,,,,,Kent State,,,Co-Offensive Coordinator/Offensive Line Coach
4,,,Mark Carney,,,,,,Kent State,,,Inside Wide Receivers/Tight Ends Coach
5,,,Mark Watson,,,,,,Kent State,,,Running Backs Coach/Offensive Recruiting Coordinator
6,,,Nick Faus,,,,,,Kent State,,,Wide Receivers Coach
7,,,Dave Duggan,,,,,,Kent State,,,Defensive Coordinator/Linebackers Coach
8,,,Kody Morgan,,,,,,Kent State,,,Safeties Coach/Co-Special Teams Coordinator
9,,,CJ Cox,,,,,,Kent State,,,Defensive Pass Game Coordinator/Cornerbacks Coach
10,,,CJ Robbins,,,,,,Kent State,,,Rush Ends Coach/Defensive Recruiting Coordinator
11,,,Kai Brashears,,,,,,Kent State,,,Assistant Athletic Director for Football Operations
12,,,Blake Yunker,,,,,,Kent State,,,Director of Football Internal Operations
13,,,Joe Manion,,,,,,Kent State,,,Director of Player Development/Personnel
14,,,Jake Niedermann,,,,,,Kent State,,,Head Football Sports Performance Coach
15,,,Stephanie Boyle,,,,,,Kent State,,,Administrative Secretary
