,Statistic,#,Full Name,Pos.,Cl.,Ht.,Wt.,Hometown / High School,Previous College,Major,Image,Name,Title
52,,47.0,Marquis Cooper,CB,Jr.,5-11,185.0,"Queens, NY / Paramus Catholic",Colgate,,,,
53,,48.0,Fabian Weitz,LB,Gr.,6-0,221.0,"Cologne, Germany / Gesamtschule Cologne Rodenkirchen",,International Trade,,,
54,,49.0,Joe Andreessen,LB,Gr.,6-1,232.0,"Depew, NY / Lancaster",Bryant,,,,
55,,50.0,Michael Tetteh,DE,Jr.,6-3,240.0,"Bronx, NY / Cardinal Hayes",,Economics,,,
56,,51.0,Nick Hemer,LS,R-Fr.,6-4,170.0,"Harmony, PA / Seneca Valley",,Criminology,,,
57,,52.0,Shaun Dolac,LB,Sr.,6-1,225.0,"West Seneca, NY / West Seneca East",Milford Academy,Communication,,,
58,,53.0,C.J. Bazile,DE,Sr.,6-3,250.0,"Bayonne, NJ / Bayonne",,Criminology,,,
59,,53.0,Sidney Walker,OL,Gr.,6-2,285.0,"Crestview, FL / Baker",Connecticut,Exercise Science,,,
60,,54.0,James Carrington III,OL,Jr.,6-3,290.0,"Buffalo, NY / St. Joseph's",Allegheny College,Studio Art,,,
61,,55.0,Kyler Laing,DE,Sr.,6-1,236.0,"Tallahassee, FL / Amos P. Godby",,Communication,,,
62,,56.0,Jake Zimmer,LB,Gr.,6-1,230.0,"Penfield, NY / McQuaid Jesuit/Milford Academy",,Finance,,,
63,,59.0,Konrad Krzyszton,OL,R-Fr.,6-2,240.0,"Hamburg, NY / Frontier",,Health and Human Services,,,
64,,60.0,Andrew Kerwin,OL,Jr.,6-4,280.0,"Clarence, NY / Canisius",,Biomedical Science,,,
65,,66.0,Dom Polizzi,OL,Sr.,6-1,284.0,"Brockport, NY / Brockport",,History,,,
66,,68.0,Liam Hamilton,OL,R-Fr.,6-3,300.0,"Ossining, NY / Ossining",,Business Administration,,,
67,,69.0,Gabe Wallace,OL,Gr.,6-6,337.0,"Salmon Arm, BC / St. Andrew's College",,Sociology,,,
68,,70.0,Nick Zikuski,DT,Sr.,6-3,260.0,"Binghamton, NY / Binghamton",,Economics,,,
69,,71.0,Matt Pajuste,OL,So.,6-4,318.0,"Philadelphia, PA / Martin Luther King",,Communication,,,
70,,72.0,Nick Beans,OL,Gr.,6-4,315.0,"Akron, OH / Manchester",Notre Dame College,,,,
71,,74.0,Isaiah Wright,OL,Jr.,6-4,300.0,"North Plainfield, NJ / St. Peter's Prep",Rutgers,African American Studies,,,
