,Statistic,#,Full Name,Pos.,Years/Eligibility,Hometown / High School,Ht.,Wt.,Previous School,Instagram,Twitter,Eligiblity,Image,Name,Title
11,,8.0,Brendan Harrington,OLB,Fifth-Year Redshirt Junior,"Pittsboro, N.C. / Northwood",6-1,215.0,,bharrington29,sirharrington18,R-Jr.,,,
12,,9.0,Mason McHugh,QB,Freshman,"Ferdinand, Idaho / IMG Academy",6-2,205.0,,masontmchugh,masontmchugh,Fr.,,,
13,,9.0,Jarrett Paul,SAF,Sixth-Year Redshirt Senior,"Brooklyn, N.Y. / Paramus Catholic",6-1,200.0,Kansas,@jarrettpaul25,@jarrettpaul25,R-Sr.,,,
14,,10.0,DJ VanHook,CB,Fifth-Year Senior,"Long Beach, Calif. / Millikan",5-10,185.0,Long Beach City College,_bsbdj,DJVanHook4,Sr.,,,
15,,11.0,Jordan Favors,SAF,Redshirt Sophomore,"Griffin, Ga. / Griffin",5-11,185.0,,_jordanfavors,jordan_favorss,R-So.,,,
16,,12.0,Shawn Collins,DE,Fourth-Year Redshirt Sophomore,"Montclair, N.J. / Montclair",6-5,250.0,Rutgers,@Shawn_Collins10,@ShawnCollins10_,R-So.,,,
17,,12.0,Michael Hetzel,WR,Fourth-Year Redshirt Sophomore,"Charlotte, N.C. / Ardrey Kell",5-11,190.0,,michael_hetzel,hetzel_michael,R-So.,,,
18,,13.0,Christan Horn,WR,Fourth-Year Junior,"Columbia, S.C. / Westwood",6-2,185.0,,chorn.13,christan2020,Jr.,,,
19,,13.0,Trenton Alan Yowe,CB,Fourth-Year Sophomore,"Calera, Ala. / Calera",6-2,185.0,Coahoma C.C.,golivetay,golivetay,R-So.,,,
20,,14.0,Kanye Roberts,RB,Redshirt Freshman,"Teachey, N.C. / Wallace-Rose Hill",5-11,200.0,,vro.k1,vrothagr8,R-Fr.,,,
21,,15.0,Makai Jackson,WR,Sophomore,"Croydon, Pa. / Harry S. Truman",6-0,190.0,Saint Francis (Pa.),@makai_jackson_2,@MakaiJackson7,So.,,,
22,,16.0,David Hernandez,QB,Fifth-Year Senior,"Charlotte, N.C. / Berry Academy",6-0,215.0,,davoqb,davoqb,Sr.,,,
23,,16.0,Omari Philyaw,CB,Redshirt Freshman,"Charlotte, N.C. / Hough",5-10,170.0,,,Omari_Philyaw24,R-Fr.,,,
24,,17.0,Dashaun Davis,WR,Fifth-Year Redshirt Junior,"Deerfield Beach, Fla. / Deerfield Beach",5-9,165.0,,shauntoosmooth6,smoothdavis4,R-Jr.,,,
25,,17.0,Jalik Thomas,SAF,Fourth-Year Junior,"Macon, Ga. / Central",5-11,195.0,Hutchinson C.C.,,ThomasJalik,Jr.,,,
26,,18.0,Ryan Burger,QB,Redshirt Freshman,"Myrtle Beach, S.C. / Myrtle Beach",6-3,190.0,,ryancburger,RyanCBurger,R-Fr.,,,
27,,18.0,James Edwards,CB,Redshirt Freshman,"Clewiston, Fla. / Clewiston",5-10,190.0,,,finesse_edwards,R-Fr.,,,
28,,19.0,Ethan Johnson,CB,Sophomore,"Huntersville, N.C. / Hough",5-11,195.0,,ej0hnson2,EJ0hns0n2,So.,,,
29,,20.0,Jaylon Calhoun,RB,Freshman,"Lakeland, Ga. / Lanier County",6-0,190.0,,,calhoun_jaylon,Fr.,,,
