,Statistic,#,Name,Pos.,Ht.,Wt.,Cl.,Exp.,Current School Name,Hometown / High School,Previous School,Image,Title
64,,34.0,Isaiah Raikes,DL,6-1,325.0,So.,2L,Texas A&M,"Woodbury, N.J. / St. Augustine Prep",,,
65,,35.0,McKinnley Jackson,DL,6-2,325.0,Jr.,2L,Texas A&M,"Lucedale, Miss. / George County",,,
66,,35.0,Bladen Reaves,RB,5-11,195.0,Jr.,SQ,Texas A&M,"Bryan, Texas / [Texarkana] Pleasant Grove",,,
67,,36.0,Caden Davis,PK,6-3,200.0,Jr.,3L,Texas A&M,"Coppell, Texas / Coppell",,,
68,,38.0,Alan Guerrieri,P/K,6-0,200.0,Jr.,SQ,Texas A&M,"College Station, Texas / College Station",,,
69,,38.0,Will Smoot,DB,5-10,180.0,Jr.,SQ,Texas A&M,"Houston, Texas / Kingwood Park",,,
70,,39.0,Cade Garcia,DB,5-8,185.0,Jr.,RS,Texas A&M,"Fort Worth, Texas / Christian",Tarrant CC,,
71,,39.0,Sam Salz,RB,-,,So.,SQ,Texas A&M,"Philadelphia, Pa. / Kohelet Yeshiva",,,
72,,40.0,"Martrell Harris, Jr.",LB,6-2,225.0,Fr.,HS,Texas A&M,"The Woodlands, Texas / The Woodlands",,,
73,,41.0,Avery Hughes,DB,6-0,180.0,So.,SQ,Texas A&M,"Sugar Land, Texas / Fort Bend Austin",,,
74,,42.0,Kent Robinson,DB,5-10,165.0,Fr.,RS,Texas A&M,"Grand Prairie, Texas / South Grand Prairie",,,
75,,42.0,Max Wright,TE,6-4,255.0,Sr.,4L,Texas A&M,"Katy, Texas / Taylor",,,
76,,43.0,Alex Zettler,DB,6-0,200.0,Sr.,1L,Texas A&M,"West Jordan, Utah / Brighton",,,
77,,45.0,Edgerrin Cooper,LB,6-3,225.0,So.,2L,Texas A&M,"Covington, La. / Covington",,,
78,,47.0,Randy Bond,PK,5-10,190.0,So.,SQ,Texas A&M,"Plano, Texas / West",,,
79,,48.0,Jacob Graham,FB/DS,5-11,235.0,So.,1L,Texas A&M,"Houston, Texas / Memorial",,,
80,,49.0,Connor Able,DS,6-3,215.0,Fr.,RS,Texas A&M,"Houston, Texas / Stratford",,,
81,,50.0,Jaxson Slanker,LB,6-0,210.0,Fr.,HS,Texas A&M,"College Station, Texas / College Station",,,
82,,50.0,Garrett Townsend,DS,5-11,230.0,Jr.,SQ,Texas A&M,"Houston, Texas / Cypress Christian",,,
83,,51.0,Levi Hancock,DS,6-2,240.0,Fr.,HS,Texas A&M,"Bryan, Texas / Brazos Christian Academy",,,
84,,51.0,Kason Tullos,LB,6-2,215.0,Fr.,RS,Texas A&M,"Spring, Texas / Klein Oak",,,
85,,52.0,Andrew Merrick,LB,6-2,220.0,So.,SQ,Texas A&M,"Dallas, Texas / Parish Episcopal",,,
86,,53.0,Nana Boadi-Owusu,DL,6-2,234.0,Fr.,HS,Texas A&M,"Arlington, Texas / Martin",,,
87,,54.0,Mark Nabou,OL,6-4,345.0,Fr.,HS,Texas A&M,"Lynwood, Wash. / O'Dea",,,
88,,54.0,Jalen Waddy,LB,6-0,225.0,Jr.,TR,Texas A&M,"Houston, Texas / Westside",Blinn College,,
89,,55.0,Hunter Erb,OL,6-6,330.0,Fr.,HS,Texas A&M,"Newark, Texas / Eaton",,,
90,,55.0,Adarious Jones,DL,6-4,300.0,Jr.,2L,Texas A&M,"Virginia Beach, Va. / Bishop Sullivan",,,
91,,56.0,John Sabra,OL,6-2,335.0,Jr.,SQ,Texas A&M,"Magnolia, Texas / Magnolia",,,
92,,57.0,Tyndall McNamara,LB,6-1,215.0,Fr.,HS,Texas A&M,"College Station, Texas / A&M Consolidated",,,
93,,57.0,Luke Williams,OL,6-6,290.0,Fr.,RS,Texas A&M,"Cedar Park, Texas / Cedar Park",,,
94,,59.0,PJ Williams,OL,6-4,285.0,Fr.,HS,Texas A&M,"Dickinson, Texas / Dickinson",,,
95,,60.0,Trey Zuhn III,OL,6-6,320.0,Fr.,RS,Texas A&M,"Fort Collins, Colo. / Fossil Ridge",,,
96,,61.0,Bryce Foster,OL,6-5,325.0,So.,1L,Texas A&M,"Katy, Texas / Taylor",,,
97,,63.0,Chance Jackson,OL,6-1,305.0,Fr.,HS,Texas A&M,"The Woodlands, Texas / College Park",,,
98,,64.0,Layden Robinson,OL,6-4,330.0,Jr.,3L,Texas A&M,"Manvel, Texas / Manvel",,,
99,,66.0,Jordan Spasojevic-Moko,OL,6-5,320.0,So.,RS,Texas A&M,"Brisbane, Australia / Rhinos",Snow College,,
100,,68.0,Remington Strickland,OL,6-4,300.0,Fr.,RS,Texas A&M,"Sugar Land, Texas / Fort Bend Christian",,,
101,,70.0,Josh Bankhead,OL,6-5,305.0,So.,1L,Texas A&M,"The Woodlands, Texas / College Park",,,
102,,72.0,Owen Jebson,OL,6-5,290.0,Fr.,RS,Texas A&M,"College Station, Texas / College Station",,,
103,,74.0,Aki Ogunbiyi,OL,6-4,320.0,So.,1L,Texas A&M,"Houston, Texas / Kempner",,,
104,,75.0,Kam Dewberry,OL,6-4,330.0,Fr.,HS,Texas A&M,"Humble, Texas / Atascocita",,,
105,,76.0,Reuben Fatheree II,OL,6-8,325.0,So.,1L,Texas A&M,"Richmond, Texas / Foster",,,
106,,77.0,Matthew Wykoff,OL,6-6,330.0,Fr.,RS,Texas A&M,"Magnolia, Texas / Magnolia",,,
107,,78.0,Dametrious Crownover,OL,6-6,300.0,Fr.,RS,Texas A&M,"Grandview, Texas / Grandview",,,
108,,79.0,James Bailey,OL,6-3,300.0,Fr.,HS,Texas A&M,"Katy, Texas / Paetow",,,
109,,80.0,Hunter Vivaldi,WR,5-10,160.0,Fr.,HS,Texas A&M,"Bryan, Texas / Bryan",,,
110,,81.0,Kyle Fitzgerald,DB,6-4,195.0,Sr.,SQ,Texas A&M,"San Antonio, Texas / Brandeis",,,
111,,81.0,Pierce Turner,WR,6-3,195.0,Fr.,HS,Texas A&M,"Austin, Texas / Westlake",,,
112,,82.0,Fernando Garza III,TE,6-5,245.0,Fr.,RS,Texas A&M,"Katy, Texas / Katy",,,
113,,83.0,Ryan Campbell,WR,6-2,185.0,Jr.,SQ,Texas A&M,"New Orleans, La. / Mesquite [Texas] Horn",,,
114,,86.0,Theo Melin Öhrström,TE,6-5,255.0,Fr.,HS,Texas A&M,"Stockholm, Sweden / RIG Academy",,,
115,,87.0,Keith Steptoe,DB,5-11,190.0,So.,SQ,Texas A&M,"Navasota, Texas / Navasota",,,
116,,88.0,Nathan Figueroa,TE,6-3,236.0,Fr.,HS,Texas A&M,"Brenham, Texas / Faith Academy",,,
117,,88.0,Walter Nolen,DL,6-4,320.0,Fr.,HS,Texas A&M,"Powell, Tenn. / Powell",,,
118,,90.0,Jacob Fitts,OL,6-0,286.0,So.,SQ,Texas A&M,"Omaha, Texas / Pewitt",,,
