,Number,Name,Position,Height,Weight,Class,Hometown,High School,Twitter,Instagram,Previous School,TikTok
45,33,Wade Gullickson,Linebacker,6-0,225 lbs.,Redshirt Freshman,"Charlotte, N.C.",Charlotte Christian School,@WadeGullickson,@wadegullickson,,
46,34,Ryan Ragone,Linebacker,5-11,220 lbs.,Fifth-Year Redshirt Junior,"Houston, Texas",Pasadena Memorial,@TheRyanRagone,@ryanragone,Arkansas State,@ryanragone
47,35,Michael Suarez,Linebacker,5-11,220 lbs.,Fourth-Year Redshirt Sophomore,"Miami, Fla.",Miami Killian,,,,
48,37,Emmanuel Houvardas,Linebacker,5-10,200 lbs.,Fourth-Year Redshirt Sophomore,"Tampa, Fla.",Berkeley Prep,,,Fordham,
49,38,Myles Mooyoung,Defensive Back,5-11,195 lbs.,Redshirt Freshman,"Chicago, Ill.",Wylie E. Groves (Mich.),@showtimemoo,@mooyoung9,,
50,39,Cyrus Moss,Defensive Line,6-5,215 lbs.,Freshman,"Las Vegas, Nev.",Bishop Gorman,@TheCyrusMoss,@cyrus.moss,,@lilmoo9
51,41,Seth Parrott,Tight End,5-10,225 lbs.,Redshirt Freshman,"Pisgah, N.C.",Canton,,@parrottseth,,
52,41,Chase Smith,Linebacker,6-2,210 lbs.,Sophomore,"Palm Bay, Fla.",Bayside,@Chasesmith2021,@chase4smith,,@chasesmith042
53,44,"Rueben Bain, Jr.",Defensive Line,6-3,255 lbs.,Freshman,"Miami, Fla.",Miami Central,,,,
54,46,Nick Kelly,Defensive Back,5-10,189 lbs.,Redshirt Freshman,"Santa Rosa, Calif.",Cardinal Newman,,@nick_kelly0,,
55,49,Mason Napper,Long Snapper,6-2,225 lbs.,Fourth-Year Redshirt Sophomore,"Marietta, Ga.",Lassiter,@mason_napper,@mason.napper,,
56,50,Laurance Seymore,Offensive Line,6-2,315 lbs.,Redshirt Sophomore,"Miami Gardens, Fla.",Miami Central,@xklvsive00,@seymore.laurence,,@babyman500
57,51,Francisco Mauigoa,Linebacker,6-3,230 lbs.,Junior,"Ili'ili, American Samoa",Tafuna,,,Washington State,
58,53,Lucas Peterson,Linebacker,6-0,190 lbs.,Redshirt Sophomore,"Hartland, Wisc.",Arrowhead,,,,
59,55,Jacob Lichtenstein,Defensive Line,6-5,270 lbs.,Sixth-Year Redshirt Senior,"Weston, Fla.",Cypress Bay,@BigLichh,@jake_lichtenstein,USC,
60,56,Jonathan Denis,Offensive Line,6-3,320 lbs.,Fourth-Year Redshirt Sophomore,"Homestead, Fla.",South Dade,,@grind.jojo,Oregon,
61,56,Leonard Taylor III,Defensive Line,6-3,305 lbs.,Sophomore,"Miami, Fla.",Miami Palmetto,@56reasons_,@56_reasons,,@56_reasons
62,57,Matt Antezana,Offensive Line,6-0,247 lbs.,Redshirt Freshman,"Miami, Fla.",Gulliver Prep,@mattantezana,@mattantezana,,
63,59,Gabe Landers,Long Snapper,5-11,183 lbs.,Freshman,"Bradenton, Fla.",IMG Academy,@gabelanders59,,,
64,60,Zion Nelson,Offensive Line,6-5,316 lbs.,Fourth-Year Junior,"Sumter, S.C.",Sumter,@ZionNelson9,@zanemankobe,,
65,61,Francis Mauigoa,Offensive Line,6-6,315 lbs.,Freshman,"'Ili'ili, American Samoa",IMG Academy (Fla.),,,,
66,63,Samson Okunlola,Offensive Line,6-6,300 lbs.,Freshman,"Brockton, Mass.",Thayer Academy,,,,
67,64,Jalen Rivers,Offensive Line,6-5,325 lbs.,Third-Year Redshirt Freshman,"Jacksonville, Fla.",Oakleaf,@jalenrivers01,@1kbigj,,
68,68,Ian Johnson,Offensive Line,5-10,280 lbs.,Redshirt Freshman,"Miami, Fla.",Belen Jesuit,,@ianjseventrey,,
69,69,Trent Scheuerman,Defensive Line,6-4,220 lbs.,Redshirt Freshman,"Marietta, Ga.",Wheeler,,,,
70,70,Javion Cohen,Offensive Line,6-4,305 lbs.,Fourth-Year Junior,"Phenix City, Ala.",Central,,,Alabama,
71,71,"Antonio Tripp, Jr.",Offensive Line,6-3,300 lbs.,Freshman,"Baltimore, Md.",IMG Academy (Fla.),,,,
72,72,Chris Washington,Offensive Line,6-7,285 lbs.,Third-Year Redshirt Freshman,"Nashville, Tenn.",John Overton,@chris_wash72,@justchrisssss,,
73,73,Anez Cooper,Offensive Line,6-6,350 lbs.,Sophomore,"Pleasant Grove, Ala.",Pleasant Grove,@AnezCoop,@anezcooper,,
