,Statistic,#,Full Name,Pos.,CL,Ht.,Wt.,Hometown / High School,Current School Name,Previous School,Image,Name,Title
56,,36.0,Bryce Capers,EDGE,R-Fr.,6-4,236.0,"Jacksonville, Fla. / Riverside",Florida,,,,
57,,37.0,Javion Toombs,CB,R-Fr.,5-11,184.0,"Fort Pierce, Fla. / Centennial",Florida,,,,
58,,38.0,Carlson Joseph,RB,R-So.,5-11,201.0,"Pompano Beach, Fla. / American Heritage",Florida,,,,
59,,38.0,Sebastian Vargas,CB,So.,6-1,183.0,"Oviedo, Fla. / Oviedo",Florida,Laney,,,
60,,39.0,Peter Asumani,CB,So.,6-1,186.0,"Vernon, Conn. / Rockville",Florida,,,,
61,,40.0,Jacob Watkins,P,R-Sr.,6-1,209.0,"Gainesville, Fla. / Buchholz",Florida,Valdosta State,,,
62,,41.0,Ara Emerzian,P,Fr.,6-0,195.0,"Deerfield, Ill. / Deerfield",Florida,,,,
63,,42.0,Kenny Anyaehie,ILB,R-Sr.,6-0,227.0,"Naples, Fla. / Lely",Florida,Temple,,,
64,,42.0,Rocco Underwood,LS,R-So.,6-3,228.0,"Lake Mary, Fla. / Lake Mary",Florida,,,,
65,,43.0,Curran Webb,ILB,R-Fr.,6-3,227.0,"Union County, Fla. / Union County",Florida,,,,
66,,44.0,Jack Pyburn,EDGE,So.,6-3,259.0,"Jacksonville, Fla. / The Bolles",Florida,,,,
67,,47.0,Justin Pelic,ILB,R-Jr.,5-11,207.0,"Mount Pleasant, S.C. / Wando",Florida,,,,
68,,49.0,Adam Mihalek,K,R-So.,6-2,200.0,"Tampa, Fla. / Wiregrass Ranch",Florida,,,,
69,,52.0,Jalen Farmer,OL,R-Fr.,6-5,330.0,"Covington, Ga. / Eastside",Florida,,,,
70,,52.0,Antwaun Powell-Ryland Jr.,EDGE,Jr.,6-3,233.0,"Portsmouth, Va. / Indian River",Florida,,,,
71,,53.0,Bryce Lovett,OL,Fr.,6-5,311.0,"Rockledge, Fla. / Rockledge",Florida,,,,
72,,54.0,Micah Mazzccua,OL,Jr.,6-5,329.0,"Philadelphia, Pa. / St. Frances Academy",Florida,Baylor,,,
73,,56.0,Christian Williams,OL,R-Fr.,6-4,322.0,"Missouri City, Texas / Thurgood Marshall",Florida,,,,
74,,58.0,Austin Barber,OL,R-So.,6-6,311.0,"Jacksonville, Fla. / Trinity Christian Academy",Florida,,,,
75,,59.0,Hayden Clem,OL,R-So.,6-2,296.0,"Maitland, Fla. / Winter Park",Florida,,,,
76,,60.0,Jackson Crozier,OL,R-Fr.,6-3,286.0,"Plantation, Fla. / Cardinal Gibbons",Florida,,,,
77,,61.0,Nicolas Flynn,DL,R-Fr.,6-2,291.0,"Lake Forest, Ill. / Lake Forest",Florida,,,,
78,,64.0,Riley Simonds,OL,R-Jr.,6-3,304.0,"Buford, Ga. / Buford",Florida,,,,
79,,65.0,Kingsley Eguakun,OL,R-Jr.,6-3,301.0,"Jacksonville, Fla. / Sandalwood",Florida,,,,
80,,66.0,Jaelin Humphries,DL,R-Jr.,6-3,317.0,"Lawrenceville, Ga. / Mountain View",Florida,,,,
81,,66.0,Jake Slaughter,OL,R-So.,6-5,300.0,"Sparr, Fla. / Trinity Catholic",Florida,,,,
82,,67.0,Richie Leonard IV,OL,Jr.,6-2,317.0,"Cocoa, Fla. / Cocoa",Florida,,,,
83,,71.0,Roderick Kearney,OL,Fr.,6-4,280.0,"Jacksonville, Fla. / Orange Park",Florida,,,,
84,,73.0,Mark Pitts,OL,R-So.,6-6,314.0,"Gainesville, Fla. / Buchholz",Florida,,,,
85,,74.0,Will Harrod,OL,R-Jr.,6-4,316.0,"Clinton, Md. / National Christian Academy",Florida,,,,
86,,75.0,Kamryn Waites,OL,R-So.,6-8,362.0,"Dallas, Texas / Universal Academy",Florida,Louisiana,,,
87,,76.0,Damieon George Jr.,OL,R-So.,6-6,369.0,"Houston, Texas / North Shore",Florida,Alabama,,,
88,,77.0,Knijeah Harris,OL,Fr.,6-3,322.0,"Port St. Lucie, Fla. / IMG Academy",Florida,,,,
89,,78.0,Kiyaunta Goodwin,OL,So.,6-8,353.0,"Louisville, Ky. / Charleston (Ind.)",Florida,Kentucky,,,
90,,79.0,Jordan Herman,OL,R-So.,6-8,372.0,"Fort Mill, S.C. / Fort Mill",Florida,Hutchinson CC,,,
91,,80.0,Zak Sedaros,WR,R-Fr.,5-10,180.0,"Melbourne, Fla. / Viera",Florida,,,,
92,,81.0,Arlis Boardingham,TE,R-Fr.,6-3,246.0,"Van Nuys, Calif. / Birmingham",Florida,,,,
93,,82.0,Ja'Markis Weston,S,R-Jr.,6-3,225.0,"Clewiston, Fla. / Clewiston",Florida,,,,
94,,85.0,Scott Isacks III,TE,R-Fr.,6-4,250.0,"New Orleans, La. / Metairie Park",Florida,,,,
95,,86.0,Tony Livingston,TE,Fr.,6-5,240.0,"Tampa, Fla. / King",Florida,,,,
96,,87.0,Jonathan Odom,TE,Jr.,6-5,244.0,"Tampa, Fla. / Jesuit",Florida,,,,
97,,88.0,Caleb Banks,DL,R-Fr.,6-6,315.0,"Southfield, Mich. / Southfield A&T",Florida,Louisville,,,
98,,88.0,Marcus Burke,WR,R-So.,6-4,195.0,"Jacksonville, Fla. / Trinity Christian Academy",Florida,,,,
99,,89.0,Hayden Hansen,TE,R-Fr.,6-6,259.0,"Weatherford, Texas / Weatherford",Florida,,,,
100,,90.0,Connor Homa,DL,Fr.,6-2,319.0,"Palm Harbor, Fla. / Palm Harobr",Florida,,,,
101,,91.0,Tyreik Norwood,DL,R-Sr.,6-3,245.0,"Winchester, Tenn. / Franklin County",Florida,Kentucky Wesleyan,,,
102,,93.0,Keenan Landry,DL,R-So.,6-1,327.0,"Jennings, La. / Jennings",Florida,Mississippi Gulf Coast CC,,,
103,,94.0,Tyreak Sapp,DL,R-So.,6-3,271.0,"Fort Lauderdale, Fla. / St. Thomas Aquinas",Florida,,,,
104,,95.0,Jamari Lyons,DL,R-Fr.,6-4,309.0,"Cocoa, Fla. / Viera",Florida,,,,
105,,99.0,Cam Jackson,DL,Jr.,6-6,355.0,"Haynesville, La / Haynesville High School",Florida,Memphis,,,
0,,,,,,,,,Florida,,,Billy Napier,Head Coach
1,,,,,,,,,Florida,,,Rob Sale,Assistant Coach / Offensive Coordinator
2,,,,,,,,,Florida,,,Austin Armstrong,Defensive Coordinator
3,,,,,,,,,Florida,,,Sean Spencer,Co-Defensive Coordinator / Defensive Line
4,,,,,,,,,Florida,,,Jabbar Juluke,Associate Head Coach - Offense / Running Backs
5,,,,,,,,,Florida,,,Corey Raymond,Assistant Head Coach / Secondary
6,,,,,,,,,Florida,,,Jay Bateman,Assistant Coach / Inside Linebackers
7,,,,,,,,,Florida,,,Russ Callaway,Assistant Coach / Tight Ends
8,,,,,,,,,Florida,,,Billy Gonzales,"Assistant Coach, Wide Receivers"
9,,,,,,,,,Florida,,,Mike Peterson,Assistant Coach / Edge
10,,,,,,,,,Florida,,,Darnell Stapleton,Assistant Coach / Offensive Line
11,,,,,,,,,Florida,,,Mark Hocke,Associate Head Coach / Director of Football Strength and Conditioning
0,,,,,,,,,Florida,,,Joshua Thompson,Director of Football Operations
1,,,,,,,,,Florida,,,Katie Turner,Assistant AD of Recruiting Strategy
2,,,,,,,,,Florida,,,Jacob LaFrance,Director of Player Personnel
3,,,,,,,,,Florida,,,Rachel Adamkowski,Performance Dietitian - Football
4,,,,,,,,,Florida,,,Savannah Bailey,Senior Director of Player Relations and GatorMade
5,,,,,,,,,Florida,,,Ross Bares,Quality Control - Personnel
6,,,,,,,,,Florida,,,Cheston Blackshear,Quality Control - Offensive Line
7,,,,,,,,,Florida,,,Allen Brown,Quality Control - Defensive Backs
8,,,,,,,,,Florida,,,Parker Brown,"Assistant Director, Athletic Equipment"
9,,,,,,,,,Florida,,,Vernell Brown Jr.,Senior Director of Student-Athlete Development / Alumni Relations
10,,,,,,,,,Florida,,,Parker Carmichael,Assistant Athletic Trainer
11,,,,,,,,,Florida,,,Marcus Castro-Walker,Director of Player Engagement and NIL
12,,,,,,,,,Florida,,,Chase Clark,Assistant for College Personnel / On-Campus Recruiting
13,,,,,,,,,Florida,,,Riley Collins,Performance Dietitian - Football
14,,,,,,,,,Florida,,,Chris Couch,GameChanger Coordinator
15,,,,,,,,,Florida,,,Joe Danos,Director of Player Athletic Development
16,,,,,,,,,Florida,,,David Doeker,"Graduate Assistant, Offense"
17,,,,,,,,,Florida,,,Doug Domingue,Senior Director of Recruiting Innovation
18,,,,,,,,,Florida,,,John Donovan,Senior Offensive Analyst
19,,,,,,,,,Florida,,,Karmichael Dunbar,Strength and Conditioning Assistant
20,,,,,,,,,Florida,,,Jake Failla,"Video Assistant, Football"
21,,,,,,,,,Florida,,,Matt Graham,"Assistant Director, Athletic Equipment"
22,,,,,,,,,Florida,,,Kelsee Gomes,Director of Sports Nutrition - Football
23,,,,,,,,,Florida,,,Sierra Griffin,On-Campus Recruiting Coordinator
24,,,,,,,,,Florida,,,Cannon Gibbs,Quality Control - Defensive Line
25,,,,,,,,,Florida,,,Joe Hamilton,Personnel Analyst - Defense
26,,,,,,,,,Florida,,,Tyler Henderson,"Graduate Assistant, Defense"
27,,,,,,,,,Florida,,,Jordan Herald,"Director of Creative Media, Football Recruiting"
28,,,,,,,,,Florida,,,Tony Hill,"Associate Director, Sports Health for Football"
29,,,,,,,,,Florida,,,Scott Hoffman,Assistant Director of Creative Video
30,,,,,,,,,Florida,,,Reuel Joaquin,Director of Video Services
31,,,,,,,,,Florida,,,Kali James Jr.,"Graduate Assistant, Defense"
32,,,,,,,,,Florida,,,Tiger Jones,Director of Speed Improvement and Skill Development
33,,,,,,,,,Florida,,,Kaleb Johnson,Quality Control - Offensive Line
34,,,,,,,,,Florida,,,Kyle Kazakevicius,Assistant of Quality Control / Assistant to the Head Coach
35,,,,,,,,,Florida,,,Eric Kiesau,Quality Control - Offense
36,,,,,,,,,Florida,,,Diane Lebon,Football Business Manager & GatorMade Coordinator
37,,,,,,,,,Florida,,,Chad Lucas,Quality Control - Wide Receivers
38,,,,,,,,,Florida,,,Nick McDonald,Personnel Analyst - Offense
39,,,,,,,,,Florida,,,Jeff McGrew,"Director, Football Equipment"
40,,,,,,,,,Florida,,,Randy Mickens,Associate Director of Creative Video for Football Recruiting
41,,,,,,,,,Florida,,,Shane Morgan,Assistant Director for Football Video
42,,,,,,,,,Florida,,,Braxton Morris,Quality Control - Defense
43,,,,,,,,,Florida,,,Frank Ogas,Assistant for Player Development
44,,,,,,,,,Florida,,,Ryan O'Hara,Offensive Analyst – Quarterbacks
45,,,,,,,,,Florida,,,Ashour Peera,Director of Football Logistics
46,,,,,,,,,Florida,,,Justin Posthuma,Quality Control - Tight Ends
47,,,,,,,,,Florida,,,Kyle Ranson,Video Assistant
48,,,,,,,,,Florida,,,Matt Redd,Assistant Director of Sports Health
49,,,,,,,,,Florida,,,Nancy Scarborough,Executive Assistant
50,,,,,,,,,Florida,,,Shawnee Sellers,Coordinator II
51,,,,,,,,,Florida,,,Bird Sherrill,Director of College Personnel
52,,,,,,,,,Florida,,,Blake Shrader,Quality Control - Defense
53,,,,,,,,,Florida,,,Paul Silvestri,"Director of Sports Health, Football"
54,,,,,,,,,Florida,,,Tamsyn Stonebarger,Associate Director of Digital Strategy
55,,,,,,,,,Florida,,,Lamar Sorey,Quality Control - Personnel
56,,,,,,,,,Florida,,,Jake Taccone,Athletic Equipment Assistant
57,,,,,,,,,Florida,,,Brandon Taylor,"Graduate Assistant, GameChanger"
58,,,,,,,,,Florida,,,Edward Thompson,Strength and Conditioning Assistant
59,,,,,,,,,Florida,,,Bri Wade,Director of On-Campus Recruiting and Football Events
60,,,,,,,,,Florida,,,Alex Watkins,Strength and Conditioning Assistant
61,,,,,,,,,Florida,,,CJ Wilford,Quality Control - Defense
62,,,,,,,,,Florida,,,Donavon White,Athletic Trainer
63,,,,,,,,,Florida,,,Rick Hurtado,Director of Football Communications
64,,,,,,,,,Florida,,,Matthew Hutchison,"Assistant Director (Men's & Women's Golf, Football)"
