,Statistic,Image,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Current School Name,Hometown,Previous School,Name,Title
97,,,86.0,Skylar Loving-Black,TE,6-4,230.0,Jr.,San Jose State,"San Jose, Calif.",Iowa State,,
98,,,88.0,Sam Olson,TE,6-4,225.0,Jr.,San Jose State,"Visalia, Calif.",Redwood HS,,
99,,,89.0,Nate Lewis,TE,6-4,235.0,So.,San Jose State,"Carmichael, Calif.",Jesuit HS,,
100,,,90.0,Lando Grey,DL,6-2,290.0,Gr.,San Jose State,"Pago Pago, American Samoa",Chabot College,,
101,,,91.0,Natano Woods,DL,6-6,250.0,R-Fr.,San Jose State,"Kent, Wash.",Kentridge HS,,
102,,,92.0,Cade Hall,DL,6-3,270.0,Gr.,San Jose State,"Morgan Hill, Calif.",Bellarmine Prep,,
103,,,95.0,Tim Foster,DL,6-3,270.0,Fr.,San Jose State,"San Jose, Calif.",Valley Christian HS,,
104,,,96.0,Jay Kakiva,DL,6-5,325.0,Gr.,San Jose State,"Las Vegas, Nev.",Fresno City College,,
105,,,97.0,John Norwood,DL,6-3,200.0,Fr.,San Jose State,"Milpitas, Calif.",Milpitas HS,,
106,,,98.0,Grady Manley,DL,6-4,265.0,So.,San Jose State,"Lincoln, Calif.",Lincoln HS,,
107,,,99.0,Marcel Sanders,DL,6-3,230.0,So.,San Jose State,"Fresno, Calif.",Clovis West HS,,
108,,,99.0,Alex Weir,P,6-1,210.0,R-So.,San Jose State,"Colfax, Calif.",Sacramento City College,,
0,,,,,,,,,San Jose State,,,Brent Brennan,Head Coach
1,,,,,,,,,San Jose State,,,Ben Thienes,Assistant Athletics Director for Football Operations
2,,,,,,,,,San Jose State,,,Derrick Odum,Associate Head Coach/Defensive Coordinator
3,,,,,,,,,San Jose State,,,Kevin McGiven,Offensive Coordinator/Quarterbacks Coach
4,,,,,,,,,San Jose State,,,Matt Adkins,Tight Ends Coach
5,,,,,,,,,San Jose State,,,Alonzo Carter,Assistant Head Coach/Running Backs Coach/Recruiting Coordinator
6,,,,,,,,,San Jose State,,,Rob Christoff,Outside Linebackers Coach
7,,,,,,,,,San Jose State,,,Josh Oglesby,Offensive Line Coach
8,,,,,,,,,San Jose State,,,Eric Scott,Wide Receivers Coach/Passing Game Coordinator
9,,,,,,,,,San Jose State,,,Joe Seumalo,Defensive Line Coach
10,,,,,,,,,San Jose State,,,Chip Viney,Cornerbacks Coach
11,,,,,,,,,San Jose State,,,Scott White,Linebackers Coach/Special Teams Coordinator
12,,,,,,,,,San Jose State,,,Garrett Sandow,Graduate Assistant - Offense
13,,,,,,,,,San Jose State,,,Reis Seggebruch,Graduate Assistant - Defense
14,,,,,,,,,San Jose State,,,Cedric Lousi,Graduate Assistant - Defense
15,,,,,,,,,San Jose State,,,Terry Malley,Football Analyst
16,,,,,,,,,San Jose State,,,Fred Guidici,Football Analyst - Special Teams
17,,,,,,,,,San Jose State,,,Lyle Moevao,Football Analyst - Defense
18,,,,,,,,,San Jose State,,,Tobruk Blaine,Assistant Athletics Director for Student-Athlete Development/Beyond Football Coordinator
19,,,,,,,,,San Jose State,,,Johnathon Hankinson,Director of Football Equipment
20,,,,,,,,,San Jose State,,,Tanner Schultheis,Director of Football Operations
21,,,,,,,,,San Jose State,,,Fletcher Kelly,Director of Player Personnel
22,,,,,,,,,San Jose State,,,Aaron Potoshnik,Director of Football Athletic Performance
