,Statistic,#,Name,Pos.,Yr.,Ht.,Wt.,Hometown / High School,Previous School,Image,Title
11,,,Lydia Gibbs,,,,,,,,Director of On-Campus Recruiting
12,,,Steve Pohl,,,,,,,,Video Production Coordinator
13,,,Heath Mosier,,,,,,,,Football Video Coordinator
14,,,Gio Aguilar,,,,,,,,Assistant Video Coordinator
15,,,Josh Heim,,,,,,,,Director of Digital Media
16,,,Jackie Mikula,,,,,,,,Senior Content Designer
17,,,Kenny Farr,,,,,,,,Football Equipment Administrator
18,,,Devin Cramer,,,,,,,,Equipment Manager
19,,,Jordan Troester,,,,,,,,Director of Performance & Sports Science
20,,,Ben Mckay,,,,,,,,Sports Science Coordinator
21,,,Brenna Sleggs,,,,,,,,Senior Sports Dietitian
