,Statistic,Image,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Current School Name,Hometown,High School,Previous School,Instagram,Name,Title
15,,,,,,,,,Arizona,,,,,Brett Arce,Defensive Analyst
16,,,,,,,,,Arizona,,,,,Cason Bicknell,Special Teams Analyst
17,,,,,,,,,Arizona,,,,,Darell Garretson,Offensive Analyst
18,,,,,,,,,Arizona,,,,,Luke McNitt,Offensive Analyst
19,,,,,,,,,Arizona,,,,,Teddy Bolin,Defensive Graduate Assistant
20,,,,,,,,,Arizona,,,,,Dominic Caldwell,Offensive Graduate Assistant
21,,,,,,,,,Arizona,,,,,Ty Nichols,Defensive Graduate Assistant
22,,,,,,,,,Arizona,,,,,Aaron Van Horn,Defensive Graduate Assistant
0,,,,,,,,,Arizona,,,,,Tedy Bruschi,Senior Advisor to the Head Football Coach
1,,,,,,,,,Arizona,,,,,Matthew Hayes,"Associate A.D. Football, Chief of Staff"
2,,,,,,,,,Arizona,,,,,Lauren Vossler,Associate Director of Football Operations
3,,,,,,,,,Arizona,,,,,Syndric Steptoe,Director of Player & Community Relations
4,,,,,,,,,Arizona,,,,,Matt Doherty,Director of Player Personnel
5,,,,,,,,,Arizona,,,,,Josh Omura,Coordinator of High School Recruiting
6,,,,,,,,,Arizona,,,,,Brandon Sanders,Coordinator of Football Alumni and High School Relations
7,,,,,,,,,Arizona,,,,,Tyler Luskin,Recruiting Analyst
8,,,,,,,,,Arizona,,,,,Kendel Bennett,Coordinator of On-Campus Recruiting
9,,,,,,,,,Arizona,,,,,Cameron Lemons,Coordinator of Recruiting Strategy
10,,,,,,,,,Arizona,,,,,Steven Gonzales,Creative Media Manager
11,,,,,,,,,Arizona,,,,,Brisa Tzintzun,Coordinator of Social Media
12,,,,,,,,,Arizona,,,,,Aaron Brosz,Assistant Strength Coach
13,,,,,,,,,Arizona,,,,,Ben Hilgart,Assistant Strength Coach
14,,,,,,,,,Arizona,,,,,Trei Mitchell,Assistant Strength Coach
15,,,,,,,,,Arizona,,,,,John Shaw,Assistant Strength Coach
16,,,,,,,,,Arizona,,,,,Barry Boyd,"Assistant Athletic Director, Football Equipment Operations"
17,,,,,,,,,Arizona,,,,,Kevin Kikugawa,Head Football Athletic Trainer
18,,,,,,,,,Arizona,,,,,Susana Melendez,Head Football Nutritionist
19,,,,,,,,,Arizona,,,,,Tim Cummins,Director of Football Video Operations
20,,,,,,,,,Arizona,,,,,Brian Riden,Assistant Coordinator of Football Video
