,0,1,No.,Name,Pos.,Ht.,Wt.,Yr.,Current School Name,Hometown,High School,Other College,Socials,Position
0,Position,Defensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Sophomore,,,,,,,Florida State,,,,,
2,Hometown,"Port St. Joe, Fla.",,,,,,,Florida State,,,,,
0,Position,Defensive Line,,,,,,,Florida State,,,,,
1,Year,Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Miami, Fla.",,,,,,,Florida State,,,,,
0,Position,Tight End,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Memphis, Tenn.",,,,,,,Florida State,,,,,
0,Position,Linebacker,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Ocilla, Ga.",,,,,,,Florida State,,,,,
0,Position,Tight End,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Quakertown, Pa.",,,,,,,Florida State,,,,,
0,Position,Tight End,,,,,,,Florida State,,,,,
1,Year,Redshirt Sophomore,,,,,,,Florida State,,,,,
2,Hometown,"Huntsville, Ala.",,,,,,,Florida State,,,,,
0,Position,Long Snapper,,,,,,,Florida State,,,,,
1,Year,Redshirt Senior,,,,,,,Florida State,,,,,
2,Hometown,"Delaware, Ohio",,,,,,,Florida State,,,,,
3,Other College,Maryland,,,,,,,Florida State,,,,,
0,Position,Defensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Welch, Ala.",,,,,,,Florida State,,,,,
0,Position,Linebacker,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Ocala, Fla.",,,,,,,Florida State,,,,,
0,Position,Offensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Conway, Ark.",,,,,,,Florida State,,,,,
0,Position,Offensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Miami, Fla.",,,,,,,Florida State,,,,,
0,Position,Defensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Sophomore,,,,,,,Florida State,,,,,
2,Hometown,"Port Sulphur, La.",,,,,,,Florida State,,,,,
0,Position,Defensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Senior,,,,,,,Florida State,,,,,
2,Hometown,"Michigan City, Ind.",,,,,,,Florida State,,,,,
3,Other College,Western Michigan,,,,,,,Florida State,,,,,
0,Position,Offensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Leesburg, Ga.",,,,,,,Florida State,,,,,
0,Position,Offensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Madison, Fla.",,,,,,,Florida State,,,,,
0,Position,Defensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Jacksonville, Fla.",,,,,,,Florida State,,,,,
0,Position,Offensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Senior,,,,,,,Florida State,,,,,
2,Hometown,"New Orleans, La.",,,,,,,Florida State,,,,,
3,Other College,Lamar,,,,,,,Florida State,,,,,
0,Position,Linebacker,,,,,,,Florida State,,,,,
1,Year,Redshirt Sophomore,,,,,,,Florida State,,,,,
2,Hometown,"Miami Gardens, Fla.",,,,,,,Florida State,,,,,
0,Position,Offensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Ormond Beach, Fla.",,,,,,,Florida State,,,,,
0,Position,Long Snapper,,,,,,,Florida State,,,,,
1,Year,Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Tallahassee, Fla.",,,,,,,Florida State,,,,,
0,Position,Offensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Austin, Texas",,,,,,,Florida State,,,,,
3,Other College,UTEP,,,,,,,Florida State,,,,,
0,Position,Offensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Pace, Fla.",,,,,,,Florida State,,,,,
0,Position,Offensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Cumming, Ga.",,,,,,,Florida State,,,,,
0,Position,Offensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Venice, Fla.",,,,,,,Florida State,,,,,
0,Position,Offensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Rockledge, Fla.",,,,,,,Florida State,,,,,
0,Position,Offensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Brunswick, Ga.",,,,,,,Florida State,,,,,
0,Position,Offensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Senior,,,,,,,Florida State,,,,,
2,Hometown,"Ojai, Calif.",,,,,,,Florida State,,,,,
3,Other College,Colorado,,,,,,,Florida State,,,,,
0,Position,Offensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Senior,,,,,,,Florida State,,,,,
2,Hometown,"Charlotte, N.C.",,,,,,,Florida State,,,,,
3,Other College,Charlotte,,,,,,,Florida State,,,,,
0,Position,Offensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Miami, Fla.",,,,,,,Florida State,,,,,
0,Position,Offensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Duncanville, Texas",,,,,,,Florida State,,,,,
0,Position,Offensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"LaGrange, Ga.",,,,,,,Florida State,,,,,
3,Other College,Auburn,,,,,,,Florida State,,,,,
0,Position,Offensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Pensacola, Fla.",,,,,,,Florida State,,,,,
0,Position,Offensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Sophomore,,,,,,,Florida State,,,,,
2,Hometown,"McDonough, Ga.",,,,,,,Florida State,,,,,
0,Position,Offensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Miami, Fla.",,,,,,,Florida State,,,,,
0,Position,Offensive Line,,,,,,,Florida State,,,,,
1,Year,Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Stockholm, Sweden",,,,,,,Florida State,,,,,
0,Position,Wide Receiver,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Lake Nona, Fla.",,,,,,,Florida State,,,,,
0,Position,Tight End,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Blairsville, Ga.",,,,,,,Florida State,,,,,
3,Other College,Shorter,,,,,,,Florida State,,,,,
0,Position,Tight End,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Brownsville, Tenn.",,,,,,,Florida State,,,,,
0,Position,Tight End,,,,,,,Florida State,,,,,
1,Year,Sophomore,,,,,,,Florida State,,,,,
2,Hometown,"Ashburn, Va.",,,,,,,Florida State,,,,,
0,Position,Wide Receiver,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Coconut Grove, Fla.",,,,,,,Florida State,,,,,
0,Position,Kicker,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Coolidge, Ga.",,,,,,,Florida State,,,,,
0,Position,Tight End,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Fort Worth, Texas",,,,,,,Florida State,,,,,
0,Position,Defensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"New Orleans, La.",,,,,,,Florida State,,,,,
0,Position,Defensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Baltimore, Md.",,,,,,,Florida State,,,,,
0,Position,Defensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Sophomore,,,,,,,Florida State,,,,,
2,Hometown,"Islip, N.Y.",,,,,,,Florida State,,,,,
0,Position,Defensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Punta Gorda, Fla.",,,,,,,Florida State,,,,,
0,Position,Defensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Cooper City, Fla.",,,,,,,Florida State,,,,,
0,Position,Defensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Miami, Fla.",,,,,,,Florida State,,,,,
0,Position,Defensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Miami, Fla.",,,,,,,Florida State,,,,,
0,Position,Defensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Senior,,,,,,,Florida State,,,,,
2,Hometown,"Tampa, Fla.",,,,,,,Florida State,,,,,
3,Other College,Rhode Island,,,,,,,Florida State,,,,,
0,Position,Kicker,,,,,,,Florida State,,,,,
1,Year,Redshirt Senior,,,,,,,Florida State,,,,,
2,Hometown,"Tallahassee, Fla.",,,,,,,Florida State,,,,,
3,Other College,ETSU,,,,,,,Florida State,,,,,
0,Position,Defensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Miami Gardens, Fla.",,,,,,,Florida State,,,,,
0,Position,Kicker,,,,,,,Florida State,,,,,
1,Year,Redshirt Sophomore,,,,,,,Florida State,,,,,
2,Hometown,"Davie, Fla.",,,,,,,Florida State,,,,,
0,Position,Head Coach,,,,,,,Florida State,,,,,
0,Position,Offensive Coordinator/Offensive Line Coach,,,,,,,Florida State,,,,,
0,Position,Defensive Coordinator,,,,,,,Florida State,,,,,
0,Position,Special Teams Coordinator/Defensive Ends Coach,,,,,,,Florida State,,,,,
0,Position,co-Defensive Coordinator/Linebackers Coach,,,,,,,Florida State,,,,,
0,Position,Deputy Head Coach/Tight Ends Coach,,,,,,,Florida State,,,,,
0,Position,Associate Head Coach/Defensive Tackles Coach,,,,,,,Florida State,,,,,
0,Position,Wide Receivers Coach,,,,,,,Florida State,,,,,
0,Position,Running Backs Coach/Recruiting Coordinator,,,,,,,Florida State,,,,,
0,Position,Defensive Backs Coach,,,,,,,Florida State,,,,,
0,Position,Quarterbacks Coach,,,,,,,Florida State,,,,,
0,,,43.0,Danj Altine,Defensive Back,"5'9""",190.0,Redshirt Senior,Florida State,"Miami, Fla.",Miami Killian,,,
1,,,0.0,"Fabien Lovett, Sr.",Defensive Line,"6'4""",328.0,Redshirt Senior,Florida State,"Vicksburg, Miss.",Olive Branch,Mississippi State,Instagram fab0_  Twitter fabo_54,
2,,,83.0,Fernando Padron,Wide Receiver,"5'9""",168.0,Redshirt Senior,Florida State,"Weston, Fla.",Cypress Bay,,Instagram Fernandojpadron  Twitter Fernandopadronn,
3,,,0.0,Ja’Khi Douglas,Wide Receiver,"5'9""",193.0,Redshirt Junior,Florida State,"Houma, La.",Terrebonne,,Instagram jakhidouglas  Twitter youngg_baller,
4,,,1.0,"Winston Wright, Jr.",Wide Receiver,"5'10""",192.0,Redshirt Senior,Florida State,"Savannah, Ga.",Memorial Day School,West Virginia,Instagram showtimejet  Twitter showtimejet,
5,,,3.0,Kevin Knowles II,Defensive Back,"5'11""",178.0,Junior,Florida State,"Hollywood, Fla.",McArthur,,Instagram kevinknowlesii  Twitter flexxkp5,
6,,,3.0,Trey Benson,Running Back,"6'1""",221.0,Redshirt Junior,Florida State,"Greenville, Miss.",St. Joseph Catholic,Oregon,Instagram treyuno1  Twitter trey_uno1,
7,,,4.0,Kalen DeLoach,Linebacker,"6'1""",211.0,Redshirt Senior,Florida State,"Savannah, Ga.",Islands,,Instagram _delo.4  Twitter KalenDeloach,
8,,,4.0,Mycah Pittman,Wide Receiver,"5'11""",203.0,Redshirt Senior,Florida State,"Tampa, Fla.",Calabasas (Calif.),Oregon,Instagram mycahpittman  Twitter MycahPittman,
9,,,5.0,Deuce Spann,Wide Receiver,"6'4""",207.0,Redshirt Junior,Florida State,"St. Petersburg, Fla.",Lakewood,Illinois,Instagram _deuce6  Twitter deucespann,
10,,,5.0,Jared Verse,Defensive Line,"6'4""",253.0,Redshirt Junior,Florida State,"Dayton, Ohio",Central Columbia (Penn.),Albany,Instagram jversee  Twitter JaredVerse1,
11,,,6.0,"Dennis Briggs, Jr.",Defensive Line,"6'4""",284.0,Redshirt Senior,Florida State,"Kissimmee, Fla.",Gateway,,Instagram dennisbriggsjr  Twitter Briggsdennis2,
12,,,6.0,Jaheim Bell,Tight End,"6'3""",233.0,Redshirt Junior,Florida State,"Lake City, Fla.",Valdosta (Ga.),South Carolina,Instagram dba_bell  Twitter dba_bell,
13,,,7.0,Jarrian Jones,Defensive Back,"6'0""",198.0,Redshirt Senior,Florida State,"Magee, Miss.",Northwest Rankin,Mississippi State,Instagram iamjarrianjones  Twitter jarrianjones,
14,,,8.0,Hykeem Williams,Wide Receiver,"6'2""",215.0,Freshman,Florida State,"Fort Lauderdale, Fla.",Stranahan,,Instagram tha_boi.keem  Twitter tha_boikeem,
15,,,8.0,Renardo Green,Defensive Back,"6'0""",189.0,Redshirt Senior,Florida State,"Orlando, Fla.",Wekiva,,Instagram dondada.8  Twitter nado2times,
16,,,9.0,Lawrance Toafili,Running Back,"6'0""",191.0,Redshirt Junior,Florida State,"St. Petersburg, Fla.",Pinellas Park,,Instagram 9ine.lt  Twitter toafili9,
17,,,10.0,AJ Duffy,Quarterback,"6'2""",215.0,Redshirt Freshman,Florida State,"Inland Empire, Calif.",Rancho Verde,,Instagram ajduffy10  Twitter anthonyjduffy,
18,,,11.0,Brock Glenn,Quarterback,"6'2""",209.0,Freshman,Florida State,"Covington, Tenn.",Lausanne Collegiate School,,Instagram b1glenn  Twitter Brock1Glenn,
19,,,11.0,Patrick Payton,Defensive Line,"6'5""",243.0,Redshirt Sophomore,Florida State,"Miami, Fla.",Miami Northwestern,,Instagram pglizzyyy  Twitter PatPayton6,
20,,,12.0,Joshua Burrell,Athlete,"6'2""",225.0,Redshirt Sophomore,Florida State,"Blythewood, S.C.",Blythewood,,Instagram joshburr9  Twitter JoshBurr9_,
21,,,13.0,Jordan Travis,Quarterback,"6'1""",212.0,Redshirt Senior,Florida State,"West Palm Beach, Fla.",The Benjamin School,Louisville,Instagram jordantrav13  Twitter jordantrav13,
22,,,13.0,Omarion Cooper,Defensive Back,"6'0""",192.0,Junior,Florida State,"Lehigh Acres, Fla.",Lehigh Senior,,Instagram omarioncooper_  Twitter OmarionC2,
23,,,14.0,"Darrell Jackson, Jr.",Defensive Line,"6'5""",326.0,Junior,Florida State,"Havana, Fla.",Gadsden County,Miami,Instagram darrelljacksonjr._  Twitter 95productions1,
24,,,14.0,Johnny Wilson,Wide Receiver,"6'7""",240.0,Redshirt Junior,Florida State,"Pacoima, Calif.",Calbasas,Arizona State,Instagram jjohnnywilson  Twitter jjohnnywilson,
25,,,15.0,Tatum Bethune,Linebacker,"6'1""",230.0,Redshirt Senior,Florida State,"Miami, Fla.",Miami Central,UCF,Instagram tatumx15  Twitter tatumx15,
26,,,16.0,Dylan McNamara,Quarterback,"6'2""",216.0,Redshirt Freshman,Florida State,"Naples, Fla.",Barron Collier,,Instagram _dmac10  Twitter RealDylanMac10,
27,,,16.0,Quindarrius Jones,Defensive Back,"6'2""",200.0,Freshman,Florida State,"Meridian, Miss.",Meridian,,Instagram 16problemsz  Twitter Quindarriusjon1,
