,0,1,No.,Name,Pos.,Ht.,Wt.,Yr.,Current School Name,Hometown,High School,Other College,Socials,Position
61,,,49.0,"James Rosenberry, Jr.",Long Snapper,"6'0""",225.0,Redshirt Senior,Florida State,"Delaware, Ohio",Olentangy,Maryland,Instagram jamesrosenberry  Twitter jrosenberry51,
62,,,51.0,Antavious Woody,Defensive Line,"6'3""",312.0,Redshirt Freshman,Florida State,"Welch, Ala.",LaFayette,,Instagram 2diirtytae_  Twitter Tae_woody,
63,,,52.0,Chase Oliver,Linebacker,"6'1""",207.0,Redshirt Junior,Florida State,"Ocala, Fla.",Trinity Catholic,,Instagram chasevoliver  Twitter CVO_24,
64,,,52.0,"Robert Scott, Jr.",Offensive Line,"6'5""",304.0,Redshirt Junior,Florida State,"Conway, Ark.",Conway,,Instagram 501.scott  Twitter robertscottol,
65,,,53.0,Maurice Smith,Offensive Line,"6'3""",295.0,Redshirt Junior,Florida State,"Miami, Fla.",Miami Central,,Instagram bigreese_53  Twitter RocboyReese,
66,,,54.0,"Byron Turner, Jr.",Defensive Line,"6'4""",237.0,Redshirt Sophomore,Florida State,"Port Sulphur, La.",St. Augustine,,Instagram byrontturnrerjr  Twitter byrontturnrerjr,
67,,,55.0,Braden Fiske,Defensive Line,"6'5""",305.0,Redshirt Senior,Florida State,"Michigan City, Ind.",Michigan City,Western Michigan,Instagram bradenfiske18,
68,,,55.0,Qae’shon Sapp,Offensive Line,"6'4""",326.0,Redshirt Freshman,Florida State,"Leesburg, Ga.",Lee County,,Instagram bb.2hard  Twitter QaeshonSapp,
69,,,56.0,Zane Herring,Offensive Line,"6'5""",315.0,Redshirt Junior,Florida State,"Madison, Fla.",Madison County,,Instagram zaneherring51  Twitter zaneherring51,
70,,,57.0,Aaron Hester,Defensive Line,"6'2""",227.0,Redshirt Freshman,Florida State,"Jacksonville, Fla.",Fletcher,,Instagram theaaronhesterr  Twitter theaaronhesterr,
