,Statistic,#,Full Name,Pos.,Ht.,Wt.,Elig.,Hometown,Current School Name,High School,Previous School,Image,Name,Title
49,,5.0,Justin Lynch,QB,6-1,208.0,Jr.,"Chicago, Ill.",Northern Illinois,Mount Carmel,Temple,,,
50,,54.0,Evan Malcore,OL,6-6,297.0,R-Fr.,"Sun Prairie, Wis.",Northern Illinois,Sun Prairie,,,,
51,,22.0,Cyrus McGarrell,CB,6-2,187.0,R-So.,"Windsor, Ontario, Canada",Northern Illinois,Holy Names Catholic HS/Clearwater Academy International,,,,
52,,13.0,Ty Myles,CB,5-10,189.0,R-So.,"Blackshear, Ga.",Northern Illinois,Pierce County,,,,
53,,41.0,Rashon Myles Jr.,H,6-1,192.0,R-Fr.,"Brownsburg, Ind.",Northern Illinois,Brownsburg,,,,
54,,25.0,Christian Nash,RB,5-11,226.0,R-Fr.,"Omaha, Neb.",Northern Illinois,Millard South,,,,
55,,50.0,Pete Nygra,OL,6-4,295.0,R-So.,"North Indianapolis, Ind.",Northern Illinois,Brownsburg,,,,
56,,95.0,Devonte O'Malley,DT,6-2,278.0,Jr.,"Midlothian, Ill.",Northern Illinois,Bremen,,,,
57,,99.0,Pierce Oppong,DE,6-3,257.0,Jr.,"Bloomington, Minn.",Northern Illinois,Jefferson,,,,
58,,40.0,Izuchukwu Ozoh,TE,6-4,249.0,R-So.,"Hazel Crest, Ill.",Northern Illinois,Homewood-Flossmoor,,,,
59,,23.0,Dane Pardridge,WR,5-11,172.0,R-Fr.,"DeKalb, Ill.",Northern Illinois,Marmion Academy,,,,
60,,9.0,Davis Patterson,WR,6-4,202.0,R-Sr.,"Arlington, Va.",Northern Illinois,Yorktown,Notre Dame College,,,
61,,77.0,Luke Pinnick,OL,6-4,302.0,R-So.,"State Center, Iowa",Northern Illinois,West Marshall,,,,
62,,27.0,Keyshaun Pipkin,WR,6-2,207.0,R-Fr.,"Indianapolis, Ind.",Northern Illinois,North Central,,,,
63,,74.0,Tyler Pitcel,OL,6-4,290.0,R-Jr.,"Mukwonago, Wis.",Northern Illinois,Mukwonago,,,,
