,Statistic,Full Name,Pos.,Ht.,Wt.,Hometown / High School,Academic Year,#,Twitter,Instagram,Last School,Image,Name,Title
95,,Jake Jennings,EDGE,6-4,236.0,"Gig Harbor, Wash. / Gig Harbor",So.,88.0,jake.jennings31,,,,,
96,,Quentin Moore,TE,6-4,248.0,"Kenmore, Wash. / Inglemoor",Jr.,88.0,quentinmoore88,quentin.moore88,Independence (Kan.) CC,,,
97,,Jaden Green,LS,5-11,219.0,"Gilbert, Ariz. / Mesa",Jr.,89.0,jaemoney_8,thejadeng,,,,
98,,Elinneus Davis,DL,6-3,295.0,"Moorhead, Minn. / Moorhead",Fr.,90.0,,,,,,
99,,John Frazier,TE,6-6,221.0,"Mountain View, Calif. / Saint Francis",So.,91.0,,,,,,
100,,Tuli Letuligasenoa,DL,6-1,302.0,"Concord, Calif. / De La Salle",Sr.,91.0,,tuli_letuligasenoa,,,,
101,,Siaosi Finau,DL,6-3,279.0,"Maui, Hawai'i / Renton",So.,93.0,tksiaosi,kingkukii,,,,
102,,Jayvon Parker,DL,6-3,304.0,"Detroit, Mich. / Fordson",So.,94.0,GreatnessJay1,reatnessjay1,,,,
103,,Grady Gross,PK,5-11,212.0,"Scottsdale, Ariz. / Horizon",So.,95.0,,,,,,
104,,Armon Parker,DL,6-3,316.0,"Detroit, Mich. / Fordson",R-Fr.,95.0,parker_armon17,a.parker55,,,,
105,,Bradley McGannon,DL,6-4,305.0,"Yelm, Wash. / Yelm",So.,97.0,BradleyMcgannon,b_mcgannon,,,,
106,,Faatui Tuitele,DL,6-3,314.0,"Honolulu, Hawai'i / Saint Louis",Jr.,99.0,tuitele87,tuitele_91,,,,
107,,Leroy Bryant,CB,6-0,185.0,"Fairfield, Calif. / Angelo Rodriguez",Fr.,,,,,,,
108,,Soane Faasolo,OL,6-8,280.0,"East Palo Alto, Calif. / Menlo-Atherton",Fr.,,,,,,,
109,,Vincent Holmes,S,6-0,185.0,"San Jacinto, Calif. / San Jacinto",Fr.,,,,,,,
110,,Elishah Jackett,OL,6-7,280.0,"Orange, Calif. / El Modena",Fr.,,,,,,,
111,,Jacob Lane,EDGE,6-5,230.0,"Puyallup, Wash. / Emerald Ridge",Fr.,,,,,,,
112,,Taeshaun Lyons,WR,6-3,170.0,"Hayward, Calif. / Tennyson",Fr.,,,,,,,
113,,Austin Mack,QB,-,,"Folsom, Calif. / Folsom",Fr.,,,,,,,
114,,Curley Reed,CB,6-1,180.0,"Iowa, La. / Lake Charles College Prep",Fr.,,,,,,,
115,,Keith Reynolds,WR,5-10,170.0,"Adelanto, Calif. / Adelanto",Fr.,,,,,,,
116,,Kahlee Tafai,OL,6-6,300.0,"Los Angeles, Calif. / Leuzinger",Fr.,,,,,,,
117,,Rashid Williams,WR,6-2,185.0,"Brentwood, Calif. / Pittsburg",Fr.,,,,,,,
0,,,,,,,,,,,,,Kalen DeBoer,Head Football Coach
1,,,,,,,,,,,,,Ryan Grubb,Offensive Coordinator/Quarterbacks Coach
2,,,,,,,,,,,,,William Inge,Assistant Head Coach/Co-Defensive Coordinator/Linebackers Coach
3,,,,,,,,,,,,,Chuck Morrell,Co-Defensive Coordinator/Safeties Coach
4,,,,,,,,,,,,,Eric Schmidt,Special Teams Coordinator/EDGEs Coach
5,,,,,,,,,,,,,JaMarcus Shephard,Associate Head Coach/Passing Game Coord./Wide Receivers
6,,,,,,,,,,,,,Inoke Breckterfield,Defensive Line Coach
7,,,,,,,,,,,,,Julius Brown,Cornerbacks Coach
8,,,,,,,,,,,,,Scott Huff,Offensive Line Coach
9,,,,,,,,,,,,,Lee Marks,Assistant Head Coach/Running Backs Coach
10,,,,,,,,,,,,,Nick Sheridan,Tight Ends Coach
11,,,,,,,,,,,,,Ron McKeefery,Head Strength & Conditioning Coach
12,,,,,,,,,,,,,Bryan Fink,Assistant Strength & Conditioning Coach
13,,,,,,,,,,,,,AJ Middleton,Assistant Strength & Conditioning Coach
14,,,,,,,,,,,,,Zack Cook,Assistant Strength & Conditioning Coach
15,,,,,,,,,,,,,Ben Creamer,Director of Sports Science
16,,,,,,,,,,,,,Nick Brautigam,Quality Control - Defense
17,,,,,,,,,,,,,C.J. McGorisk,Quality Control - Defense
18,,,,,,,,,,,,,Paul Creighton,Quality Control - Special Teams
19,,,,,,,,,,,,,Mitch Dahlen,Quality Control - Offense
20,,,,,,,,,,,,,Eric Amoako,Graduate Assistant - Defense
21,,,,,,,,,,,,,Taylor Pope,Graduate Assistant - Offense
0,,,,,,,,,,,,,Aaron Knotts,Chief of Staff
1,,,,,,,,,,,,,Courtney Morgan,Director of Player Personnel
2,,,,,,,,,,,,,Deborah Goldstein,Director of Football Operations
3,,,,,,,,,,,,,Ali Smith,Executive Assistant to the Head Football Coach
4,,,,,,,,,,,,,Spencer Henkle,Director of Recruiting
5,,,,,,,,,,,,,Justin Glenn,Director of Player Development
6,,,,,,,,,,,,,Jerret McElwain,Director of Scouting
7,,,,,,,,,,,,,Joyce Harrell,Director of On-Campus Recruiting
8,,,,,,,,,,,,,Amber Bunch,Director of Football NIL Strategy
9,,,,,,,,,,,,,Jacob Otten,Director of Football Technology
10,,,,,,,,,,,,,Koby McCallum,Assistant Director of Football Technology
11,,,,,,,,,,,,,Kasey Byers,Senior Director of Creative Services
12,,,,,,,,,,,,,Hadley Heck,Director of Social Media
13,,,,,,,,,,,,,Spencer Klein,Assistant Director of Graphic Design
14,,,,,,,,,,,,,Monica Kim,Program Coordinator
15,,,,,,,,,,,,,Bart Fullmer,Director of Equipment Operations
16,,,,,,,,,,,,,Trevor Wood,Manager of Football Equipment Operations
17,,,,,,,,,,,,,Jake Graff,Assistant Equipment Manager
18,,,,,,,,,,,,,Daren Nystrom,Senior Associate Athletic Trainer
19,,,,,,,,,,,,,Jaqui Carrell,Assistant Athletic Trainer
20,,,,,,,,,,,,,Jori Collier,Physical Therapist/Athletic Trainer
21,,,,,,,,,,,,,Anna DeLeo,Assistant Athletic Trainer
22,,,,,,,,,,,,,"Kim Harmon, MD",Associate Team Physician
23,,,,,,,,,,,,,Alison VandenBerghe,"Director, Football Performance Nutrition"
24,,,,,,,,,,,,,Jeff Bechthold,Assistant Athletic Director for Athletic Communications
25,,,,,,,,,,,,,Hailee Roe,Assistant Director of Communications
