,Statistic,#,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School (Previous School),Current School Name,Image,Name,Title
56,,33.0,Jake Newman,LB,6-1,205.0,Jr.,"Anaheim Hills, Calif. / St. John Bosco HS",UCLA,,,
57,,35.0,Devanti Dillard,WR,6-0,200.0,R-So.,"Fontana, Calif. / Etiwanda HS",UCLA,,,
58,,35.0,Carl Jones Jr.,LB,6-2,228.0,Sr.,"Bakersfield, Calif. / Bakersfield HS",UCLA,,,
59,,36.0,Alex Johnson,DB,6-0,185.0,R-Jr.,"Carson, Calif. / Loyola HS",UCLA,,,
60,,37.0,Elijah Rodriguez,WR,5-9,170.0,Fr.,"Norco, Calif. / Norco HS",UCLA,,,
61,,39.0,Kaleb Tuliau,DB,6-0,175.0,R-Jr.,"Long Beach, Calif. / Centennial HS",UCLA,,,
62,,41.0,Devin Aupiu,LB,6-5,237.0,So.,"Oxnard, Calif. / Pacifica HS (Notre Dame)",UCLA,,,
63,,41.0,Jelani Warren,DB,6-0,199.0,R-Jr.,"Oakland, Calif. / Bishop O'Dowd HS",UCLA,,,
64,,43.0,James Dinneen,LB,6-2,225.0,R-Jr.,"Los Altos, Calif. / Saint Francis HS",UCLA,,,
65,,44.0,Martin Andrus Jr.,DL,6-2,305.0,R-Sr.,"Long Beach, Calif. / Los Angeles HS",UCLA,,,
66,,45.0,Chase Barry,P,6-4,215.0,Fr.,"San Juan Capistrano, Calif. / JSerra Catholic HS",UCLA,,,
67,,46.0,Hayden Harris,DL,6-5,251.0,R-Jr.,"Mill Creek, Wash. / Eastside Catholic School",UCLA,,,
68,,47.0,Erich Osteen,LB,6-2,220.0,R-Jr.,"Simi Valley, Calif. / Chaminade College Preparatory",UCLA,,,
69,,47.0,Shea Pitts,LB,5-11,205.0,R-Sr.,"Agoura Hills, Calif. / Oaks Christian School",UCLA,,,
70,,48.0,Joquarri Price,LB,6-1,220.0,R-So.,"Mesa, Ariz. / Desert Ridge HS",UCLA,,,
71,,49.0,Carson Schwesinger,LB,6-2,210.0,R-Fr.,"Moorpark, Calif. / Oaks Christian School",UCLA,,,
72,,51.0,Jack Landherr IV,LS,6-1,238.0,Sr.,"Chino Hills, Calif. / Chino Hills HS",UCLA,,,
73,,52.0,Benjamin Roy Jr.,OL,6-2,285.0,R-Fr.,"Las Vegas, Nev. / Liberty HS",UCLA,,,
74,,52.0,Jeremiah Trojan,LB,6-2,219.0,R-So.,"Chandler, Ariz. / Hamilton HS",UCLA,,,
75,,53.0,Darius Muasau,LB,6-1,230.0,Sr.,"Ewa Beach, Hawaii / Mililani HS (Hawai'i)",UCLA,,,
76,,53.0,Sam Yoon,OL,6-5,280.0,Fr.,"Pasadena, Calif. / Loyola HS",UCLA,,,
77,,54.0,Josh Carlin,OL,6-5,315.0,R-Jr.,"Westlake Village, Calif. / Sierra Canyon School",UCLA,,,
78,,56.0,Kobey Fitzgerald,LB,6-0,215.0,R-Sr.,"Eastvale, Calif. / Servite HS (Riverside CC)",UCLA,,,
79,,56.0,Atonio Mafi,OL,6-4,339.0,R-Sr.,"Shoreview, Calif. / Junipero Serra HS",UCLA,,,
80,,57.0,Jon Gaines II,OL,6-4,300.0,Sr.,"Wauwatosa, Wisc. / Marquette University HS",UCLA,,,
81,,58.0,Gary Smith III,DL,6-2,320.0,Jr.,"Shelbyville, Tenn. / Shelbyville Central HS (Duke)",UCLA,,,
82,,59.0,Siale Taupaki,OL,6-4,325.0,R-Jr.,"East Oakland, Calif. / Oakland HS",UCLA,,,
83,,60.0,Beau Gardner,LS,6-4,250.0,R-So.,"San Francisco, Calif. / St. Ignatius College Preparatory",UCLA,,,
84,,62.0,Duke Clemens,OL,6-3,302.0,Sr.,"Kailua, Hawaii / Punahou School",UCLA,,,
85,,63.0,Brad Whitworth,OL,6-4,270.0,R-Jr.,"Temecula, Calif. / Linfield Christian School",UCLA,,,
86,,64.0,Sam Marrazzo,OL,6-3,301.0,R-Sr.,"Aliso Viejo, Calif. / Aliso Niguel HS",UCLA,,,
87,,66.0,Niki Prongos,OL,6-7,272.0,Fr.,"Kentfield, Calif. / Marin Catholic HS",UCLA,,,
88,,67.0,Yutaka Mahe,OL,6-6,300.0,R-Fr.,"Hawthorne, Calif. / Da Vinci Schools",UCLA,,,
89,,68.0,Noah Pulealii,OL,6-3,310.0,R-Fr.,"Marina, Calif. / Palma School",UCLA,,,
90,,69.0,Justin Williams,OL,6-2,263.0,R-So.,"Rancho Santa Margarita, Calif. / Tesoro HS",UCLA,,,
91,,71.0,Raiqwon O'Neal,OL,6-4,305.0,R-Jr.,"Conway, S.C. / Conway HS (Rutgers)",UCLA,,,
92,,72.0,Garrett DiGiorgio,OL,6-6,312.0,R-Fr.,"Oak Hills, Calif. / Serrano HS",UCLA,,,
93,,75.0,Bruno Fina,OL,6-4,290.0,R-So.,"Tucson, Ariz. / Salpointe Catholic HS",UCLA,,,
94,,77.0,Jaylan Jeffers,OL,6-5,304.0,R-So.,"Phoenix, Ariz. / Saguaro HS (Oregon)",UCLA,,,
95,,78.0,Liam Douglass,OL,6-5,315.0,Sr.,"Topanga, Calif. / Harvard-Westlake School (USC)",UCLA,,,
96,,81.0,Hudson Habermehl,TE,6-6,252.0,R-Jr.,"Roseville, Calif. / Woodcreek HS",UCLA,,,
97,,82.0,Sam Summa,TE,6-7,248.0,R-Fr.,"Hilton Head Island, S.C. / Hilton Head HS",UCLA,,,
98,,83.0,David Priebe,TE,6-6,241.0,R-Jr.,"Waco, Texas / Midway HS",UCLA,,,
99,,86.0,Michael Ezeike,TE,6-5,252.0,R-Sr.,"Upland, Calif. / Colony HS",UCLA,,,
100,,87.0,Grant Norberg,TE,6-7,225.0,R-So.,"San Diego, Calif. / Scripps Ranch HS",UCLA,,,
101,,89.0,Michael Churich,TE,6-6,240.0,R-Jr.,"Burlingame, Calif. / Junipero Serra HS",UCLA,,,
102,,92.0,Quintin Somerville,DL,6-2,265.0,R-Fr.,"Chandler, Ariz. / Saguaro HS",UCLA,,,
103,,93.0,R.J. Lopez,K,5-11,185.0,Jr.,"Huntington Beach, Calif. / Mission Viejo HS",UCLA,,,
104,,93.0,Jay Toia,DL,6-3,325.0,So.,"Inglewood, Calif. / Grace Brethren HS (USC)",UCLA,,,
105,,94.0,Dovid Magna,DL,6-4,315.0,R-Jr.,"Malibu, Calif. / Malibu HS",UCLA,,,
106,,95.0,Sitiveni Havili-Kaufusi,DL,6-3,282.0,R-Jr.,"Waimanalo, Hawaii / Punahou School",UCLA,,,
107,,96.0,Ari Libenson,K,5-9,170.0,R-So.,"Berkeley, Calif. / Berkeley HS",UCLA,,,
108,,96.0,Hayden Nelson,LB,6-3,235.0,R-Fr.,"Brookfield, Wisc. / Brookfield Central HS",UCLA,,,
109,,97.0,Joseph Firebaugh Jr.,K,6-2,185.0,R-Fr.,"San Diego, Calif. / Otay Ranch HS (Southwestern College)",UCLA,,,
110,,99.0,Kalen Jones,K,5-9,165.0,Fr.,"San Diego, Calif. / Eastlake HS",UCLA,,,
111,,99.0,Jacob Sykes,DL,6-3,277.0,R-Sr.,"Kansas City, Mo. / Rockhurst HS (Harvard)",UCLA,,,
0,,,,,,,,,UCLA,,Chip Kelly,Head Coach
1,,,,,,,,,UCLA,,Keith Belton,Director of Football Performance
2,,,,,,,,,UCLA,,Tim Drevno,Offensive Line
3,,,,,,,,,UCLA,,Jeff Faris,Tight Ends
4,,,,,,,,,UCLA,,DeShaun Foster,Running Backs
5,,,,,,,,,UCLA,,Ryan Gunderson,Quarterbacks
6,,,,,,,,,UCLA,,Chad Kauha’aha’a,Defensive Line
7,,,,,,,,,UCLA,,Ikaika Malloe,Outside Linebackers/Special Teams Coordinator
8,,,,,,,,,UCLA,,Bill McGovern,Defensive Coordinator
9,,,,,,,,,UCLA,,Jerry Neuheisel,Wide Receivers
10,,,,,,,,,UCLA,,Ken Norton Jr.,Inside Linebackers
11,,,,,,,,,UCLA,,Brian Norwood,"Assistant Head Coach, Passing Game Coordinator, Defensive Backs"
