,Statistic,#,Name,Pos.,Ht.,Wt.,Yr.,Hometown,High School,Previous School,Instagram,Twitter,Image,Title
17,,,DJ Warkenthien,,,,,,,,,,,Defensive Graduate Assistant (LB)
18,,,Peyton Yanagi,,,,,,,,,,,Defensive Graduate Assistant (Special Teams/Specialists)
0,,,Jim Mastro,,,,,,,,,,,Senior Director of Football Administration and Operations
1,,,Virgil Green,,,,,,,,,,,Director of Player Personnel
2,,,Eli Miller,,,,,,,,,,,Director of Football Operations
3,,,Jace Parker,,,,,,,,,,,Director of Recruiting
4,,,Alec Watt,,,,,,,,,,,On-Campus Recruiting Coordinator
5,,,Dennis Eck,,,,,,,,,,,Assistant On-Campus Coordinator
6,,,Spencer Hiett,,,,,,,,,,,Associate Director of Sports Medicine (Football)
7,,,Joey Albanese,,,,,,,,,,,Video Coordinator
8,,,Josh Hoover,,,,,,,,,,,Creative Media Specialist
9,,,Max Campbell,,,,,,,,,,,Student Assistant - Quarterbacks
10,,,Devansh Mehra,,,,,,,,,,,Student Assistant - Defensive Backs/Recruiting
