,Statistic,NO,NAME,POS,HT,WT,YEAR,EXP,Current School Name,HOMETOWN/LAST SCHOOLS,NOTES,Image,Name,Title
68,,51.0,Blake Antzoulatos,ILB,6-2,230.0,R-Jr.,4th,California,"Simi Valley, CA / Chaminade College Prep",^,,,
69,,52.0,Braxten Croteau,OLB,6-5,245.0,Sr.,4th,California,"Peoria, AZ / Liberty HS",^,,,
70,,53.0,Kaleb Elarms-Orr,ILB,6-2,220.0,R-Fr.,2nd,California,"Hayward, CA / Moreau Catholic HS",,,,
71,,54.0,Spencer Lovell,OL,6-6,335.0,R-Sr.,5th,California,"Fort Collins, CO / Arizona State / Rocky Mountain HS",^,,,
72,,55.0,Muelu Iosefa,ILB,6-3,230.0,Jr.,3rd,California,"Waipahu, HI / Mililani HS",^,,,
73,,57.0,Ieremia Ieremia,DE,6-3,255.0,R-Fr.,2nd,California,"Porirua, New Zealand / St. John Bosco HS / Hamilton Boys' HS",,,,
74,,59.0,Ryan Puskas,ILB,6-3,235.0,R-Jr.,4th,California,"Peoria, AZ / Liberty HS",^,,,
75,,60.0,Brian Driscoll,OL,6-4,315.0,R-Jr.,4th,California,"San Diego, CA / Torrey Pines HS",^,,,
76,,62.0,Ben Coleman,OL,6-4,330.0,R-Jr.,4th,California,"Murrieta, CA / Linfield Christian HS",^,,,
77,,63.0,Brayden Rohme,OL,6-6,285.0,R-Jr.,4th,California,"Chandler, AZ / Perry HS",^,,,
78,,64.0,Joshua Stovall,OL,6-4,285.0,Fr.,1st,California,"Menifee, CA / Vista Murrieta HS",,,,
79,,65.0,Dylan Jemtegaard,OL,6-4,290.0,R-Fr.,2nd,California,"Yelm, WA / Yelm HS",,,,
80,,66.0,Colin Hamilton,OL,6-7,305.0,R-So.,3rd,California,"Edmonds, WA / King's HS",^,,,
81,,67.0,Colin Moroney,OL,6-5,265.0,R-So.,3rd,California,"Danville, CA / San Ramon Valley HS",^,,,
82,,68.0,Trent Ramsey,OL,6-5,285.0,Fr.,1st,California,"Palm Harbor, FL / Carrollwood Day School",,,,
83,,70.0,Ryan Lange,OL,6-6,340.0,R-Fr.,2nd,California,"Pittsburg, CA / Pittsburg HS",,,,
84,,71.0,Sioape Vatikani,OL,6-3,335.0,Fr.,1st,California,"Reno, NV / Bishop Manogue Catholic HS",,,,
85,,72.0,T.J. Session,OL,6-4,300.0,R-Jr.,4th,California,"Menifee, CA / Montana State / Vista Murrieta HS",^,,,
86,,73.0,Matthew Cindric,OL,6-4,295.0,R-Sr.,5th,California,"Sammamish, WA / Skyline HS",^,,,
87,,74.0,Dashaun Harris,OL,6-2,320.0,Fr.,1st,California,"Santa Clarita, CA / Sierra Canyon HS",,,,
88,,75.0,Jaedon Roberts,DL,6-3,305.0,Jr.,3rd,California,"Marin City, CA / Avon Old Farms HS",^,,,
89,,76.0,Bastian Swinney,OL,6-6,310.0,R-Fr.,2nd,California,"Minneapolis, MN / Edina HS",,,,
90,,77.0,Everett Johnson,OL,6-7,310.0,Jr.,3rd,California,"Turlock, CA / Turlock HS",^,,,
91,,78.0,Jackson Brown,OL,6-6,305.0,Fr.,1st,California,"Danville, CA / San Ramon Valley HS",,,,
92,,79.0,Ender Aguilar,OL,6-5,285.0,R-So.,3rd,California,"Mission Viejo, CA / Servite HS",^,,,
93,,80.0,Jordan King,WR,6-2,215.0,Fr.,1st,California,"Portland, OR / Central Catholic HS",,,,
94,,81.0,Elijah Mojarro,TE,6-4,240.0,R-Jr.,4th,California,"Orange, CA / Orange Lutheran HS",^,,,
95,,82.0,Mason Mangum,WR,5-11,185.0,R-So.,3rd,California,"Austin, TX / Westlake HS",^,,,
96,,83.0,Chris Rogers,WR,6-3,190.0,R-Jr.,4th,California,"Lafayette, CA / Acalanes HS",^,,,
97,,84.0,Jaiven Plummer,WR,6-3,210.0,Fr.,1st,California,"Sacramento, CA / Episcopal HS / Massaponax HS",,,,
98,,85.0,Keleki Latu,TE,6-6,230.0,So.,2nd,California,"Sacramento, CA / Jesuit HS",,,,
99,,86.0,Jeffrey Johnson,TE,6-5,240.0,R-Fr.,2nd,California,"Manhattan Beach, CA / Loyola HS",,,,
100,,87.0,Jack Endries,TE,6-4,230.0,Fr.,1st,California,"Danville, CA / Monte Vista HS",,,,
101,,88.0,Nick Alftin,TE,6-5,230.0,R-Sr.,5th,California,"Woodside, CA / Archbishop Mitty HS",^,,,
102,,89.0,Tommy Christakos,WR,6-4,220.0,Jr.,3rd,California,"Scottsdale, AZ / Chaparral HS",^,,,
103,,90.0,Brett Johnson,DL,6-5,295.0,R-Jr.,4th,California,"Phoenix, AZ / Desert Vista HS",^,,,
104,,91.0,Ricky Correia,NG,6-4,335.0,Jr.,3rd,California,"Fresno, CA / Central HS",^,,,
105,,92.0,Myles Williams,OLB,6-3,250.0,R-Fr.,2nd,California,"Woodland Hills, CA / Bishop Alemany HS",,,,
106,,93.0,Elijah Diaz,DE,6-2,225.0,Fr.,1st,California,"Corona, CA / Eleanor Roosevelt HS",,,,
107,,94.0,Gunnar Rask,NG,6-2,305.0,R-Jr.,4th,California,"Walnut Creek, CA / De La Salle HS",^,,,
108,,95.0,Akili Calhoun,DE,6-4,275.0,R-Fr.,2nd,California,"Brentwood, CA / Liberty HS",,,,
109,,96.0,Derek Wilkins,DE,6-5,295.0,R-Fr.,2nd,California,"Irvine, CA / Santa Margarita Catholic HS",,,,
110,,97.0,Odua Isibor,OLB,6-3,260.0,R-Sr.,6th,California,"Phoenix, AZ / UCLA / Saint Mary's Catholic HS",,,,
111,,98.0,Nate Burrell,DE,6-2,270.0,Fr.,1st,California,"Los Angeles, CA / St. John Bosco HS",,,,
112,,99.0,Ethan Saunders,DE,6-3,285.0,Jr.,3rd,California,"Inglewood, CA / Orange Vista HS",^,,,
0,,,,,,,,,California,,,,Justin Wilcox,Travers Family Head Football Coach
1,,,,,,,,,California,,,,Bill Musgrave,Offensive Coordinator/Quarterbacks
2,,,,,,,,,California,,,,Peter Sirmon,Defensive Coordinator/Inside Linebackers
3,,,,,,,,,California,,,,Terrence Brown,Defensive Backs
4,,,,,,,,,California,,,,Geep Chryst,Tight Ends
5,,,,,,,,,California,,,,Andrew Browning,Defensive Line
6,,,,,,,,,California,,,,Angus McClure,Offensive Line
7,,,,,,,,,California,,,,Vic So'oto,Outside Linebackers
8,,,,,,,,,California,,,,Aristotle Thompson,Running Backs
9,,,,,,,,,California,,,,Burl Toler III,Wide Receivers/Recruiting Coordinator
10,,,,,,,,,California,,,,Tre Watson,Defensive Backs
11,,,,,,,,,California,,,,Brian Johnson,Head Athletic Performance Coach
0,,,,,,,,,California,,,,Kris Arden,Learning Specialist Coordinator
1,,,,,,,,,California,,,,Jake Barger,Graphic Designer
2,,,,,,,,,California,,,,Michael Barton,"Quality Control, Special Teams"
3,,,,,,,,,California,,,,Zac Bocian,Senior Director Of Football Affairs
4,,,,,,,,,California,,,,Allen Brown,"Quality Control, Defense"
5,,,,,,,,,California,,,,Andrew Chang,Athletic Trainer
6,,,,,,,,,California,,,,Marshall Cherrington,Director Of Player Personnel
7,,,,,,,,,California,,,,Ron Coccimiglio,Director Of Career Development
8,,,,,,,,,California,,,,Cheryl Cox,Sports Science Performance Coach
9,,,,,,,,,California,,,,Jenny Eberle,Learning Specialist
10,,,,,,,,,California,,,,Tim Feaster,Director Of Equipment
11,,,,,,,,,California,,,,Matt Fox,Director Of Technology
12,,,,,,,,,California,,,,Ben Gaus,Director Of Recruiting Operations
13,,,,,,,,,California,,,,Tarik Glenn,Student-Athlete Development Advisor
14,,,,,,,,,California,,,,Denis Hallin,Director Of Football Operations
15,,,,,,,,,California,,,,Zach Higginbotham,Applied Science & Reconditioning Coordinator
16,,,,,,,,,California,,,,Kenny Hill,"Quality Control, Offense"
17,,,,,,,,,California,,,,"Lindsay Huston, MD",Head Team Physician
18,,,,,,,,,California,,,,Kristy Illg PT ATC,Assistant Athletic Trainer
19,,,,,,,,,California,,,,Brenden Lambert MS ATC,Head Athletic Trainer
20,,,,,,,,,California,,,,Ellen Macomson,Academic Advisor
21,,,,,,,,,California,,,,Andrew McGraw,Football Chief of Staff
22,,,,,,,,,California,,,,Shawn McGuire,Director Of Academic Support
23,,,,,,,,,California,,,,Norman Mo,Operations Assistant/Director Of Communications
24,,,,,,,,,California,,,,Joseph Moro,Assistant Director Of Equipment
25,,,,,,,,,California,,,,Nina Moskowitz,Learning Specialist
26,,,,,,,,,California,,,,David Ortega Jr.,Football Video And Systems Analyst
27,,,,,,,,,California,,,,T.J. Owens,Assistant Athletic Performance Coach
28,,,,,,,,,California,,,,Benji Palu,Director Of Recruiting
29,,,,,,,,,California,,,,Evan Rabinowitz,Director Of Video Production
30,,,,,,,,,California,,,,Lindsay Renterias,Assistant Athletic Trainer
31,,,,,,,,,California,,,,Michael Saffell,"Graduate Assistant, Offense"
32,,,,,,,,,California,,,,Debbie Schram,Executive Assistant To Head Coach
33,,,,,,,,,California,,,,Ben Hawk Schrider,"Graduate Assistant, Defense"
34,,,,,,,,,California,,,,Kevin Shubow MED ATC,Assistant Athletic Trainer
35,,,,,,,,,California,,,,Austin Taylor,"Graduate Assistant, Defense"
36,,,,,,,,,California,,,,Zach Werlinger,"Graduate Assistant, Offense"
37,,,,,,,,,California,,,,Ed Wright,Academic Advisor
