,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Previous School,Custom Field 1,Twitter,Instagram,Image,Name,Title
76,,66.0,Christian Judkins,,-,,Fr.,/,,,,,,,
77,,67.0,Nathan Arguelles,DL,6-2,260.0,So.,"Murrieta, CA / Vista Murrieta HS",Saddleback College,TR,,,,,
78,,68.0,Jayden Ahboah,OL,6-5,300.0,So.,"Phoenix, AZ / Desert Edge HS",Fort Lewis College,TR,,,,,
79,,69.0,Marcus Miller,OL,6-4,325.0,Jr.,"Castro Valley, CA / Castro Valley HS",,SQ,marcus__evan,,,,
80,,70.0,Tiger Shanks,OL,6-5,320.0,Jr.,"Lake Oswego, OR / Lake Oswego HS",,2L,Shanks9Tiger,tigershanks1,,,
81,,73.0,Alani Makihele,OL,6-3,350.0,Jr.,"Anchorage, AK / West HS",,1L,alanimak_,alanimak,,,
82,,74.0,Jalen St. John,OL,6-5,320.0,Jr.,"St. Louis, MO / Trinity Catholic HS",Arkansas,TR,@_jstjohnIII,@triplechop_,,,
83,,75.0,Anton Ambuehl,OL,6-6,290.0,So.,"Santa Monica, CA / Calabasas HS",,SQ,AmbuehlAnton,anton_ambuehl,,,
84,,77.0,Anthony Berry,OL,6-6,290.0,Sr.,"Urbandale, IA / Urbandale HS",Iowa Central CC,SQ,anthonyberry05,anthonyberry___,,,
85,,80.0,Brye Lighon,TE,6-2,230.0,So.,"Murrieta, CA / Linfield Christian School",,SQ,Brye_lighon11,brye.lighon,,,
86,,81.0,Rogerick Ray,WR/RB,5-10,190.0,Jr.,"Raleigh, NC / North Raleigh Christian",Jackson State,TR,,,,,
87,,82.0,Tyler Thomas,WR,5-11,170.0,Fr.,"Atlanta, GA / Santa Monica HS",,HS,,,,,
88,,83.0,Andre Meono,PK,6-1,185.0,Fr.,"Redondo Beach, CA / St. John Bosco HS",Fresno State,HS,@andre_meono,,,,
89,,84.0,Charlie Williams,TE,6-4,240.0,Fr.,"Aspen, CO / IMG Academy",,HS,@Charliew_8,charles.williams8,,,
90,,87.0,Christian Earls,TE,6-7,225.0,So.,"Chandler, AZ / Basha HS",Kilgore College,TR,@christianearlss,@christianearlss,,,
91,,88.0,Shelton Zeon III,TE,6-4,250.0,Sr.,"Norcross, GA / Norcross HS",,4L,shelton_zeon21,ocho_2x_,,,
92,,89.0,Malik Bradford,WR,6-2,220.0,So.,"Long Beach, CA / Milikan HS",,SQ,malikbrad10,malik_brad10,,,
93,,90.0,Marshall Nichols,P,6-1,210.0,So.,"Atlanta, GA / Holy Innocents Episcopal",Mississippi State,1L,MarshallN1_17,marshall_nichols,,,
94,,94.0,Ben Key,DL,6-3,315.0,Sr.,"Cranbourne West, AUS / Cathedral HS",East LA College/Missouri,1L,BenRKeyy,,,,
95,,95.0,L'Cier Luter,DL,6-3,315.0,So.,"Detroit, MI / Cass Tech HS",Northern Colorado,SQ,lcierluter,,,,
96,,96.0,Waisale Muavesi,DL,6-2,300.0,Jr.,"Provo, UT / Timpview HS",,2L,Wmuavesi_104,waisale.muavesi,,,
97,,97.0,Nick Dimitris,DL,6-4,285.0,So.,"Watts, CA / Sierra Vista HS",,SQ,4nikc4,9nikc7,,,
98,,98.0,Tatuo Martinson,DL,6-1,300.0,Sr.,"Loomis, CA / Del Oro HS",American River College,SQ,TMartinson90,tatuo_martinson,,,
99,,99.0,LeShaun Bell,OLB,6-3,235.0,Jr.,"Thousand Oaks, CA / Calabasas HS",,2L,LeshaunBell,leshaunbell,,,
0,,,,,,,,,,,,,,Barry Odom,Head Football Coach
1,,,,,,,,,,,,,,Mike Scherer,Defensive Coordinator/Linebackers
2,,,,,,,,,,,,,,Brennan Marion,Offensive Coordinator/Quarterbacks
3,,,,,,,,,,,,,,James Shibest,Special Teams Coordinator
4,,,,,,,,,,,,,,Vance Vice,Offensive Line
5,,,,,,,,,,,,,,Cornell Ford,Running Backs
6,,,,,,,,,,,,,,Del Alexander,Wide Receivers
7,,,,,,,,,,,,,,Nate Longshore,Tight Ends
8,,,,,,,,,,,,,,Ricky Logo,Defensive Line
9,,,,,,,,,,,,,,Akeem Davis,Cornerbacks
10,,,,,,,,,,,,,,Damon Magazu,Safeties
11,,,,,,,,,,,,,,James Brown,Analyst - Special Teams
12,,,,,,,,,,,,,,Kenneth Merchant,Analyst - Offense
13,,,,,,,,,,,,,,Nicco Fertitta,Analyst - Defense
14,,,,,,,,,,,,,,Robbie Bell,Graduate Assistant - Offense
15,,,,,,,,,,,,,,CJ Pollard,Graduate Assistant - Offense
16,,,,,,,,,,,,,,Julio Garcia,Graduate Assistant - Defense
0,,,,,,,,,,,,,,Mark Ouimet,Director of Football Operations
1,,,,,,,,,,,,,,Brad Odom,Director of Player Personnel
2,,,,,,,,,,,,,,Hunkie Cooper,Dir. of Football Player Development and Community Engagement
3,,,,,,,,,,,,,,Jeff Fish,Director of Football Strength and Conditioning
4,,,,,,,,,,,,,,Shawn Field,Associate Head Football Strength & Conditioning Coach
5,,,,,,,,,,,,,,Qua Scott,Strength & Conditioning Coach
6,,,,,,,,,,,,,,Deon Edwards,Assistant Football Strength & Conditioning Coach
7,,,,,,,,,,,,,,Kelsea Winkle,Director of Recruiting
8,,,,,,,,,,,,,,Ethan Baxter,Football Administration Assistant
9,,,,,,,,,,,,,,Tausha Smith,"Assistant Athletics Director, Equipment & Purchasing"
10,,,,,,,,,,,,,,Quintin Kohorst,Head Football Equipment Manager
11,,,,,,,,,,,,,,Jake Corbett,Head Football Equipment Manager
12,,,,,,,,,,,,,,Ross LoCascio,Football Video Coordinator
13,,,,,,,,,,,,,,David Wedley,"Director, Student-Athlete Academic Services (Football)"
14,,,,,,,,,,,,,,Myke Molina,Academic Eligibility Specialist (Football)
15,,,,,,,,,,,,,,"Kennedy Springer, MS, RD, LDN",Director of Performance Nutrition
16,,,,,,,,,,,,,,Galina Lodge,Football Dietician
17,,,,,,,,,,,,,,"Alfred Castillo, MS, LAT, ATC",Director of Sports Medicine/Head Athletic Trainer (Football)
18,,,,,,,,,,,,,,"Joanna Key, LAT, ATC",Interim Associate Athletic Trainer (Football)
