,Statistic,#,Full Name,Pos.,Ht.,Academic Year,Hometown / High School,Wt.,Previous School,Twitter,Instagram,Image,Name,Title
85,,72.0,Cole Best,OL,6-4,So.,"Winter Park, Fla. / Trinity Prep",305.0,,ColeBest,@colebest72,,,
86,,73.0,Donovan Jennings,OL,6-5,Gr.,"Tampa, Fla. / Gaither HS",333.0,,donovan_blu,donovan1124,,,
87,,74.0,Deonte Bowie,OL,6-4,So.,"Pflugerville, Texas / Hendrickson HS",319.0,Blinn College,,,,,
88,,75.0,Andrew Kilfoyl,OL,6-5,So.,"Tampa, Fla. / Gaither HS",320.0,,KilfoylAndrew,andrewkilfoyl_75,,,
89,,76.0,Nikola Milovac,OL,6-6,Fr.,"Indjija, Serbia / Clearwater Academy International",303.0,,,,,,
90,,77.0,Zach Perkins,OL,6-5,So.,"Tampa, Fla. / Berkeley Prep",328.0,Maryland,zachperkins12,zachperk77,,,
91,,80.0,Jayson Littlejohn,TE,6-4,Sr.,"Hanford, Calif. / Sierra Pacific HS",248.0,College of the Sequoias,jaylittlejohn01,jay.litt_,,,
92,,84.0,Cade Roberts,WR,5-11,R-Fr.,"Santa Rosa Beach, Fla. / South Walton HS",180.0,,cadenroberts5,cadeo__,,,
93,,85.0,Christian Helms,WR,6-2,Jr.,"Seffner, Fla. / Seffner Christian HS",195.0,,cmhelms85,cmhelms85,,,
94,,86.0,Demitrius Carter Jr.,WR,6-3,Fr.,"Lutz, Fla. / Steinbrenner HS",180.0,,,,,,
95,,87.0,Gunnar Greenwald,TE,6-4,Jr.,"Satellite, Fla. / Satellite HS",240.0,,gunnargreenwald,gunnargreenwald,,,
96,,88.0,Teigan Martin,TE,6-6,Fr.,"Mayer, Minn. / Mayer Lutheran HS",226.0,Liberty University,,,,,
97,,89.0,Collin Affleck,TE,6-5,Fr.,"Great Falls, Va. / Langley HS",240.0,,ColinAffleck2,colin_aflac,,,
98,,90.0,Rashad Cheney Jr.,DL,6-2,Jr.,"Atlanta, Ga. / Cedar Grove HS",285.0,Minnesota,Rashad40_,rashadcheneyjr,,,
99,,91.0,Rico Watson,DL,6-0,Sr.,"Tampa, Fla. / Armwood HS",236.0,Florida State/Robert Morris,,,,,
100,,93.0,Jhalin Hobbs,DL,6-2,R-Fr.,"Ruskin, Fla. / Lennard HS",308.0,,Jhalin,ho99z,,,
101,,94.0,Keeon Terrell,DE,6-3,So.,"Fort Myers, Fla. / Fort Myers HS",260.0,,KeeonTerrell,kterrell_19,,,
102,,96.0,Chad Elder,DE,6-3,R-Fr.,"Neptune Beach, Fla. / Fletcher HS",252.0,,ChadElder15,chad5elder,,,
103,,97.0,Evan Dangler,LB,6-3,R-Fr.,"Bradenton, Fla. / Braden River HS",245.0,,,,,,
104,,98.0,Danny Gonzalez,DT,6-1,R-Fr.,"Jupiter, Fla. / The Benjamin School",270.0,,DannyGonz52,dannygonzalezz52,,,
105,,99.0,Lloyd Summerall,DE,6-5,Jr.,"Winter Haven, Fla. / Lakeland HS",242.0,Florida,,,,,
0,,,,,,,,,,,,,Alex Golesh,Head Football Coach
1,,,,,,,,,,,,,Matt Merritt,Associate Head Coach/Run Game Coordinator/Running Backs Coach
2,,,,,,,,,,,,,Todd Orlando,Defensive Coordinator/Inside Linebackers Coach
3,,,,,,,,,,,,,Joel Gordon,Pass Game Coordinator/Quarterbacks Coach
4,,,,,,,,,,,,,Matt Birkett,Cornerbacks Coach
5,,,,,,,,,,,,,Chad Creamer,Special Teams Coordinator/Outside Linebackers Coach
6,,,,,,,,,,,,,James Rowe,Defensive Pass Game Coordinator/Safeties Coach
7,,,,,,,,,,,,,Tyler Hudanick,Offensive Line Coach
8,,,,,,,,,,,,,Kevin Patrick,Defensive Line Coach
9,,,,,,,,,,,,,Clay Patterson,Tight Ends Coach
10,,,,,,,,,,,,,L'Damian Washington,Wide Receivers Coach
11,,,,,,,,,,,,,George Courides,Head Football Strength & Conditioning Coach
0,,,,,,,,,,,,,Andrew Warsaw,Associate AD/Football Chief of Staff
1,,,,,,,,,,,,,Albert Boone,Associate AD/Football Operations
2,,,,,,,,,,,,,Jeff Jones,Director of Player Development
3,,,,,,,,,,,,,Ciera White,Executive Assistant to Head Coach
4,,,,,,,,,,,,,John Allen Stone,Football Operations Coordinator/Special Assistant to the Head Coach
5,,,,,,,,,,,,,Jenna Learn,Football Operations/Recruiting Administration
6,,,,,,,,,,,,,Ephi Levy,Director of Player Personnel
7,,,,,,,,,,,,,Alex Fagan,Director of Scouting
8,,,,,,,,,,,,,Will Bahler,Director of High School Relations/Recruiting
9,,,,,,,,,,,,,Taylor McDaniel,Director of On-Campus Recruiting
10,,,,,,,,,,,,,Ryland Powell,Assistant Director of On-Campus Recruiting
11,,,,,,,,,,,,,Emma Kelley,Director of Football Creative Services
12,,,,,,,,,,,,,Phillip Cane,Director of Video
13,,,,,,,,,,,,,David Norris,Director of Football Applied Science/Speed Development
14,,,,,,,,,,,,,Frank Failace,Director of Football Sports Performance
15,,,,,,,,,,,,,Matt Garcia,Assistant Strength & Conditioning Coach
16,,,,,,,,,,,,,Cody Hopkins,Assistant Strength & Conditioning Coach
17,,,,,,,,,,,,,Thad Mangum,Graduate Assistant - Strength & Conditioning
18,,,,,,,,,,,,,Brett Kean,Senior Quality Control Analyst - Linebackers
19,,,,,,,,,,,,,Jack Taylor,Senior Quality Control Analyst - Wide Receivers
20,,,,,,,,,,,,,Kyre Hawkins,Quality Control Analyst - Defensive Line
21,,,,,,,,,,,,,Tyson Kee,Quality Control Analyst - Defensive Backs
22,,,,,,,,,,,,,Tyler Majewski,Quality Control Analyst - Special Teams
23,,,,,,,,,,,,,Jared Peery,Quality Control Analyst - Quarterbacks
24,,,,,,,,,,,,,Mirko Jurkovic,Graduate Assistant - Offensive Line
25,,,,,,,,,,,,,Eric Kinsey,Graduate Assistant - Defensive Line
26,,,,,,,,,,,,,Jaylan Thomas,Graduate Manager - Running Backs
27,,,,,,,,,,,,,Rosemary Piedmont,Academics
28,,,,,,,,,,,,,Ashley Leko,Sr. Associate AD/Business Operations
29,,,,,,,,,,,,,Dario Gonzalez,Assistant AD/Head Football Athletic Trainer
