,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / Prev School,Current School Name,Image,Title
89,,79.0,Jordan Rhodes,OL,6-5,350.0,R-Sr.,"Fairburgn, Ga. / Ole Miss",Arkansas State,,
90,,80.0,Trace Corum,WR,5-11,161.0,Fr.,"Knoxville, Tenn. / Farragut HS",Arkansas State,,
91,,81.0,Omari Walker,WR,5-9,172.0,R-Fr.,"McKinney, Texas / McKinney HS",Arkansas State,,
92,,84.0,Bronte Gallo,TE,6-4,242.0,Fr.,"Clearwater, Fla. / Clearwater Academy International",Arkansas State,,
93,,85.0,Thomas Vaughan,TE,6-4,244.0,R-Fr.,"Little Rock, Ark. / Pulaski Academy HS",Arkansas State,,
94,,86.0,Walker Catsavis,WR,6-4,163.0,Fr.,"Fort Smith, Ark. / Northside HS",Arkansas State,,
95,,87.0,Reed Tyler,TE,6-3,253.0,Sr.,"Brandon, Miss. / Brandon HS",Arkansas State,,
96,,90.0,Tim Hardiman,DL,5-11,269.0,R-Fr.,"Spring, Texas / Westfield HS",Arkansas State,,
97,,91.0,Ashtin Rustemeyer,DL,6-1,284.0,Fr.,"St. Louis, Mo. / Lutheran HS",Arkansas State,,
98,,92.0,Thurman Geathers,DE,6-2,225.0,R-Sr.,"Acworth, Ga. / Louisville",Arkansas State,,
99,,92.0,William Przystup,P,6-4,245.0,R-Jr.,"Oviedo, Fla. / Nebraska",Arkansas State,,
100,,93.0,Luke Ydarraga,DE,6-3,230.0,Fr.,"Watson, La. / Live Oak HS",Arkansas State,,
101,,96.0,Kadan Lewis,DL,6-1,255.0,Fr.,"Houma, La. / Terrebonne HS",Arkansas State,,
102,,97.0,VJ Bronson,DL,6-3,275.0,So.,"Katy, Texas / Lamar",Arkansas State,,
103,,99.0,Deris Jackson,DL,6-2,328.0,R-Fr.,"Memphis, Tenn. / Lausanne Collegiate HS",Arkansas State,,
0,,,Butch Jones,,,,,,Arkansas State,,Head Coach
1,,,Rob Harley,,,,,,Arkansas State,,Assistant Head Coach/Defensive Coordinator
2,,,Keith Heckendorf,,,,,,Arkansas State,,Offensive Coordinator/Quarterbacks
3,,,Marquase Lovings,,,,,,Arkansas State,,Associate Head Coach/Running Backs
4,,,Josh Conklin,,,,,,Arkansas State,,Special Teams Coordinator/Safeties
5,,,Nick Grimes,,,,,,Arkansas State,,Tight Ends
6,,,Andy Kwon,,,,,,Arkansas State,,Offensive Line
7,,,Derrick Lett,,,,,,Arkansas State,,Wide Receivers
8,,,Vinson Reynolds,,,,,,Arkansas State,,Defensive Line/Defensive Run Game Coordinator
9,,,Jon Shalala,,,,,,Arkansas State,,Linebackers
10,,,Jay Simpson,,,,,,Arkansas State,,Defensive Backs/Defensive Pass Game Coordinator
0,,,Blake Jackson,,,,,,Arkansas State,,Director of Football Opertaions
1,,,Trip Carrico,,,,,,Arkansas State,,Assistant AD for Player Personnel
2,,,Keith Stevens,,,,,,Arkansas State,,Director of Scouting
3,,,Alex Jones,,,,,,Arkansas State,,Offensive Quality Control
4,,,Jeff Jones,,,,,,Arkansas State,,Assistant Athletics Director for Athletics Performance
5,,,John Waters,,,,,,Arkansas State,,Associate Director of Athletics Performance
6,,,Carter Rowland,,,,,,Arkansas State,,Assistant Director of Athletics Performance
