,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown,Current School Name,High School,Previous School,Twitter,Instagram,Image,Title
75,,54.0,Levi Bell,DL,6-1,275.0,R-Jr.,"Cedar Park, Texas",Texas State,Cedar Park,LA Tech,levibell54,levi_bell97,,
76,,55.0,Trenton Scott,OL,6-6,305.0,R-Fr.,"Luling, Texas",Texas State,Luling HS,,trentonscott072,trenton.scott17,,
77,,55.0,Sione Tupou,ILB,6-0,250.0,R-Sr.,"Allen, Texas",Texas State,Allen HS,UTEP,sione_t32,stupou5,,
78,,56.0,Nic Fulwider,OL,6-6,280.0,R-Jr.,"Tyrone, Ga.",Texas State,Sandy Creek HS,Arkansas,NWF48,nsane48,,
79,,56.0,Owen McClintock,ILB,6-0,215.0,R-Fr.,"Chagrin Falls, Ohio",Texas State,Chagrin Falls HS,,McclintockOwen,_owenmcclintock44_,,
80,,57.0,TJ Chirebvu,OLB,6-2,225.0,,"Leander, Texas",Texas State,Tom Glenn,,,tj48_,,
81,,58.0,Conner Motsinger,ILB,6-0,210.0,R-Fr.,"Cypress, Texas",Texas State,Bridgeland HS,,CMOTS_1202,conner_motsinger,,
82,,58.0,Larson Workman,OL,6-5,280.0,R-Fr.,"Ganado, Texas",Texas State,Ganado,Kansas,larsonworkman,larsonworkman,,
83,,59.0,Micah Strahan,ILB,5-11,235.0,R-So.,"Midland, Texas",Texas State,Midland Christian HS,Tulsa,micah_strahan,micah.strahan,,
84,,60.0,Kyle Hergel,OL,6-2,305.0,R-Jr.,"Toronto, Ontario, Canada",Texas State,Clarkson Football North HS,North Dakota,kyledawg60,kyle_hergel,,
85,,61.0,Evan Lovell,OL,6-3,325.0,R-Jr.,"Thomaston, Conn.",Texas State,Peddie School,Rhode Island,LovellEvan,evanlovell_,,
86,,64.0,Freddy Murphy,OL,6-3,350.0,Fr.,"Killeen, Texas",Texas State,Shoemaker,,,bigfredsrevenge,,
87,,66.0,Russell Baker,OL,6-4,315.0,Sr.,"Owasso, Okla.",Texas State,Owasso HS,Northeastern Oklahoma A&M College,Russellb_75,,,
88,,68.0,David Hensley,OL,6-4,305.0,Fr.,"North Richland Hills, Texas",Texas State,Birdville,,dhensley56,,,
89,,71.0,Jackson Schultze,OL,6-7,300.0,R-Fr.,"Broken Arrow, Okla.",Texas State,Broken Arrow,Northeastern Oklahoma A&M College,JacksonSchultze,,,
90,,72.0,Alex Costilla,OL,6-4,310.0,Jr.,"San Marcos, Texas",Texas State,San Marcos HS,Tyler JC,alex_cstilla,alex_cstilla,,
91,,73.0,Dalton Cooper,OL,6-6,320.0,R-So.,"Prague, Okla.",Texas State,Prague HS,,_super_coope,_super_coope,,
92,,74.0,Richard West,OL,6-5,300.0,R-Sr.,"San Antonio, Texas",Texas State,East Central,Texas A&M-Commerce,Richardwest74,mr.west10,,
93,,75.0,Silas Robinson,OL,6-4,320.0,R-Jr.,"Yoakum, Texas",Texas State,Yoakum HS,Arkansas,,silasrobinson,,
94,,76.0,Kylar Cooks,OL,6-4,305.0,R-Jr.,"Texarkana, Texas",Texas State,Liberty Eylau HS,,thekylarcooks,thekylarcooks,,
95,,78.0,Ian Hover,OL,6-2,320.0,R-So.,"Atlanta, Ga.",Texas State,Westlake,Campbell,ianhover,i.hover78,,
96,,79.0,Jaydan Smith,OL,6-4,300.0,R-Jr.,"Buda, Texas",Texas State,Hays HS,,jayyydan,jaydansmith_,,
97,,80.0,Chandler Speights,WR,5-10,185.0,R-Sr.,"Richmond, Texas",Texas State,Foster HS,,ChanSpeights,chandlerspeights,,
98,,82.0,Isaac Norris,WR,5-11,185.0,Fr.,"Austin, Texas",Texas State,Lake Travis,,isaac_norris5,isaacjnorris,,
99,,83.0,Micah Hilts,TE,6-5,255.0,Jr.,"Colorado Springs, Colo.",Texas State,Vista Ridge HS,,Micahnh_83,micahnh_83,,
100,,84.0,Ahmirr Robinson,WR,6-1,180.0,R-Fr.,"Vauxhall, N.J.",Texas State,Union,Rutgers,ahmirrrobinson,_hunxho_sl1m,,
101,,85.0,Brooks McCoy,WR,6-2,200.0,R-Fr.,"Kerrville, Texas",Texas State,Tivy HS,,BrooksMcCoy8,brooksmccoy17,,
102,,86.0,Titus Lyons,TE,6-3,230.0,R-Fr.,"Pottsboro, Texas",Texas State,Pottsboro,Cisco College,titus_lyons,titus_lyons,,
103,,87.0,Jackson Lanam,TE,6-4,250.0,R-Jr.,"Corpus Christi, Texas",Texas State,Calallen HS,,Jacksonlanam21,adamlanam,,
104,,87.0,Gage Patrick,DL,6-2,245.0,Fr.,"Buda, Texas",Texas State,Johnson,,,gageepat,,
105,,88.0,Jaden Mitchell,WR,5-10,180.0,R-So.,"Las Vegas, Nev.",Texas State,Desert Pines,Arizona,jadenmitch_,jadenmitch_,,
106,,89.0,Austin Groeschel,TE,6-3,240.0,R-Fr.,"Midland, Texas",Texas State,Greenwood HS,,AustinGroeschel,groesch89,,
107,,90.0,Jake Lynch,OLB,6-5,235.0,R-Jr.,"Richmond, Texas",Texas State,Fort Bend Travis HS,,_JakeLynch,jake.lynch19,,
