,Number,Name,Position,Height,Weight,Class,Experience,Hometown,High School,Previous School
1,,Matt House,Defensive Coordinator / Linebackers Coach,,,,,,,
2,,Mike Denbrock,Offensive Coordinator / Tight Ends Coach,,,,,,,
3,,Frank Wilson,Associate Head Coach / Running Backs Coach,,,,,,,
4,,Brad Davis,Offensive Line Coach,,,,,,,
5,,Joe Sloan,Quarterbacks Coach,,,,,,,
6,,Kerry Cooks,Safeties Coach,,,,,,,
7,,Robert Steeples,Cornerbacks Coach,,,,,,,
8,,Cortez Hankton,Passing Game Coordinator / Wide Receivers Coach,,,,,,,
9,,John Jancek,Special Teams Coordinator / Outside Linebackers Coach,,,,,,,
10,,Jake Flint,Director of Athletic Development,,,,,,,
