,Statistic,No.,Name,Pos.,Ht.,Wt.,Year,Hometown,High School / Previous School,Twitter,Instagram,Image,Title
99,,,Ben Straatmann,DL,-,,Fr.,"Washington, Mo.",Washington,,,,
100,,,Theo Wease Jr.,WR,-,,Sr.,"Allen, Texas",Allen,,,,
101,,,Riley Williams,P,-,,Jr.,"Victoria, Australia",Australian Catholic University,,,,
0,,,Eliah Drinkwitz,,,,,,,,,,Head Coach
1,,,Blake Baker,,,,,,,,,,Defensive Coordinator / Safeties
2,,,Kirby Moore,,,,,,,,,,Offensive Coordinator / Quarterbacks
3,,,D.J. Smith,,,,,,,,,,Co-Defensive Coordinator / Linebackers / Recruiting Coordinator
4,,,Erik Link,,,,,,,,,,Special Teams Coordinator / Tight Ends
5,,,Al Davis,,,,,,,,,,Defensive Line / Interior
6,,,Curtis Luper,,,,,,,,,,Running Backs
7,,,Jacob Peeler,,,,,,,,,,Wide Receivers
8,,,Kevin Peoples,,,,,,,,,,Defensive Line / Edge
9,,,Al Pogue,,,,,,,,,,Cornerbacks
10,,,Brendan Boylan,,,,,,,,,,Graduate Assistant / Offense
11,,,Chris James,,,,,,,,,,Graduate Assistant / Offense
12,,,Fabrice Telfort,,,,,,,,,,Graduate Assistant / Defense
13,,,Jack Witte,,,,,,,,,,Graduate Assistant / Defense
0,,,Andy Lutz,,,,,,,,,,Assistant Director of Athletics / Director of Football Operations
1,,,Liz Stuart,,,,,,,,,,Assistant Director of Athletics / Director of Performance Nutrition
2,,,Vonda Cordes,,,,,,,,,,Administrative Assistant
3,,,Rick Jones,,,,,,,,,,Special Assistant to Head Coach
4,,,Atiyyah Ellison,,,,,,,,,,Director of Player / Alumni Relations
5,,,Chandler Campbell,,,,,,,,,,Director of Player Development & Career Planning
6,,,Brad Larrondo,,,,,,,,,,Assistant Director of Athletics / Director Football External Relations & Recruiting
7,,,Maurey Bland,,,,,,,,,,Director of Recruiting Communications & Strategy
8,,,Ryan Trichel,,,,,,,,,,Director / Player Personnel
9,,,Malcolm Askew,,,,,,,,,,Assistant Director / Player Personnel
10,,,Christian Heinz,,,,,,,,,,Assistant Director / Player Personnel (Defense)
11,,,Jared Russell,,,,,,,,,,Director / Scouting
12,,,Olivia Ohlsen,,,,,,,,,,Director of Recruiting Operations
13,,,Victoria Adams,,,,,,,,,,Associate Director / Recruiting Operations & Newcomer Transfers
14,,,Addison Hill,,,,,,,,,,Asst. Director of Recruiting Operations / Recruiting Communications & Strategy
15,,,Santana McKnight,,,,,,,,,,Asst. Director of Recruiting Operations / On-Campus Recruiting
16,,,Robert Trombley,,,,,,,,,,Director of Football Creative
17,,,Patrick Perala,,,,,,,,,,Director of Branding & Content Strategy
18,,,McLain Broussard,,,,,,,,,,Assistant Director / Football Creative
19,,,Gordon Meier,,,,,,,,,,Assistant Director / Football Creative
20,,,Kaleb Wood,,,,,,,,,,Director / Coaches' Video Operations
21,,,Josh Karadeema,,,,,,,,,,Assistant Director / Coaches' Video Operations
22,,,Jack Abercrombie,,,,,,,,,,Analyst / Offense
23,,,Andrew Belluomini,,,,,,,,,,Analyst / Offense
24,,,Brandon Lewis,,,,,,,,,,Analyst / Defense
25,,,Jake Olsen,,,,,,,,,,Analyst / Defense
26,,,Ryan Russell,,,,,,,,,,Assistant Director of Athletics / Executive Director of Athletic Performance
27,,,Connor Mielke,,,,,,,,,,Associate Director / Football Athletic Performance
28,,,Malcolm Hardmon,,,,,,,,,,Assistant Director / Football Athletic Performance
29,,,Hannibal Pearson,,,,,,,,,,Assistant Director / Football Athletic Performance
30,,,Derek Stork,,,,,,,,,,Assistant Director / Football Athletic Performance
31,,,CJ Tolbert,,,,,,,,,,Sport Science and Rehab Specialist
