,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown,Current School Name,High School,Previous School,Image,Name,Title
47,,45.0,Brock Walters,Long Snapper,6-0,214.0,Fr.,"Kailua Kona, Hawaii",Old Dominion,Winter Park,,,,
48,,47.0,Koa Naotala,Linebacker,5-11,223.0,R-Fr.,"Newport News, Va.",Old Dominion,Woodside,,,,
49,,50.0,Nicholas Malley,Defensive End,6-2,230.0,R-Fr.,"Suitland, Md.",Old Dominion,Bishop McNamara,Hampton,,,
50,,52.0,Jahlil Taylor,Defensive Tackle,5-11,285.0,Sr.,"Cordele, Ga.",Old Dominion,Crisp County,North Carolina,,,
51,,55.0,Maarten Woudsma,Offensive Line,6-5,280.0,R-Fr.,"Amersfoort, Netherlands",Old Dominion,Oscar Smith (Va.),,,,
52,,56.0,Jaylon White-McClain,Defensive End,6-4,257.0,R-Fr.,"Virginia Beach, Va.",Old Dominion,Kempsville,,,,
53,,57.0,Ryan Harvey,Long Snapper,5-11,210.0,R-Jr.,"Ashburn, Va.",Old Dominion,Stone Bridge,Towson,,,
54,,58.0,Stephon Dubose-Bourne,Offensive Line,6-4,310.0,R-So.,"Chesapeake, Va.",Old Dominion,Indian River,,,,
55,,63.0,Xavier Black,Offensive Line,6-4,290.0,R-Jr.,"Fishersville, Va.",Old Dominion,Wilson Memorial,,,,
56,,65.0,Chris Adams,Offensive Line,6-6,280.0,R-So.,"Hagerstown, Md.",Old Dominion,South Hagerstown,,,,
57,,68.0,Caleb Gosney,Offensive Line,6-3,285.0,R-So.,"Richmond, Va.",Old Dominion,Varina,,,,
58,,70.0,Drew Pascoe,Offensive Line,6-3,275.0,R-So.,"Clifton, Va.",Old Dominion,Centreville,,,,
59,,71.0,Santana Saunders,Offensive Line,6-5,296.0,Jr.,"Upper Marlboro, Md.",Old Dominion,Charles Herbert Flowers,,,,
60,,72.0,Talyn Hunter,Offensive Line,6-4,292.0,R-So.,"Harrisburg, N.C.",Old Dominion,Hickory Ridge,,,,
61,,75.0,Skyler Grant,Offensive Line,6-3,290.0,R-So.,"Fredericksburg, Va.",Old Dominion,Riverbend,,,,
62,,76.0,Alex Gutierrez,Defensive Line,6-3,263.0,R-Fr.,"Ashburn, Va.",Old Dominion,Briar Woods,,,,
63,,77.0,Mason Howard,Offensive Line,6-7,280.0,R-Fr.,"Moseley, Va.",Old Dominion,Cosby,,,,
64,,78.0,Elijah Hoskin,Offensive Line,6-3,291.0,R-So.,"Culpeper, Va,",Old Dominion,Eastern View,,,,
65,,79.0,Leroy Thomas,Offensive Line,6-3,290.0,R-Sr.,"Stafford, Va.",Old Dominion,Colonial Forge,,,,
66,,80.0,DJ Chandler,Tight End,6-5,225.0,So.,"Woodbridge, Va.",Old Dominion,Colgan,Virginia Union,,,
67,,81.0,Isaiah Smith,Wide Receiver,6-4,212.0,R-Fr.,"Hampton, Va.",Old Dominion,Bethel/Myrtle Beach Prep,,,,
68,,87.0,Trey Lancaster,Tight End,6-4,230.0,Sr.,"Chesapeake, Va.",Old Dominion,Grassfield,Christopher Newport,,,
69,,88.0,Curtis Nixon II,Tight End,6-5,236.0,R-So.,"Waldorf, Md.",Old Dominion,Maret School,,,,
70,,91.0,Trey Stephens,Kicker,5-11,200.0,Fr.,"Acworth, Ga.",Old Dominion,North Cobb Christian School,,,,
71,,92.0,Ethan Sanchez,Kicker,5-9,183.0,So.,"Dallas, Ga.",Old Dominion,North Paulding,,,,
72,,94.0,Louie Jackson,Kicker,5-11,205.0,Fr.,"Manchester, England",Old Dominion,Dr. Phillips,,,,
73,,95.0,Ethan Duane,Punter,6-1,215.0,Jr.,"Melbourne, Australia",Old Dominion,,,,,
74,,97.0,Devin Brandt-Epps,Defensive Tackle,6-3,292.0,Jr.,"Muskogee, Okla.",Old Dominion,Hilldale,Northeastern Oklahoma A&M,,,
75,,98.0,Christopher Spencer,Defensive Line,6-5,255.0,R-Fr.,"Burgaw, N.C.",Old Dominion,Pender,,,,
76,,99.0,Cole Daniels,Defensive Tackle,6-0,296.0,So.,"Sumrall, Miss.",Old Dominion,Sumrall/Mississippi Gulf Coast,,,,
0,,,,,,,,,Old Dominion,,,,Ricky Rahne,Thurmond Family ODU Head Football Coach
1,,,,,,,,,Old Dominion,,,,Kevin Decker,Offensive Coordinator/Quarterbacks
2,,,,,,,,,Old Dominion,,,,Blake Seiler,Defensive Coordinator/Inside Linebackers
3,,,,,,,,,Old Dominion,,,,Kevin Smith,Special Teams Coordinator/Outside Linebackers
4,,,,,,,,,Old Dominion,,,,Mark Dupuis,Wide Receivers/Pass Game Coordinator
5,,,,,,,,,Old Dominion,,,,Justin Harper,Tight Ends/Offensive Recruiting Coordinator
6,,,,,,,,,Old Dominion,,,,Alex Huettel,Offensive Line
7,,,,,,,,,Old Dominion,,,,Victor Irokansi,Defensive Line
8,,,,,,,,,Old Dominion,,,,Tony Lucas,Running Backs/Assistant Head Coach
9,,,,,,,,,Old Dominion,,,,Remington Rebstock,Assistant Defensive Coordinator/Safeties
10,,,,,,,,,Old Dominion,,,,Tarron Williams,Cornerbacks
11,,,,,,,,,Old Dominion,,,,Chad Snodgrass,Director of Sports Performance
12,,,,,,,,,Old Dominion,,,,Tristin Iannone,Director of Operations
13,,,,,,,,,Old Dominion,,,,Eric Baumgartner,Defensive Quality Control
14,,,,,,,,,Old Dominion,,,,Ryan Wilson,Graduate Assistant (Tight Ends/Running Backs)
15,,,,,,,,,Old Dominion,,,,Shane Baker,Graduate Assistant (Special Teams)
16,,,,,,,,,Old Dominion,,,,Cullen McCarty,Graduate Assistant (Offensive Line)
17,,,,,,,,,Old Dominion,,,,Jonathan Ceh,Assistant Director of Operations
18,,,,,,,,,Old Dominion,,,,Drew Casa,Director of Player Personnel
