,Statistic,No.,Full Name,Ht.,Wt.,Pos.,Yr.,Hometown,Last School,Instagram,Twitter,Image,Name,Title
75,,33.0,"Poole, Jordan",6-0,225.0,LB,R-So.,"Oakboro, N.C.",West Stanly,jordanpool3,jordan_poole03,,,
76,,97.0,"Potter, Noah",6-6,274.0,DL,Gr.,"Mentor, Ohio",Mentor,noahpotter_,noah_potter10,,,
77,,4.0,"Powell, Cecil",6-0,210.0,CB,R-Jr.,"Ft. Lauderdale, Fla.",Piper,cjp._4,CPowell_4,,,
78,,46.0,"Preddice, Matt",6-4,240.0,TE,Fr.,"Wake Forest, N.C.",Heritage,matt.preddice,MattPreddice,,,
79,,13.0,"Price, Travali",6-4,272.0,DE,R-So.,"Lincolnton, N.C.",North Lincoln,travaliprice,Travali18,,,
80,,30.0,"Raphael, Kendrick",5-11,190.0,RB,Fr.,"Naples, Fla.",Naples,thee.kg0at,RaphaelKendrick,,,
81,,56.0,"Reeves, Zyun",6-7,275.0,DL,R-So.,"Winston-Salem, NC",E. Forsyth,tre4madez,ReevesZyun,,,
82,,13.0,"Rhodes, Ethan",6-3,205.0,QB,R-Fr.,"Maiden, N.C.",Maiden,ethanrhodes12,EthanSRhodes12,,,
83,,73.0,"Rivers, Darion",6-6,300.0,OL,Fr.,"Charlotte, N.C.",West Charlotte,obey_darion,DarionRivers34,,,
84,,4.0,"Rooks, Porter",6-1,195.0,WR,Jr.,"Charlotte, N.C.",Myers Park,rocket.rooks,p9rooks,,,
85,,2.0,"Scott, Jaylon",6-1,225.0,LB,Sr.,"Shelby, N.C.",Shelby,thejayyscott,thejayyscott,,,
86,,35.0,"Scott, Jr., Christopher",6-0,172.0,WR,R-So.,"Dacula, Ga.",Dacula,chrisscottjr,ChrisScottJr,,,
87,,14.0,"Seabrough, Cedd",6-4,245.0,TE,R-So.,"Swainsboro, Ga.",Swainsboro,cedd_,CedricSeabrough,,,
88,,48.0,"Seabrough, Jr., Fred",6-4,230.0,TE,R-So.,"Swainsboro, Ga.",Swainsboro,fred.seabrough,FSeabrough,,,
89,,91.0,"Shimko, Joe",6-0,230.0,LS,Gr.,"Belmar, N.J.",Wall Township,joeshim_41,Joeshim41,,,
90,,88.0,"Shirley, Isaiah",6-3,273.0,DE,Fr.,"Boone, N.C.",Watauga,ishirle88,isaiah_shirley,,,
91,,85.0,"Smith, Anthony",6-2,195.0,WR,Jr.,"Huntingtown, Md.",Huntingtown,ant.the.kidd,GlobalAnt_26,,,
92,,90.0,"Smith, Collin",5-9,195.0,K/P,R-Jr.,"Gibsonville, NC",E. Guilford,@collin_smithh,@smithcollin13,,,
93,,22.0,"Smith, Teshaun",6-3,185.0,CB,Gr.,"Fort Lauderdale, Fla.",Western,te.smith,Te_Smith26,,,
94,,96.0,"Sturgeon, Brooks",6-2,190.0,K,R-Fr.,"Norcross, Ga.",Wesleyan School,brooks_sturge,brooks_sturgeon,,,
95,,0.0,"Sumo-Karngbaye, Demie",6-0,205.0,RB,Jr.,"Willingboro, N.J.",Willingboro,6harko,kingmetrius_,,,
96,,12.0,"Thomas, Lex",5-11,190.0,QB,Fr.,"Wake Forest, N.C.",Heritage,lexthomas2,_lexthomas2,,,
97,,31.0,"Thompson, Daejuan",6-2,200.0,LB,R-Fr.,"Whiteville, N.C.",Whiteville,dae.t23,TDae23,,,
98,,82.0,"Timmons, Jr., Terrell",6-2,190.0,WR,So.,"Greensboro, N.C.",N. Guilford,terrelltimmonsjr,TerrellTimmons4,,,
99,,59.0,"Todd, Cameron",6-3,290.0,OL,Fr.,"Raleigh, N.C.",Leesville Road,,camtodd77,,,
100,,29.0,"Toudle, Christopher",6-4,235.0,WR,R-Jr.,"Wilmington, N.C.",Hoggard,chris_toudle,ctoudle1,,,
101,,37.0,"Treco, Nicholas",5-11,195.0,NIC,R-Jr.,"Charlotte, NC",Mallard Creek,nick_treco,nicholas_treco,,,
102,,90.0,"Turnage, Coy",6-4,350.0,DL,R-Fr.,"Clayton, N.C.",Clayton,coy_turnage,CoyTurnage,,,
103,,52.0,"Turner, Patrick",6-2,230.0,LB,R-So.,"Dallas, Texas",Highland Park,turner_pt_,pturner42,,,
104,,43.0,"Udoh, Ezemdi",6-5,255.0,TE,R-So.,"Fayetteville, N.C.",Terry Sanford,ezudoh,EzUdoh,,,
105,,45.0,"Vann, Davin",6-2,272.0,DT,Jr.,"Cary, N.C.",Cary,dvann_45,Davinvann1,,,
106,,55.0,"Vann, Rylan",6-1,292.0,OL,R-Fr.,"Cary, N.C.",Cary,rylanvann,RylanVann,,,
107,,11.0,"Vereen, Juice",6-4,210.0,TE,Fr.,"Havelock, N.C.",Havelock,juicevereen,JavonteVereen,,,
108,,26.0,"Vick, Jackson",5-11,180.0,DB,R-Fr.,"Bailey, N.C.",Southern Nash,hollywood.jvick,jmv__out,,,
109,,94.0,"Vinesett, Kanoah",6-0,200.0,K,R-Fr.,"Rock Hill, S.C.",Northwestern,kanoah.dav,Vinesett1,,,
110,,95.0,"Washburn, Andrew",6-3,255.0,DL,R-Fr.,"Mooresville, N.C.",Mooresville,awmooresville,,,,
111,,3.0,"White, Aydan",6-0,185.0,CB,Jr.,"Asheville, N.C.",Christ School,a.mw9,aydanwhite9,,,
112,,11.0,"Wilson, Payton",6-4,242.0,LB,Gr.,"Hillsborough, N.C.",Orange,Ptwilsonn,payton_wilson21,,,
113,,42.0,"Wright, Torren",6-2,217.0,LB,So.,"Kannapolis, NC",Brown,t8rren,TorrenWright,,,
0,,,,,,,,,,,,,Dave Doeren,Head Coach
1,,,,,,,,,,,,,Robert Anae,Offensive Coordinator/Inside WR/TE
2,,,,,,,,,,,,,Tony Gibson,Defensive Coordinator/Linebackers
3,,,,,,,,,,,,,Joker Phillips,Assistant Head Coach/Wide Receivers
4,,,,,,,,,,,,,Freddie Aughtry-Lindsay,Nickels
5,,,,,,,,,,,,,Joe DeForest,Safeties
6,,,,,,,,,,,,,Brian Mitchell,Cornerbacks
7,,,,,,,,,,,,,Kurt Roper,Quarterbacks
8,,,,,,,,,,,,,Garett Tujague,Offensive Line
9,,,,,,,,,,,,,Todd Goebbel,Running Backs/Special Teams Coordinator
10,,,,,,,,,,,,,Charley Wiles,Defensive Line
11,,,,,,,,,,,,,Ruffin McNeill,Special Assistant to the Head Coach
12,,,,,,,,,,,,,Dantonio Burnette,Assistant Athletic Director/Director of Strength & Conditioning - Football
13,,,,,,,,,,,,,Gavin Locklear,Offensive Quality Control
14,,,,,,,,,,,,,Jake Ellsworth,Defensive Quality Control
15,,,,,,,,,,,,,Jackson White,Special Teams Quality Control
16,,,,,,,,,,,,,Alec Cobb,Offensive Graduate Assistant
17,,,,,,,,,,,,,Austin Davis,Offensive Graduate Assistant
18,,,,,,,,,,,,,Kevin Hodges,Defensive Graduate Assistant
19,,,,,,,,,,,,,Kenan Johnson,Defensive Graduate Assistant
20,,,,,,,,,,,,,Brandon Howard,Associate Director of Strength & Conditioning
21,,,,,,,,,,,,,Joey Carnes,Assistant Strength & Conditioning Coach
22,,,,,,,,,,,,,Marcus Jones,Assistant Strength & Conditioning Coach
23,,,,,,,,,,,,,Gary Wilkins,Assistant Strength & Conditioning Coach
24,,,,,,,,,,,,,Merci Falaise,Sr. Director of Recruiting
25,,,,,,,,,,,,,Geoffrey Leins,Director of Player Personnel
26,,,,,,,,,,,,,James Daugherty,Assistant Director of Player Personnel
27,,,,,,,,,,,,,Quint Cottingham,Assistant Director of Player Personnel
28,,,,,,,,,,,,,Jatavis Sanders,Director of Football Scouting
29,,,,,,,,,,,,,Henry Trevathan Jr.,Director of High School Relations
30,,,,,,,,,,,,,Maurice Moses,Director of Creative Video for Football
31,,,,,,,,,,,,,Nicole Walton,Director of Recruiting Operations
32,,,,,,,,,,,,,Adam Clark,Assistant AD/Football Chief of Staff
33,,,,,,,,,,,,,Brock McKirgan,Director of Football Operations
34,,,,,,,,,,,,,Averie Oetjen,Assistant Director of Football Operations
35,,,,,,,,,,,,,Errol Seaver,"Director of Football Visual Production, Scouting & Analytics"
36,,,,,,,,,,,,,Luke Bailey,Video Coordinator
37,,,,,,,,,,,,,Timothy Lester,Video Coordinator
38,,,,,,,,,,,,,Justin Smith,Head Football Athletic Trainer
39,,,,,,,,,,,,,Kevin Siesel,Associate Head Football Athletic Trainer
40,,,,,,,,,,,,,Taylor Berman,Athletic Trainer
41,,,,,,,,,,,,,Joseph Sorce,Athletic Trainer
42,,,,,,,,,,,,,Natalie Brincefield,Executive Assistant to the Head Coach
43,,,,,,,,,,,,,Denise Ritter,Administrative Support
