,Statistic,#,Full Name,Year,Pos.,Ht.,Wt.,Hometown,Current School Name,High School,Last Team,Image,Name,Title
95,,95.0,Eric Watts,Jr.,DL,6062.0,268.0,"Sumter, S.C.",UConn,Sumter,,,,
96,,96.0,Dal'mont Gourdine,R-So.,DL,6041.0,288.0,"North Charleston, S.C.",UConn,Garrett Academy,,,,
97,,97.0,Jelani Stafford,So.,DL,6002.0,311.0,"Brownsville, PA",UConn,California Area,Youngstown State,,,
98,,98.0,Jori Benson,Fr.,DL,6031.0,313.0,"New York, NY",UConn,Pleasant Grove,Utah,,,
99,,99.0,Sokoya McDuffie,R-Jr.,DL,6050.0,318.0,"Florence, S.C.",UConn,South Florence,Old Dominion University,,,
0,,,,,,,,,UConn,,,,Jim Mora,Head Coach
1,,,,,,,,,UConn,,,,Nick Charlton,Assistant Head Coach/Offensive Coordinator/Quarterbacks
2,,,,,,,,,UConn,,,,Doug Shearer,Special Teams Coordinator
3,,,,,,,,,UConn,,,,Siriki Diabate,Linebackers Coach
4,,,,,,,,,UConn,,,,Dalton Hilliard,Defensive Backs Coach
5,,,,,,,,,UConn,,,,John Marinelli,Tight Ends Coach
6,,,,,,,,,UConn,,,,Kenny McClendon,Defensive Line Coach
7,,,,,,,,,UConn,,,,Gordon Sammis,Offensive Line Coach
8,,,,,,,,,UConn,,,,Librado Barocio,Graduate Assistant - Defense
9,,,,,,,,,UConn,,,,Kevin Falaki,Graduate Assistant - Offense
10,,,,,,,,,UConn,,,,Joseph Castellitto,Analyst - Defense
11,,,,,,,,,UConn,,,,Mickey Grace,Analyst - Offense
12,,,,,,,,,UConn,,,,Cole Peterson,Analyst - Defense
13,,,,,,,,,UConn,,,,Jake Petrarca,Analyst - Offense
14,,,,,,,,,UConn,,,,Kyle Rountree,Analyst - Special Teams
15,,,,,,,,,UConn,,,,Matt King,Director of Football Strength and Conditioning
0,,,,,,,,,UConn,,,,Patrick Collins,Executive Director of Football
1,,,,,,,,,UConn,,,,Preston Pehrson,General Manager
2,,,,,,,,,UConn,,,,Andrew Goodman,Director of Football Operations
3,,,,,,,,,UConn,,,,David Harris,Assistant Director of Football Operations
4,,,,,,,,,UConn,,,,Ryan Braley,Director of Football Video Services
5,,,,,,,,,UConn,,,,Rebecca Dunstan,Executive Director of Football Administration
6,,,,,,,,,UConn,,,,Andy Baylock,Director of UConn Football Alumni/Community Affairs - National C Club
