,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Previous School,Image,Name,Title
57,,52.0,Xavier McIver,DL,6-1,304.0,So.,"Cheraw, S.C. / Cheraw",,,,
58,,52.0,Parker Moorer,OL,6-5,318.0,Jr.,Charlotte / Mallard Creek,West Virginia,,,
59,,53.0,Suirad Ware,DL,6-0,273.0,Jr.,"Richmond, Va. / Highland Springs",,,,
60,,54.0,Zion Wilson,OL,6-3,305.0,R-So.,Belhaven / Northside,,,,
61,,55.0,Jasiyah Robinson,DL,6-1,230.0,Fr.,"Groveport, Ohio / Groveport Madison",Michigan State,,,
62,,56.0,D'Anta Johnson,DL,6-2,299.0,Jr.,"Dinwiddie, Va. / Dinwiddie",,,,
63,,57.0,Brock Winstead,DS,6-2,260.0,Fr.,Raleigh / Leesville Road,,,,
64,,58.0,Jackson Barker,ILB,6-1,205.0,Fr.,Fuquay-Varina / Fuquay-Varina,,,,
65,,60.0,Emmanuel Poku,OL,6-5,277.0,R-Fr.,Charlotte / Olympic,,,,
66,,61.0,Keziah Everett,OL,6-1,311.0,Jr.,Farmville / Central,,,,
67,,63.0,Grayson Lewis,OL,6-3,322.0,So.,Harrisburg / Hickory Ridge,,,,
68,,64.0,Grant Copeland,OL,6-3,292.0,So.,Clemmons / West Forsyth,,,,
69,,66.0,Isaiah Foote,OL,6-4,328.0,Jr.,"Prince Frederick, Md. / Calvert",,,,
70,,67.0,Marleo Neolien,OL,6-8,310.0,Fr.,"Oakdale, Conn. / St. Thomas More",,,,
71,,68.0,Trey Hardison,OL,6-3,250.0,R-Fr.,Jacksonville / Southwest Onslow,,,,
72,,70.0,Kameron Durant,OL,6-4,315.0,Fr.,"Summerville, S.C. / Cane Bay",,,,
73,,72.0,William Coats,OL,6-3,285.0,Fr.,Clayton / Clayton,,,,
74,,73.0,Nishad Strother,OL,6-3,326.0,Jr.,Havelock / Havelock HS,,,,
75,,74.0,Hampton Ergle,OL,6-76,305.0,R-Jr.,"Lexington, S.C. / Lexington",,,,
76,,75.0,Omari Allen,OL,6-4,318.0,R-Fr.,Henderson / Vance County,,,,
77,,76.0,Jacob Sacra,OL,6-6,321.0,R-Fr.,"Madison, Va. / Saint Frances",,,,
78,,77.0,Walter Stribling,OL,6-6,328.0,Jr.,"Charlottesville, Va. / Fluvanna",,,,
