,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Custom Field 1
20,,10.0,Zeke Berry,DB,5-11,197.0,Fr.,"Pittsburg, Calif. / De La Salle",Michigan,
21,,10.0,Alex Orji,QB,6-3,235.0,Fr.,"Sachse, Texas / Sachse",Michigan,
22,,12.0,Kody Jones,DB,5-11,193.0,Fr.,"Memphis, Tenn. / Germantown",Michigan,
23,,12.0,Cade McNamara,QB,6-1,206.0,Gr.,"Reno, Nev. / Damonte Ranch",Michigan,
24,,13.0,Jake Moody,K,6-1,210.0,Gr.,"Northville, Mich. / Northville",Michigan,
25,,13.0,Tyler Morris,WR,5-11,185.0,Fr.,"Bolingbrook, Ill. / Nazareth Academy",Michigan,
26,,14.0,Jayden Denegal,QB,6-5,238.0,Fr.,"Apple Valley, Calif. / Apple Valley",Michigan,
27,,14.0,Roman Wilson,WR,6-0,185.0,Jr.,"Honolulu, Hawaii / St. Louis",Michigan,
28,,15.0,Alan Bowman,QB,6-3,217.0,Gr.,"Grapevine, Texas / Grapevine",Michigan,
29,,15.0,Deuce Spurlock,LB,6-1,231.0,Fr.,"Madison, Ala. / Madison Academy",Michigan,
30,,16.0,Davis Warren,QB,6-2,195.0,So.,"Los Angeles, Calif. / Loyola/Suffield Academy",Michigan,
31,,17.0,Marlin Klein,TE,6-6,245.0,Fr.,"Cologne, Germany / Rabun Gap-Nacoochee School",Michigan,
32,,17.0,Braiden McGregor,EDGE,6-6,261.0,Jr.,"Port Huron, Mich. / Port Huron Northern",Michigan,
33,,18.0,Colston Loveland,TE,6-5,237.0,Fr.,"Gooding, Idaho / Gooding",Michigan,
34,,18.0,Eyabi Okie,EDGE,6-5,244.0,Gr.,"Baltimore, Md. / St. Frances Academy",Michigan,
35,,19.0,Tommy Doman,K/P,6-4,208.0,So.,"West Bloomfield, Mich. / Orchard Lake St. Mary's",Michigan,
36,,19.0,Rod Moore,DB,6-0,185.0,So.,"Clayton, Ohio / Northmont",Michigan,
37,,20.0,Andy Maddox,QB,6-4,225.0,Sr.,"Prairie Village, Kan. / Shawnee Mission East",Michigan,
38,,20.0,Kalel Mullings,LB/RB,6-2,232.0,Jr.,"West Roxbury, Mass. / Milton Academy",Michigan,
39,,22.0,Tavierre Dunlap,RB,6-0,217.0,So.,"Del Valle, Texas / Del Valle",Michigan,
40,,22.0,Gemon Green,DB,6-2,186.0,Gr.,"DeSoto, Texas / DeSoto",Michigan,
41,,23.0,Michael Barrett,LB,6-0,233.0,Gr.,"Valdosta, Ga. / Lowndes",Michigan,
42,,23.0,CJ Stokes,RB,5-10,196.0,Fr.,"Columbia, S.C. / Hammond School",Michigan,
43,,24.0,Declan Byle,QB,6-2,169.0,Fr.,"Novi, Mich. / Catholic Central",Michigan,
44,,24.0,Myles Pollard,DB,6-1,191.0,Fr.,"Brentwood, Tenn. / Ravenwood",Michigan,
45,,25.0,Junior Colson,LB,6-3,235.0,So.,"Brentwood, Tenn. / Ravenwood",Michigan,
46,,25.0,Zach Peterson,WR,6-1,186.0,Gr.,"Roswell, Ga. / Wesleyan",Michigan,
47,,26.0,Rayshaun Benny,DL,6-4,292.0,So.,"Detroit, Mich. / Oak Park",Michigan,
48,,26.0,Jake Thaw,WR,6-1,190.0,Jr.,"Westport, Conn. / Staples",Michigan,
49,,27.0,Christian Bartholomew,WR,6-0,187.0,Jr.,"Galesburg, Mich. / Kalamazoo United",Michigan,
50,,27.0,Tyler McLaurin,EDGE,6-3,231.0,So.,"Bolingbrook, Ill. / Bolingbrook",Michigan,
51,,28.0,Quinten Johnson,DB,5-11,202.0,Gr.,"Silver Spring, Md. / St. John's College",Michigan,
52,,28.0,Joshua Nichols,DB,5-10,190.0,Fr.,"Detroit, Mich. / Renaissance",Michigan,
53,,29.0,Rhett Andersen,K/P,5-11,188.0,Gr.,"Poquoson, Va. / Poquoson/Hampden-Sydney",Michigan,
54,,29.0,Joey Velazquez,LB,6-0,225.0,Sr.,"Columbus, Ohio / St. Francis De Sales",Michigan,
55,,30.0,Will Rolapp,WR,6-0,200.0,Jr.,"Darien, Conn. / Suffield Academy",Michigan,
56,,30.0,Jimmy Rolder,LB,6-2,228.0,Fr.,"Orland Park, Ill. / Marist",Michigan,
57,,31.0,Nico Andrighetto,RB,5-9,187.0,Fr.,"Mountain View, Calif. / Saint Francis",Michigan,
58,,31.0,Jalen Perry,DB,6-0,190.0,Gr.,"Dacula, Ga. / Dacula",Michigan,
59,,32.0,Jaylen Harrell,EDGE,6-4,246.0,Jr.,"Tampa, Fla. / Berkeley Prep",Michigan,
60,,33.0,German Green,DB,6-2,187.0,Gr.,"DeSoto, Texas / DeSoto",Michigan,
61,,34.0,Leon Franklin,RB,5-9,200.0,Sr.,"Southfield, Mich. / Southfield A&T",Michigan,
62,,34.0,Jaydon Hood,LB,6-1,217.0,So.,"Fort Lauderdale, Fla. / St. Thomas Aquinas",Michigan,
63,,35.0,Logan Forbes,WR,6-2,192.0,Fr.,"Clarkston, Mich. / Clarkston",Michigan,
64,,35.0,Caden Kolesar,DB,5-10,195.0,Sr.,"Westlake, Ohio / St. Edward",Michigan,
65,,36.0,Keshaun Harris,DB,5-11,190.0,Sr.,"Lansing, Mich. / Waverly",Michigan,
66,,37.0,Jahre Fish,DB,5-10,185.0,Gr.,"Washington, D.C. / St. Frances Academy",Michigan,
67,,37.0,Danny Hughes,RB,6-0,205.0,Sr.,"Naperville, Ill. / Naperville Central",Michigan,
68,,38.0,Bryce Wilcox,DB,5-11,185.0,Fr.,"Sharpsburg, Ga. / Trinity Christian",Michigan,
69,,39.0,Joel Metzger,LB,6-1,218.0,So.,"Battle Creek, Mich. / Lakeview",Michigan,
70,,39.0,Joe Taylor,WR,5-10,185.0,So.,"Chelsea, Mich. / Chelsea",Michigan,
71,,40.0,Josh Beetham,TE,6-5,242.0,Jr.,"Yorkville, Ill. / Yorkville",Michigan,
72,,40.0,Christian Boivin,LB,6-0,217.0,So.,"Traverse City, Mich. / Traverse City West",Michigan,
73,,41.0,Isaiah Gash,RB,5-10,175.0,Jr.,"Green Bay, Wisc. / Bay Port",Michigan,
74,,41.0,Nikhai Hill-Green,LB,6-2,232.0,Jr.,"Pittsburgh, Pa. / St. Frances Academy",Michigan,
75,,42.0,TJ Guy,EDGE,6-4,246.0,So.,"Mansfield, Mass. / Mansfield",Michigan,
76,,42.0,Jesse Madden,DB,6-1,193.0,So.,"Oakland, Calif. / Bishop O'Dowd",Michigan,
77,,43.0,Shomari Stone,DB,5-9,175.0,Fr.,"Washington, D.C. / St. John's College",Michigan,
78,,43.0,Ryan Zimmerman,LB,6-2,220.0,Jr.,"Fort Lauderdale, Fla. / Pine Crest",Michigan,
79,,44.0,Joshua Luther,DB,5-9,180.0,Sr.,"Clarkston, Mich. / Clarkston",Michigan,
80,,45.0,Noah Howes,TE,6-4,240.0,So.,"Rochester, Mich. / Rochester",Michigan,
81,,45.0,Greg Tarr,LS,6-2,216.0,Jr.,"Washington, Mich. / Romeo",Michigan,
82,,46.0,Evan Boutorwick,LS,6-3,231.0,Fr.,"Macomb, Mich. / Henry Ford II",Michigan,
83,,46.0,Alexander Lidback,LB,6-2,217.0,So.,"Alpharetta, Ga. / Alpharetta",Michigan,
84,,49.0,Henry Donohue,RB,5-11,202.0,So.,"Bronxville, N.Y. / Bronxville",Michigan,
85,,49.0,William Wagner,LS,6-2,258.0,Sr.,"Alpharetta, Ga. / Alpharetta",Michigan,
86,,50.0,Mica Gelb,OL,6-5,288.0,Sr.,"Washington, D.C. / Woodrow Wilson",Michigan,
87,,50.0,Jerome Nichols,LB,6-0,216.0,Jr.,"Belleville, Mich. / Renaissance",Michigan,
88,,51.0,Greg Crippen,OL,6-4,301.0,So.,"Northborough, Mass. / IMG Academy",Michigan,
89,,52.0,Karsen Barnhart,OL,6-5,308.0,Sr.,"Paw Paw, Mich. / Paw Paw",Michigan,
90,,52.0,Kechaun Bennett,EDGE,6-4,241.0,So.,"Suffield, Conn. / Suffield Academy",Michigan,
91,,53.0,Trente Jones,OL,6-4,311.0,Sr.,"Grayson, Ga. / Grayson",Michigan,
