,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Image,Name,Title
73,,53.0,Gibson Macrae,Linebacker,5-11,215.0,R-Fr.,"Pinehurst, N.C. / Pinecrest",,,
74,,54.0,Chance Carroll,Offensive Line,6-2.25,295.0,So.,"Mooresville, N.C. / Hough",,,
75,,55.0,Zach Rice,Offensive Line,6-5,320.0,Fr.,"Lynchburg, Va. / Liberty Christian Academy",,,
76,,55.0,Keeshawn Silver,Defensive Line,6-4.75,315.0,R-Fr.,"Rocky Mount, N.C. / Rocky Mount",,,
77,,56.0,Tomari Fox,Defensive Line,6-2.25,290.0,Sr.,"Lawrenceville, Ga. / Collins Hill",,,
78,,57.0,Cayden Baker,Offensive Line,6-6,315.0,So.,"Fort Myers, Fla. / Fort Myers",,,
79,,60.0,Carter Kulka,Offensive Line,6-2.75,260.0,R-Fr.,"Atlanta, Ga. / Woodward Academy",,,
80,,61.0,Drew Little,Deep Snapper,5-11.5,230.0,Sr.,"Richfield, N.C. / North Stanly",,,
81,,61.0,Diego Pounds,Offensive Line,6-6.5,330.0,R-Fr.,"Raleigh, N.C. / Millbrook",,,
82,,62.0,Spencer Triplett,Deep Snapper,6-3.25,235.0,So.,"Shelby, N.C. / Shelby",,,
83,,63.0,Ed Montilus,Offensive Line,6-3.25,315.0,Gr.,"Apopka, Fla. / Apopka",,,
84,,64.0,Malik McGowan,Offensive Line,6-3.25,325.0,So.,"Charlotte, N.C. / Charlotte Catholic",,,
85,,65.0,Corey Gaynor,Offensive Line,6-3,305.0,Gr.,"Parkland, Fla. / Stoneman Douglas/Miami",,,
86,,68.0,Brian Anderson,Offensive Line,6-2.5,300.0,Gr.,"Montgomery, Ala. / Montgomery Catholic",,,
87,,69.0,Jarvis Hicks,Offensive Line,6-6.5,300.0,Fr.,"Cartersville, Ga. / Woodland",,,
88,,70.0,Noland Brown,Offensive Line,5-11.25,295.0,Jr.,"Bryson City, N.C. / Swain County",,,
89,,72.0,Asim Richards,Offensive Line,6-4.5,315.0,Sr.,"Philadelphia, Pa. / The Haverford School",,,
90,,73.0,Eli Sutton,Offensive Line,6-6.75,310.0,R-Fr.,"Murfreesboro, Tenn. / Brentwood Academy",,,
91,,74.0,Justin Kanyuk,Offensive Line,6-6,325.0,Fr.,"Lehigh Valley, Pa. / Bethlehem Catholic",,,
92,,75.0,Spencer Rolland,Offensive Line,6-6.25,310.0,Gr.,"Burnsville, Minn. / Apple Valley/Harvard",,,
93,,76.0,William Barnes,Offensive Line,6-4,320.0,Sr.,"Apopka, Fla. / Apopka",,,
94,,78.0,Trevyon Green,Offensive Line,6-7.75,345.0,Fr.,"Prince George, Va. / Life Christian Academy",,,
95,,79.0,Bo Burkes,Offensive Line,6-1.75,285.0,Fr.,"Centreville, Ala. / Bibb County",,,
96,,80.0,Will Crowley,Tight End,6-0.25,240.0,Jr.,"Winston-Salem, N.C. / Reynolds",,,
97,,81.0,John Copenhaver,Tight End,6-3,240.0,So.,"Roswell, Ga. / Roswell",,,
98,,82.0,Kendall Karr,Tight End,6-3.25,250.0,So.,"Belmont, N.C. / Stuart W. Cramer",,,
99,,83.0,Justin Olson,Wide Receiver,6-2,200.0,Jr.,"Huntersville, N.C. / North Mecklenburg",,,
100,,84.0,Cyrus Rogers,Wide Receiver,6-0,180.0,R-Fr.,"Raleigh, N.C. / Rolesville",,,
101,,85.0,Landon Stevens,Wide Receiver,6-2.5,200.0,So.,"Danbury, N.C. / East Surry",,,
102,,86.0,Thomas Flynn,Wide Receiver,6-3.5,205.0,R-Fr.,"Charlotte, N.C. / Providence Day",,,
103,,87.0,Colby Doreen,Jack,6-3.5,235.0,So.,"Middletown, Md. / Middletown",,,
104,,88.0,Deems May,Defensive Line,6-2,195.0,Fr.,"Charlotte, N.C. / Myers Park",,,
105,,88.0,Kamari Morales,Tight End,6-2.75,245.0,Gr.,"Buck Lake, Fla. / Lincoln",,,
106,,89.0,Jake Young,Tight End,6-3,225.0,Fr.,"Waxhaw, N.C. / Marvin Ridge",,,
107,,90.0,Todd Pledger,Place-Kicker,6-8.75,205.0,R-Fr.,"Charlotte, N.C. / Mountain Island Charter",,,
108,,91.0,Ben Kiernan,Punter,6-2,215.0,Sr.,"Dublin, Ireland / Wakefield (N.C.)",,,
109,,92.0,Kody Kovacevic,Defensive Line,6-3,240.0,Fr.,"Wilmington, N.C. / Ashley",,,
110,,92.0,Cole Maynard,Punter,6-1.25,175.0,R-Fr.,"Mooresville, N.C. / Hough",,,
111,,93.0,Jacolbe Cowan,Defensive Line,6-4.5,275.0,So.,"Charlotte, N.C. / Providence Day/Ohio State",,,
112,,95.0,Nicky Sodano,Place-Kicker,5-10,175.0,Fr.,"Carmel, N.Y. / Carmel",,,
113,,96.0,Nic Harvey,Defensive Line,6-1.5,340.0,Fr.,"Kinston, N.C. / Kinston",,,
114,,98.0,Noah Burnette,Place-Kicker,5-10.75,175.0,So.,"Raleigh, N.C. / Leesville Road",,,
115,,98.0,Kevin Hester Jr.,Defensive Line,6-4.75,305.0,Jr.,"Kennesaw, Ga. / North Cobb",,,
0,,,,,,,,,,Mack Brown,Head Coach
1,,,,,,,,,,Gene Chizik,Assistant Head Coach for Defense
2,,,,,,,,,,Lonnie Galloway,Assistant Head Coach/Passing Game Coordinator/Wide Receivers
3,,,,,,,,,,Tommy Thigpen,Co-Defensive Coordinator/Inside Linebackers
4,,,,,,,,,,Charlton Warren,Co-Defensive Coordinator/Defensive Backs
5,,,,,,,,,,Phil Longo,Offensive Coordinator/Quarterbacks Coach
6,,,,,,,,,,Jack Bicknell Jr.,Offensive Line
7,,,,,,,,,,Dré Bly,Cornerbacks
8,,,,,,,,,,Tim Cross,Defensive Line
9,,,,,,,,,,Brian Hess,Head Strength & Conditioning Coach - Football
10,,,,,,,,,,John Lilly,Run Game Coordinator/Tight Ends
11,,,,,,,,,,Darrell Moody,Senior Advisor to the Head Coach
12,,,,,,,,,,Larry Porter,Special Teams Coordinator/Running Backs
13,,,,,,,,,,Sparky Woods,Senior Advisor to the Head Coach
