,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Previous School,Academic Major,Image,Title
53,,22.0,Emmanuel McNeil-Warren,S,6-2,186.0,So.,"St. Petersburg, Fla. / Lakewood",Toledo,,,,
54,,27.0,Quinyon Mitchell,CB,6-0,200.0,Jr.,"Williston, Fla. / Williston",Toledo,,Communication,,
55,,79.0,Kyle Moore,OL,6-5,280.0,So.,"Youngstown, Ohio / Fitch",Toledo,Ohio State,Business,,
56,,17.0,Don Munnerlyn,WR,6-5,220.0,So.,"Columbus, Ohio / Independence",Toledo,Rutgers,,,
57,,1.0,Jerjuan Newton,WR,5-11,190.0,Jr.,"St. Petersburg, Fla. / Clearwater Central Catholic",Toledo,,Mechanical Engineering Technology,,
58,,78.0,David Nwaogwugwu,OL,6-5,305.0,Sr.,"Bronx, N.Y. / DeWitt Clinton",Toledo,Rutgers,,,
59,,37.0,Damon Ollison II,LB,6-0,230.0,So.,"Akron, Ohio / Archbishop Hoban",Toledo,,Business,,
60,,70.0,Rod Orr,OL,6-6,300.0,So.,"Gadsden, Ala. / Gadsden",Toledo,Florida State,,,
61,,29.0,Luke Pawlak,PK,5-10,190.0,Jr.,"Sylvania, Ohio / Northview",Toledo,Montana State,Business,,
62,,24.0,Kristian Pechac,RB,5-11,215.0,Sr.,"Columbus, Ohio / Bloomington South",Toledo,Indiana,,,
63,,46.0,Jeremiah Peters,OLB,6-4,220.0,So.,"Miami, Fla. / Booker T. Washington",Toledo,,Exploratory Studies,,
64,,59.0,Martez Poynter,DT,6-4,275.0,So.,"St. Louis, Mo. / Trinity Catholic",Toledo,,Business,,
65,,44.0,D'Andre Ragin,OLB,6-2,235.0,Jr.,"Opa Locka, Fla. / St. Thomas Aquinas",Toledo,,Criminal Justice,,
66,,97.0,"Doran Ray, Jr.",DT,6-2,295.0,So.,"Detroit, Mich. / Cass Tech",Toledo,,Media Communication,,
67,,14.0,Peyton Reasonover,CB,6-1,195.0,R-Fr.,"Toledo, Ohio / Central Catholic",Toledo,,,,
68,,6.0,John Alan Richter,QB,6-3,215.0,R-Fr.,"Gray, Ga. / Jones County",Toledo,,Business,,
69,,76.0,Chase Riedel,OL,6-4,285.0,R-Fr.,"Macedonia, Ohio / Nordonia",Toledo,,,,
70,,45.0,Jalen Riven,LB,6-3,255.0,So.,"Toledo, Ohio / Central Catholic",Toledo,,Media Communication,,
71,,56.0,Devan Rogers,OL,6-2,285.0,Sr.,"Sidney, Ohio / Sidney",Toledo,,Media Communication,,
72,,73.0,Nick Rosi,OL,6-4,290.0,Jr.,"Powell, Ohio / Olentengy Liberty",Toledo,,Graduate School - Public Health,,
73,,23.0,Cooper Rusk,WR,5-10,180.0,R-Fr.,"Macedonia, Ohio / Nordonia",Toledo,,Finance,,
74,,67.0,Garrett Schwiebert,OL,6-7,295.0,So.,"Halmer, Ohio / Patrick Henry",Toledo,,Mechanical Engineering,,
75,,71.0,Vinny Sciury,OL,6-3,295.0,Jr.,"Massillon, Ohio / Perry",Toledo,,Criminal Justice,,
76,,32.0,Willie Shaw III,RB,5-11,200.0,So.,"Chicago, Ill. / Brother Rice",Toledo,,Communication,,
77,,12.0,Avery Smith,CB,5-10,190.0,So.,"East Point, Ga. / Riverwood",Toledo,,Undecided,,
78,,11.0,"Sam Smith, Jr.",WR,6-4,210.0,Fr.,"Delta, Ohio / Wauseon",Toledo,,,,
79,,72.0,Ethan Spoth,OL,6-4,310.0,R-Fr.,"Eastlake, Ohio / North",Toledo,,Public Health,,
80,,61.0,Justin Stephens,OL,6-5,270.0,Jr.,"Trotwood, Ohio / Trotwood-Madison",Toledo,,Computer Science and Engineering,,
81,,85.0,Larry Stephens,WR,5-11,190.0,So.,"Springfield, Ohio / Springfield",Toledo,,Business,,
82,,69.0,Jackson Stoefen,OL,6-4,295.0,So.,"Eldridge, Iowa / North Scott",Toledo,,Organizational Leadership and Management.,,
83,,81.0,Dalen Stovall,WR,6-2,195.0,So.,"Stow, Ohio / Stow-Munroe Falls",Toledo,,Media Communication,,
84,,21.0,Jacquez Stuart,RB,5-9,180.0,Jr.,"Miami, Fla. / Miami Northwestern",Toledo,,Marketing,,
85,,50.0,Trey Szykowny,LS,6-3,250.0,So.,"Sylvania, Ohio / Northview",Toledo,,,,
86,,56.0,Terrance Taylor,OLB,6-3,225.0,Sr.,"Chicago, Ill. / Phillips",Toledo,,University Studies,,
87,,88.0,Anthony Torres,TE,6-6,250.0,Jr.,"Mishawaka, Ind. / Penn",Toledo,Western Michigan,Accounting,,
88,,29.0,Nick Turner,CB,5-11,190.0,Jr.,"Slidell, La. / Brother-Martin",Toledo,Arkansas,Media Communication,,
89,,83.0,Jalen Vanderbosch,WR,6-2,195.0,Jr.,"Fort Wayne, Ind. / Concordia Lutheran",Toledo,Siena Heights,Exercise Science,,
90,,15.0,Junior Vandeross III,WR,5-8,191.0,So.,"Tampa, Fla. / Jesuit",Toledo,,,,
91,,36.0,Connor Walendzak,RB,5-11,200.0,Fr.,"Perrysburg, Ohio / Perrysburg",Toledo,,,,
92,,80.0,Elijah Wesley,WR,6-0,185.0,So.,"Canton, Ohio / Canton McKinley",Toledo,,Communication,,
93,,57.0,Tanner Wigand,OL,6-6,303.0,So.,"Manitowoc, Wis. / Manitowoc Lincoln",Toledo,,Exercise Science,,
94,,33.0,CJ Wilson Jr.,OLB,6-2,250.0,So.,"Detroit, Mich. / Cass Tech",Toledo,,Media Communication,,
95,,85.0,Adrian Woliver,OLB,6-2,250.0,Sr.,"Stow, Ohio / Stow-Munroe Falls",Toledo,,Criminal Justice,,
