,Statistic,No.,Name,Pos.,Ht.,Wt.,Year,Hometown/High School/Previous School,Current School Name,Image,Title
33,,25.0,Avery Morris,ILB,6-2,220.0,Sr.,"Atascocita, Texas/Atascocita HS",UTSA,,
34,,26.0,Alpha Khan,CB,6-1,165.0,R-Fr.,"Katy, Texas/Mayde Creek HS/Houston Baptist",UTSA,,
35,,27.0,Willie McCoy,WR,6-1,180.0,Jr.,"Houston, Texas/Bellaire HS/Kilgore College",UTSA,,
36,,27.0,Jakevian Rodgers,CB,6-2,150.0,Fr.,"Daingerfield, Texas/Daingerfield HS",UTSA,,
37,,28.0,Je'Vaun Dabon,S,6-1,185.0,R-Jr.,Houston Texas/Cypress Ridge HS,UTSA,,
38,,28.0,Brandon High,RB,5-11,210.0,Fr.,"Spring, Texas/Grand Oaks HS",UTSA,,
39,,29.0,Elliott Davison,S,6-0,180.0,Sr.,"Flint, Texas/Tyler Lee HS/UIW",UTSA,,
40,,29.0,Kyle Eaves,WR,5-9,150.0,R-Jr.,"Austin, Texas/Lake Travis HS",UTSA,,
41,,30.0,De'Anthony Lewis,RB,6-1,195.0,R-So.,"Converse, Texas/Judson HS",UTSA,,
42,,31.0,Kevorian Barnes,RB,5-9,215.0,R-So.,"San Augustine, Texas/San Augustine HS",UTSA,,
43,,31.0,Trey Moore,OLB,6-3,230.0,R-So.,"San Antonio, Texas/Smithson Valley HS",UTSA,,
44,,32.0,Cinque Williams,S,5-9,185.0,Jr.,"Southlake, Texas/Carroll HS/North Texas",UTSA,,
45,,33.0,Nnanna Anyanwu,OLB,6-6,240.0,So.,"Hampton, Ga./Lovejoy HS/Coffeyville [Kan.] CC",UTSA,,
46,,33.0,Camron Cooper,TE,6-2,255.0,R-Fr.,"Dayton, Texas/Dayton HS",UTSA,,
47,,34.0,Martavius French,ILB,6-3,235.0,Jr.,"Memphis, Tenn./Whitehaven HS/Hutchinson [Kan.] CC",UTSA,,
48,,35.0,Lucas Dean,P,6-2,220.0,Sr.,"Dunsborough, Australia/St Mary MacKillop College",UTSA,,
49,,35.0,Malik Robinson,CB,5-6,175.0,Sr.,"San Antonio, Texas/Taft HS",UTSA,,
50,,36.0,Jaylon Lott,ILB,6-0,215.0,R-Jr.,"Carrollton, Texas/Hebron HS",UTSA,,
51,,36.0,Ezekiel Saldana,RB,5-11,185.0,Fr.,"Pecos, Texas/Pecos HS",UTSA,,
52,,37.0,Ronald Link-Milam Jr.,S,6-3,190.0,Jr.,"San Antonio, Texas/Reagan HS",UTSA,,
53,,38.0,Pig Cage,OLB,5-10,200.0,Jr.,"Kenner, La./Archbishop Rummel HS/Nicholls/LSU",UTSA,,
54,,39.0,Kyle Wakefield,ILB,6-0,200.0,R-Sr.,"Austin, Texas/Lake Travis HS/Trinity Valley CC",UTSA,,
55,,39.0,Rashad Wisdom,S,5-9,210.0,Sr.,"Converse, Texas/Judson HS",UTSA,,
56,,40.0,Jimmori Robinson,OLB,6-6,240.0,R-Jr.,"Alexandria, Va./Hayfield Secondary HS/Monroe [N.Y.] College",UTSA,,
57,,41.0,Mason Culton,RB,5-9,205.0,Fr.,"Cypress, Texas/Bridgeland HS",UTSA,,
58,,42.0,Xion LaGrant,S,5-10,165.0,R-Fr.,"San Antonio, Texas/Cornerstone Christian HS",UTSA,,
59,,43.0,Kaleb Brown,ILB,6-1,210.0,R-Fr.,"Austin, Texas/LBJ HS",UTSA,,
60,,44.0,Joel Garcia,LS,6-0,195.0,So.,"San Antonio, Texas/Brennan HS/Lawrence Tech",UTSA,,
61,,44.0,Ronald Triplette,DL,6-2,255.0,R-So.,"Houston, Texas (Shadow Creek HS/Kansas State)",UTSA,,
62,,45.0,Mason Hall,ILB,5-11,215.0,R-Fr.,"Missouri City, Texas/Ridge Point HS",UTSA,,
63,,46.0,Devin Jones,ILB,6-0,195.0,Fr.,"Round Rock, Texas/Cedar Ridge HS",UTSA,,
64,,47.0,Dalessandro Johnson Jr.,CB,5-9,160.0,Sr.,"San Antonio, Texas/Warren HS",UTSA,,
65,,47.0,Tate Sandell,PK,5-10,170.0,R-Fr.,"Port Neches, Texas/Port Neches-Groves HS",UTSA,,
66,,48.0,Alejandro Chavarria,PK,5-9,160.0,Jr.,"San Antonio, Texas/Central Catholic HS/UTEP",UTSA,,
67,,48.0,Aleczander Patterson,ILB,5-10,180.0,Fr.,"Copperas Cove, Texas/Copperas Cove HS",UTSA,,
68,,50.0,Buffalo Kruize,OL,6-5,300.0,Sr.,"Honolulu, Hawai'i/Moanalua HS/City College of San Francisco",UTSA,,
