,Statistic,#,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Previous School,Exp.,Image,Name,Title
45,,30.0,"Dyman, Nate",LB,6-2,223.0,Jr.,"Missouri City, Texas / Westbury Christian HS",UTEP,Blinn College,,,,
46,,31.0,"Bellamy, D'Angelo",DB,6-1,207.0,Sr.,"Modesto, Calif. / Central Catholic",UTEP,Modesto JC,,,,
47,,31.0,"Wann, Matt",DE,6-2,235.0,Jr.,"Fullerton, Calif. / Troy HS",UTEP,Santa Ana College,,,,
48,,32.0,"Johnson, Ilijah",CB,5-11,170.0,R-So.,"Maricopa, Ariz. / Maricopa HS",UTEP,,,,,
49,,33.0,"Hankins, Deion",RB,6-0,226.0,R-Jr.,"El Paso, Texas / Parkland HS",UTEP,,,,,
50,,33.0,"McIver-Brown, Dresden",DT,6-0,259.0,R-So.,"Selma, Texas / Veterans Memorial HS",UTEP,,,,,
51,,34.0,"Liggins, Kiante",LB,6-0,236.0,R-So.,"El Paso, Texas / Andress HS",UTEP,,,,,
52,,35.0,"Essih, Zachary",FB/LB,5-8,213.0,R-Fr.,"Arlington, Texas / Mansfield Timberview HS",UTEP,,,,,
53,,36.0,"Flabiano, Buzz",K/P,6-0,175.0,R-Fr.,"Plano East, Texas / Plano East HS",UTEP,,,,,
54,,37.0,"Tejada, Angelo",LS,5-11,222.0,Jr.,"San Antonio, Texas / Converse Judson HS",UTEP,,,,,
55,,39.0,"Hancock, Josh",LS,5-9,185.0,R-So.,"El Paso, Texas / Coastal Christian Homeschool",UTEP,,,,,
56,,40.0,"Bibler, Chase",DL,6-4,260.0,Jr.,"Fresno, Calif. / Buchanan HS",UTEP,Fresno City College,,,,
57,,42.0,"Hall, Jake",LB,6-2,230.0,Jr.,"San Juan Capistrano, Calif. / San Juan HS",UTEP,Orange Coast College,,,,
58,,43.0,"Lopez, Julian",TE,6-1,246.0,R-Jr.,"El Paso, Texas / Chapin HS",UTEP,,,,,
59,,43.0,"Taueli, Osaiasi",LB,6-1,234.0,R-So.,"Mesa, Ariz. / Mesa HS",UTEP,,,,,
60,,44.0,"Madden, Dimitri",DL,6-3,287.0,Jr.,"Lewisham, London, England /",UTEP,NMMI,,,,
61,,44.0,"Mikaele, Samuel",TE,6-2,225.0,R-Fr.,"Santa Barbara, Calif. / Bishop Garcia HS",UTEP,,,,,
62,,44.0,"Robinson, Elijah",DE,6-0,230.0,Jr.,"Perris, Calif. / Citrus Hill HS",UTEP,,,,,
63,,49.0,"Ramos, Mark",K,5-8,194.0,R-Jr.,"El Paso, Texas / Andress HS",UTEP,,,,,
64,,50.0,"Tafuna, Tevita",DT,6-1,277.0,R-Sr.,"East Palo Alto, Calif. / Menlo-Atherton HS",UTEP,College of San Mateo,,,,
65,,50.0,"Toney, Jaquan",OL,6-4,301.0,Jr.,"Huntsville, Ala. / Mae Jemison HS",UTEP,NE Mississippi CC,,,,
66,,52.0,"Simmons, Xavier",LB,5-11,220.0,R-So.,"Prince George, Md. / Parkland HS",UTEP,,,,,
67,,53.0,"Diaz, Valentino",DE,6-2,228.0,R-Fr.,"Boca Raton, Fla. / Boca Raton HS",UTEP,,,,,
68,,54.0,"Hubbard, Steven",OL,6-3,314.0,R-Sr.,"Houston, Texas / Benjamin O. Davis HS",UTEP,Kilgore College,,,,
69,,54.0,"Stewart, Keenan",DT,6-1,294.0,R-Sr.,"Cedar Rapids, Iowa / Jefferson HS",UTEP,Iowa Western CC,,,,
70,,55.0,"Escobar, Ivan",DT,6-2,289.0,Jr.,"El Paso, Texas / Montwood HS",UTEP,NM State,,,,
71,,55.0,"Pongia, TangiTangi",OL,6-3,290.0,Jr.,"San Diego, Calif. / St. Augustine HS",UTEP,Cisco College,,,,
72,,57.0,"Thomas, Roshaun",DE,6-1,248.0,R-So.,"El Paso, Texas / Montwood HS",UTEP,,,,,
73,,59.0,"Pitts III, Otis",OL,6-3,345.0,R-Jr.,"Grand Prairie, Texas / South Grand Prairie HS",UTEP,Cisco College,,,,
74,,60.0,"Immediato, Joseph",OL,6-4,338.0,R-So.,"El Paso, Texas / Eastwood HS",UTEP,,,,,
75,,62.0,"Duran, Jael",OL,6-2,275.0,So.,"El Paso, Texas / El Paso HS",UTEP,,,,,
76,,64.0,"Luke, Sedrick",OL,6-2,309.0,R-Jr.,"North Highlands, Calif. / Woodcreek HS",UTEP,American River College,,,,
77,,65.0,"Garnett, Jagves",OL,6-5,358.0,R-Sr.,"Cedar Rapids, Iowa /",UTEP,Ellsworth CC,,,,
78,,66.0,"Mayers, Justin",OL,6-3,309.0,R-Jr.,"Frisco, Texas / Reedy HS",UTEP,,,,,
