,Statistic,#,Full Name,Pos.,Academic Year,Ht.,Wt.,Hometown / High School,Current School Name,Previous School,Image,Name,Title
53,,18.0,Fitzroy Ledgister,WR,So.,6-1,185.0,"Jersey City, N.J. / St. Peter's Prep",Rutgers,,,,
54,,71.0,Aaron Lewis,DL,Jr.,6-5,250.0,"Williamstown, N.J. / Williamstown",Rutgers,,,,
55,,46.0,Kareem Lewis,DB,So.,5-11,190.0,"Philadelphia, Pa. / Roman Catholic",Rutgers,,,,
56,,3.0,Chris Long,WR,Jr.,6-0,175.0,"Willingboro, N.J. / Willingboro",Rutgers,,,,
57,,7.0,Robert Longerbeam,DB,Jr.,5-11,170.0,"Alexandria, Va. / T.C. Williams",Rutgers,,,,
58,,6.0,Shaquan Loyal,DB,Jr.,6-0,200.0,"Newark, N.J. / West Side",Rutgers,,,,
59,,37.0,Joe Lusardi,DB,Jr.,5-11,190.0,"Summit, N.J. / Summit",Rutgers,,,,
60,,20.0,Elijuwan Mack,DB,Jr.,5-11,185.0,"Newark, N.J. / St. Joseph Regional [Montvale]",Rutgers,,,,
61,,3.0,Bo Mascoe,DB,Fr.,5-11,185.0,"Kissimmee, Fla. / Osceola",Rutgers,,,,
62,,93.0,Jude McAtamney,PK,Sr.,6-2,200.0,"Derry, Ireland / St. Patrick's College Maghera",Rutgers,,,,
63,,16.0,Max Melton,DB,Jr.,6-0,190.0,"Mays Landing, N.J. / Cedar Creek",Rutgers,,,,
64,,55.0,Kamar Missouri,OL,Jr.,6-5,305.0,"Baltimore, Md. / Mergenthaler Vo-Tech",Rutgers,,,,
65,,5.0,Kyle Monangai,RB,Jr.,5-9,210.0,"Roseland, N.J. / Don Bosco Prep",Rutgers,,,,
66,,64.0,Nelson Monegro,OL,So.,6-7,305.0,"Union City, N.J. / Union City",Rutgers,,,,
67,,13.0,Nasir Montgomery,WR,Jr.,6-1,190.0,"East Orange, N.J. / East Orange",Rutgers,,,,
68,,56.0,Tyler Needham,OL,Jr.,6-4,300.0,"Newton, Pa. / William Penn Charter",Rutgers,,,,
69,,99.0,Michael O’Connor,LS,Jr.,6-1,210.0,"Middletown, N.J. / Red Bank Catholic",Rutgers,,,,
70,,16.0,Jesse Ofurie,WR,Fr.,6-2,205.0,"Salem, Mass. / St. John's Prep",Rutgers,,,,
71,,78.0,Nick Oliveira,OL,Fr.,6-5,295.0,"Mullica Hill, N.J. / Clearview",Rutgers,,,,
72,,22.0,Raeden Oliver,QB,So.,6-2,195.0,"Montclair, N.J. / East Orange Campus",Rutgers,,,,
73,,35.0,David Onuoha,LB,So.,6-1,235.0,"Aberdeen, N.J. / Matawan Regional",Rutgers,,,,
74,,44.0,Jai Patel,PK,So.,5-9,175.0,"Monmouth Junction, N.J. / South Brunswick HS",Rutgers,,,,
75,,69.0,Caleb Patterson,DL,Jr.,6-2,270.0,"Jamesville, N.Y. / Jamesville-DeWitt",Rutgers,,,,
76,,0.0,Max Patterson,WR,Jr.,6-0,185.0,"Arlington, Va. / Yorktown",Rutgers,,,,
77,,72.0,Hollin Pierce,OL,Jr.,6-8,340.0,"Trenton, N.J. / Trenton Central",Rutgers,Fork Union Military Academy,,,
78,,22.0,Tyreem Powell,LB,Jr.,6-5,240.0,"Vineland, N.J. / Vineland South",Rutgers,,,,
79,,53.0,Q'yaeir Price,DL,So.,6-2,255.0,"Paterson, N.J. / DePaul Catholic",Rutgers,,,,
80,,51.0,Troy Rainey,DL,Jr.,6-4,295.0,"Bridgeport, Conn. / Harding",Rutgers,,,,
81,,87.0,Liam Rempel,DL,Jr.,6-5,225.0,"Monmouth Beach, N.J. / The Hun School",Rutgers,,,,
82,,33.0,Lance Rice,LB,Sr.,5-11,220.0,"Plainfield, N.J. / Edison",Rutgers,,,,
83,,31.0,Michael Robinson II,DB,Jr.,5-11,195.0,"Montclair, N.J. / Montclair",Rutgers,,,,
84,,8.0,Rashad Rochelle,WR,So.,5-11,175.0,"Springfield, Ill. / Springfield",Rutgers,,,,
85,,0.0,Eric Rogers,DB,Jr.,6-2,185.0,"Burlington, N.J. / Burlington Township",Rutgers,,,,
86,,17.0,Gavin Rupp,QB,Jr.,6-3,205.0,"Tampa, Fla. / Berkeley Prep",Rutgers,,,,
87,,41.0,Ryan Russo,LB,So.,6-1,225.0,"Harrisburg, Pa. / Bishop McDevitt",Rutgers,,,,
88,,26.0,Al-Shadee Salaam,RB,Jr.,5-10,185.0,"East Orange, N.J. / East Orange",Rutgers,,,,
89,,73.0,Terrence Salami,OL,Jr.,6-2,295.0,"Willingboro, N.J. / Holy Cross Prep",Rutgers,,,,
90,,15.0,Ajani Sheppard,QB,Fr.,6-3,230.0,"Bronx, N.Y. / Iona Prep",Rutgers,,,,
91,,10.0,Evan Simon,QB,Jr.,6-3,200.0,"Mount Joy, Pa. / Manheim Central",Rutgers,,,,
92,,80.0,Jordan Smikle,WR,So.,6-0,175.0,"Farmingdale, N.Y. / Farmingdale",Rutgers,,,,
93,,11.0,Cam'Ron Stewart,DL,Jr.,6-5,250.0,"Shillington, Pa. / Governor Mifflin",Rutgers,,,,
94,,61.0,Emir Stinette,OL,So.,6-5,365.0,"Philadelphia, Pa. / Imhotep Charter",Rutgers,,,,
95,,71.0,John Stone,OL,Fr.,6-3,280.0,"Sewell, N.J. / Washington Township",Rutgers,,,,
96,,29.0,Ian Strong,DB,Fr.,6-4,210.0,"Coram, N.Y. / St. Anthony's",Rutgers,,,,
97,,70.0,Reggie Sutton,OL,Sr.,6-4,295.0,"Baltimore, Md. / Calvert Hall",Rutgers,,,,
98,,14.0,Jordan Thompson,DL,Jr.,6-2,260.0,"Parsippany, N.J. / Parsippany Hills",Rutgers,,,,
99,,1.0,Mohamed Toure,LB,Sr.,6-2,230.0,"Pleasantville, N.J. / Pleasantville",Rutgers,,,,
100,,43.0,Andrew Vargas,DB,So.,5-9,185.0,"Ridgefield Park, N.J. / Ridgefield Park",Rutgers,,,,
101,,82.0,Jordan Walker,TE,So.,6-4,240.0,"Rochester, N.Y. / Rush-Henrietta",Rutgers,Milford Academy,,,
102,,2.0,Moses Walker,LB,So.,6-2,225.0,"Staten Island, N.Y. / Erasmus Hall",Rutgers,,,,
103,,86.0,Evan Ward,TE,Jr.,6-4,245.0,"Rutherford, N.J. / Rutherford",Rutgers,,,,
104,,26.0,Timmy Ward,DB,Jr.,6-0,185.0,"Canton, Pa. / Canton",Rutgers,,,,
105,,14.0,Isaiah Washington,WR,Sr.,6-3,205.0,"Jacksonville, Fla. / Trinity Christian Academy",Rutgers,,,,
106,,63.0,Taj White,OL,So.,6-5,295.0,"Jersey City, N.J. / Hudson Catholic HS",Rutgers,,,,
107,,36.0,Dominick Williams,LB,Sr.,6-1,215.0,"Rahway, N.J. / Rahway",Rutgers,,,,
108,,15.0,Zilan Williams,DB,So.,6-1,190.0,"Martinsburg, W.Va. / DeMatha Catholic HS",Rutgers,,,,
109,,2.0,Gavin Wimsatt,QB,Jr.,6-3,225.0,"Owensboro, Ky. / Owensboro",Rutgers,,,,
110,,34.0,Micah Wing,LB,So.,6-2,205.0,"Wilmington, Del. / Salesianum",Rutgers,,,,
111,,13.0,Abram Wright,LB,Fr.,6-1,225.0,"Jacksonville, Fla. / Fleming Island",Rutgers,,,,
112,,8.0,Jamier Wright-Collins,LB,Jr.,6-1,225.0,"Paterson, N.J. / John F. Kennedy",Rutgers,,,,
113,,4.0,Aaron Young,RB,Sr.,5-10,205.0,"Coatesville, Pa. / Coatesville",Rutgers,,,,
114,,59.0,Gus Zilinskas,OL,Jr.,6-2,300.0,"Englewood, Colo. / Cherry Creek",Rutgers,,,,
0,,,,,,,,,Rutgers,,,Greg Schiano,Head Coach
1,,,,,,,,,Rutgers,,,Kirk Ciarrocca,Offensive Coordinator/Quarterbacks
2,,,,,,,,,Rutgers,,,Joe Harasymiak,Defensive Coordinator
3,,,,,,,,,Rutgers,,,Mark Orphey,Cornerbacks
4,,,,,,,,,Rutgers,,,Corey Hetherman,Linebackers
5,,,,,,,,,Rutgers,,,Drew Lascari,Safeties
6,,,,,,,,,Rutgers,,,Marquise Watson,Defensive Line
7,,,,,,,,,Rutgers,,,Andrew Aurich,Tight Ends
8,,,,,,,,,Rutgers,,,Dave Brock,Wide Receivers
9,,,,,,,,,Rutgers,,,Damiere Shaw,Running Backs
10,,,,,,,,,Rutgers,,,Pat Flaherty,Offensive Line
11,,,,,,,,,Rutgers,,,Jay Butler,Director of Sports Performance
12,,,,,,,,,Rutgers,,,Joe Susan,Special Assistant to the Head Coach
13,,,,,,,,,Rutgers,,,Bob Fraser,Senior Advisor
14,,,,,,,,,Rutgers,,,Ryan Pisarri,Sport Administrator
15,,,,,,,,,Rutgers,,,Matthew Colagiovanni,Sport Administrator
0,,,,,,,,,Rutgers,,,Joe Schiano,Graduate Assistant Defense
1,,,,,,,,,Rutgers,,,Scott Vallone,Assistant Offensive Line
2,,,,,,,,,Rutgers,,,Austin Triglia,Defensive Assistant
3,,,,,,,,,Rutgers,,,Matt Hewitt,Defensive Assistant
4,,,,,,,,,Rutgers,,,Jordan Huxtable,Defensive Assistant
5,,,,,,,,,Rutgers,,,Charlie Noonan,Assistant Linebackers
6,,,,,,,,,Rutgers,,,Eddie Allen,Special Teams Assistant
7,,,,,,,,,Rutgers,,,Damaso Muñoz,Special Teams Assistant
8,,,,,,,,,Rutgers,,,William Gilkison,Associate Athletic Director/Football
9,,,,,,,,,Rutgers,,,Jeff Jones,Director of Player Development
10,,,,,,,,,Rutgers,,,Eric Josephs,Director of Player Personnel
11,,,,,,,,,Rutgers,,,Kevin MacConnell,Chief of Staff
12,,,,,,,,,Rutgers,,,Tim Machan,Director of Integrated High Performance
13,,,,,,,,,Rutgers,,,David McCune,Director of Football Athletic Training
14,,,,,,,,,Rutgers,,,Anthony Misuraco,Head Football Athletic Trainer
15,,,,,,,,,Rutgers,,,Matt Walp,Director of Player Engagement
16,,,,,,,,,Rutgers,,,Jordan Wolkstein,Director of Communications and Branding
17,,,,,,,,,Rutgers,,,Chas Dodd,Assistant Strength and Conditioning
18,,,,,,,,,Rutgers,,,Mike Tufo,Assistant Strength and Conditioning
19,,,,,,,,,Rutgers,,,Jamaal Westerman,Assistant Strength and Conditioning
20,,,,,,,,,Rutgers,,,PJ Barr,Player Development Assistant
21,,,,,,,,,Rutgers,,,Steven Best,Director of Physical Therapy - Football
22,,,,,,,,,Rutgers,,,Darrick Brown,Assistant Director of Academic Services
23,,,,,,,,,Rutgers,,,Jan Bruins,Assistant Athletic Trainer - Football
24,,,,,,,,,Rutgers,,,Milton Cordero,Player Development Assistant
25,,,,,,,,,Rutgers,,,Jasmine Edwards,Academic Advisor
26,,,,,,,,,Rutgers,,,Jeremy Engel,Assistant Director of Video Technology
27,,,,,,,,,Rutgers,,,Cinjun Erskine,Player Development Assistant
28,,,,,,,,,Rutgers,,,Tim Falato,Assistant Director of Football Operations
29,,,,,,,,,Rutgers,,,Colin Fox,Director of Creative
30,,,,,,,,,Rutgers,,,Brandon Furrer,Assistant Director of Player Development
31,,,,,,,,,Rutgers,,,Shamir Hill,Assistant Director of Recruiting
32,,,,,,,,,Rutgers,,,Robert Horowitz,Football Technology Assistant
33,,,,,,,,,Rutgers,,,Nick Jenkins,Assistant Equipment Manager
34,,,,,,,,,Rutgers,,,Nasir Jones,Player Development Assistant
35,,,,,,,,,Rutgers,,,Ramel Meekins,Academic Advisor
36,,,,,,,,,Rutgers,,,PJ Mullen,Assistant Athletic Director of Marketing and Game Presentation
37,,,,,,,,,Rutgers,,,Hannah O'Brien,Dietitian Assistant
38,,,,,,,,,Rutgers,,,Adam Obirek,Director of Creative Video
39,,,,,,,,,Rutgers,,,Dominic Pedone,Sports Nutrition Analyst
40,,,,,,,,,Rutgers,,,Cassie Petty,Director of Recruiting Operations
41,,,,,,,,,Rutgers,,,Jean Riccio,Assistant to the Head Coach
42,,,,,,,,,Rutgers,,,Sam Rotondi,Administrative Assistant
43,,,,,,,,,Rutgers,,,Ramon Ruiz,Player Personnel Assistant
44,,,,,,,,,Rutgers,,,Mike Shapley,Director of Equipment
45,,,,,,,,,Rutgers,,,Dan Spittal,Player Personnel Analyst
46,,,,,,,,,Rutgers,,,Daniel Tocci,Senior Athletic Trainer - Football
47,,,,,,,,,Rutgers,,,Dillon Tolman,Operations Assistant
48,,,,,,,,,Rutgers,,,Rob Van Duzer,Assistant Athletic Trainer - Football
49,,,,,,,,,Rutgers,,,Scott Walker,Executive Director - Academic Services
50,,,,,,,,,Rutgers,,,Kayon Whitaker,Player Development Assistant
51,,,,,,,,,Rutgers,,,Christian Willbrant,Creative Media Coordinator
