,Statistic,#,Full Name,Pos.,Ht.,Wt.,Yr.,Exp.,Hometown / High School ( Previous School)
57,,76.0,Albert Reese IV,OL,6-7,320.0,R-So.,1L,"Edmonton, Alberta / Clearwater (Fla.) Academy International"
58,,79.0,Jakson LaHue,OL,6-5,320.0,R-Fr.,RS,"Azle, Texas / Azle HS"
59,,80.0,Kade Kolka,WR,5-11,190.0,R-Sr.,SQ,"Tallahassee, Fla. / Lawton Chiles HS"
60,,81.0,Antonio Harmon,TE,6-3,215.0,R-So.,1L,"Kosciusko, Miss. / Kosciusko HS"
61,,82.0,Rufus Harvey,WR,5-10,165.0,R-Jr.,2L,"Starkville, Miss. / Starkville HS"
62,,83.0,Marquez Dortch,WR,6-0,165.0,R-Fr.,RS,"Lucedale, Miss. / George County HS"
63,,84.0,Jarnorris Hopson,WR,5-11,190.0,R-Fr.,RS,"Tunica, Miss. / Horn Lake HS"
64,,87.0,Zavion Thomas,WR,5-11,190.0,So.,1L,"Woodmere, La. / John Ehret HS"
65,,88.0,Nick Lauderdale,TE,6-3,215.0,R-Jr.,RS,"Jackson, Miss. / Central Hines HS (Hinds [Miss.] CC)"
66,,90.0,Hudson Hollenbeck,K,6-3,205.0,R-Fr.,RS,"Collierville, Tenn. / Collierville HS"
67,,91.0,Deonte Anderson,DE,6-3,255.0,R-So.,SQ,"Miami, Fla. / Fort Meade Senior HS"
68,,94.0,Jaden Crumedy,DT,6-5,315.0,Gr.,4L,"Hattiesburg, Miss. / Oak Grove HS"
69,,96.0,Gavin Nelson,DL,6-5,265.0,R-Fr.,RS,"Birmingham, Ala. / Oak Mountain HS"
70,,98.0,Jordan Kennedy,K,6-0,195.0,R-Fr.,RS,"Novato, Calif. / De La Salle HS"
71,,99.0,Jacarius Clayton,TE,6-6,250.0,R-Fr.,RS,"Tupelo, Miss. / Tupelo HS"
72,,,Ja'Kobi Albert,S,5-11,180.0,So.,TR,"Fairfield, Ala. / Fairfield Prep HS (Kentucky)"
73,,,Nick Barr-Mira,K,6-0,185.0,R-Sr.,TR,"Palos Verdes, Calif. / Loyola HS / UCLA"
74,,,Jacoby Bellazar,WR,5-11,165.0,Jr.,JC,"Baton Rouge, La. / Capitol Senior HS / Southwest Mississippi C.C."
75,,,Justin Brown,WR,6-0,185.0,Fr.,HS,"Murfreesboro, Tenn. / Blackman HS"
76,,,Keelan Crimmins,P,6-3,210.0,Fr.,HS,"Melbourne, Australia / Victoria University / ProKick Australia"
77,,,Seth Davis,RB,5-7,180.0,Fr.,HS,"Katy, Texas / Katy HS"
78,,,Carsson DeYoung,TE,6-4,230.0,Jr.,JC,"Clinton, Miss. / Clinton HS / Hinds [Miss.] CC"
79,,,Malik Ellis,TE/OL,6-5,255.0,Fr.,HS,"Laurel, Miss. / Laurel HS"
80,,,Luke Evans,CB,6-2,175.0,Fr.,HS,"Coral Springs, Fla. / Chaminade Madonna College Prep"
81,,,Wykece Johnson,RB,6-0,215.0,Jr.,JC,"Lexington, Miss. / Central Holmes Christian (Holmes [Miss.] CC)"
82,,,Chris Keys,S,6-0,190.0,R-Jr.,TR,"Collins, Miss. / Collins HS / Indiana"
83,,,Asher Morgan,QB,6-4,220.0,R-So.,JC,"Philadelphia, Miss. / Philadelphia HS / Mississippi Gulf Coast CC"
84,,,Andrew Osteen,P,6-1,190.0,Gr.,TR,"Enterprise, Ala. / Enterprise HS / UCF"
85,,,Chris Parson,QB,6-1,215.0,Fr.,HS,"Brentwood, Tenn. / Ravenwood HS"
86,,,Jeffery Pittman,RB,5-11,205.0,Jr.,JC,"Taylorsville, Miss. / Taylorsville HS / Hinds [Miss.] C.C."
87,,,Khamauri Rogers,CB,6-0,180.0,R-Fr.,TR,"Madison, Miss. / Holmes County Central HS / Miami (Fla.)"
88,,,Jalin Shephard,S,5-10,190.0,R-So.,TR,"Hogansville, Ga. / Callaway HS / West Georgia"
89,,,Isaac Smith,S,6-0,200.0,Fr.,HS,"Fulton, Miss. / Itawamba Agricultural HS"
90,,,Vic Sutton,QB,6-3,205.0,Fr.,HS,"Madison, Miss. / Madison Central HS"
91,,,Zakari Tillman,LB,6-2,230.0,Fr.,HS,"Florence, Miss. / Florence HS"
92,,,Creed Whittemore,WR,5-11,185.0,Fr.,HS,"Gainesville, Fla. / F.W. Buchholz HS"
93,,,Mike Wright,QB,6-4,190.0,Sr.,TR,"Fayetteville, Ga. / Woodward Academy / Vanderbilt"
