,Statistic,#,Name,C,Year,Pos.,Ht.,Wt.,Hometown / Previous School,Previous School,Major,Instagram,Twitter,Image,Title
21,,20.0,Kyle Adams,,R-Jr.,QB,6-1,180.0,"West Lafayette, Ind. /",James Madison,Finance,kyle.adams.10,kyleadamss,,
22,,20.0,OC Brothers,,R-Sr.,LB,6-2,225.0,"Southwest Brevard County, Fla. / Rockledge",Auburn,Sociology,ocbrothers8,ocbrothers8,,
23,,21.0,Sanoussi Kane,,Sr.,S,6-0,205.0,"Harlem, N.Y. / Blair Academy",,General Management,nuski_21,SanoussiKane1,,
24,,22.0,Owen Davis,,Fr.,LB,6-3,,"Richwood, Ohio / North Union",,,owendavis_3,owen_davis13,,
25,,23.0,Ethon Cole,,Fr.,DB,6-1,,"Clermont, Fla. / Lake Minneola",,,,EthonCole,,
26,,24.0,Anthony Brown,,R-Fr.,DB,6-0,181.0,"Milan, Tenn. /",Arkansas,,,Ant_Winning,,
27,,25.0,Zion Gunn,,Fr.,DB,6-2,,"Orlando, Fla. / Winter Park",,,z10n_gunn,ZEgunn,,
28,,26.0,Brandon Calloway,,R-So.,CB,6-1,195.0,"Griffin, Ga. / Griffin",,Selling & Sales Management,brandon6k_,22Bcalloway,,
29,,27.0,Trey Firestone,,R-Fr.,WR,6-2,190.0,"Zionsville, Ind. / Zionsville",,Exploratory Studies,treyfirestone,TreyFirestone,,
30,,28.0,Ryan Brandt,,R-Jr.,S,6-1,210.0,"Angola, Ind. / Angola",,General Management,ryanbrandt28,ryanjbrandt,,
31,,28.0,Addai Lewellen,,R-Fr.,RB,5-8,170.0,"Royal Center, Ind. / Pioneer",,,addailewellen,addai_lewellen,,
32,,29.0,Kentrell Marks,,R-Fr.,RB,6-1,180.0,"Cleveland, Ohio / Valley Forge",,Selling & Sales Management,,RawTrell,,
33,,29.0,Jaxon Mull,,R-Fr.,DB,5-11,180.0,"Ft. Wayne, Ind. / Culver",,Undecided,,MullJaxon,,
34,,29.0,Andrew Sowinski,,R-Jr.,WR,6-0,195.0,"Indianapolis, Ind. / Chatard",,Marketing,andrew_sowinski,andrewsowinski2,,
35,,30.0,Jack Ansell,,Jr.,P,6-2,205.0,"Warrnambool, Australia / Brauer College",,Selling & Sales Management,_jackansell,JackAnsell15,,
36,,31.0,Dillon Thieneman,,Fr.,DB,6-0,,"Carmel, Ind. / Westfield",,,dillonthieneman,DillonThieneman,,
37,,32.0,Joseph Jefferson II,,R-Fr.,S,6-0,190.0,"Indianapolis, Ind. / Pike",,,jjjoseph.04,JosephJJ2022,,
38,,33.0,Charlie Kenrich,,R-Fr.,TE,6-3,230.0,"Liberty Township, Ohio / Lakota East",,Supply Chain Information & Analytics,charliekenrich,kenrichcharlie,,
39,,33.0,Xander Pratt,,R-Fr.,CB,6-1,180.0,"Ft. Wayne, Ind. / Concordia Lutheran",,Kinesiology,,pratt_xander,,
40,,34.0,Damarjhe Lewis,,R-Jr.,DT,6-3,300.0,"Griffin, Ga. / Griffin",Indiana,Selling & Sales Management,_damarjhelewis,_damarjhelewis,,
41,,34.0,Ben Van Noord,,R-So.,WR,6-2,210.0,"Springfield, Ohio / Springfield",,Political Science,ben_van_noord,Ben_Van_Noord,,
42,,35.0,Hayden Parise,,R-Jr.,WR,6-4,190.0,"Kansas City, Mo. / Rockherst",,Psychological Sciences,hayden.parise,hbparise,,
43,,35.0,Antonio Stevens,,R-Jr.,S,6-2,200.0,"Nashville, Tenn. / Battle Ground Academy",,Pre-Communication,begreat.tony,AntonioStevens_,,
44,,36.0,Roman Pitre,,So.,LB,6-5,230.0,"Baton Rouge, La. / University Laboratory School",,Selling & Sales Management,roman.pitre,RomanPitre,,
45,,37.0,Jacob Wahlberg,,R-Sr.,LB,6-4,235.0,"Muskegon, Mich. / Mona Shores",,MS Communication & Leadership,jwahlbergg,JacobWahlberg17,,
46,,38.0,Dylan Downing,,Sr.,RB,6-0,210.0,"Carmel, Ind. / Carmel",UNLV,Organizational Leadership,ddownxng,Mx2_44,,
47,,39.0,Ben Freehill,,R-Sr.,K,6-1,190.0,"Gibson City, Ill. / Gibson City Melvin-Sibley",Oklahoma State,Agribusiness,ben.freehill,benfreehill,,
48,,40.0,Hudson Miller,,R-Fr.,LB,6-0,210.0,"Indianapolis, Ind. / Cathedral",,Marketing,hudmiller,huddmiller,,
49,,41.0,Ben Furtney,,R-Jr.,FB,6-0,225.0,"South Elgin, Ill. / St. Charles North",,Chemical Engineering,ben.furtney,ben_furtney,,
50,,41.0,Caleb Krockover,,R-Jr.,K,5-9,195.0,"West Lafayette, Ind. / West Lafayette",,Mechanical Engineering Technology,caleb_krockover,caleb_krockover,,
51,,42.0,Clyde Washington,,Sr.,LB,6-3,235.0,"Medford, N.J. / Lenape",,Law & Society,clyde.wash42,Clydewash42,,
52,,44.0,Kydran Jenkins,,Sr.,DE,6-1,270.0,"Louisville, Ga. / Jefferson County",,Retail Management,,kjayjenkins_,,
53,,45.0,Julio Macias,,R-Fr.,K,6-5,230.0,"Ligonier, Ind. / West Noble",,General Management,julio_macias_4,macias861,,
54,,45.0,Devin Mockobee,,R-So.,RB,6-0,195.0,"Boonville, Ind. / Boonville",,Undecided,dmocko1,devin_mockobee,,
55,,46.0,Scotty Humpich,,6th,LB,6-4,255.0,"Louisville, Ky. /",Murray State,Sociology,scottyj12,scottyj122,,
56,,47.0,Brendan Cropsey,,R-Jr.,P,6-1,190.0,"Saline, Mich. / Saline",,Aeronautical & Astronautical Engineering,brendanc_cropsey,BrendanCropsey,,
57,,47.0,Domanick Moon,,R-Fr.,LB,6-2,220.0,"Ft. Wayne, Ind. / Snider",,Undecided,domanick_moon47,,,
58,,48.0,Tristan Cox,,R-So.,LB,6-3,255.0,"Somerset, Ky. / Pulaski County",,Kinesiology,tcox_22,Tcox022,,
59,,49.0,Farrell Henderson III,,R-Fr.,LB,5-11,225.0,"Indianapolis, Ind. / Cathedral",,Exploratory Studies,flhenderson1,_IceTreyy,,
60,,50.0,Sulaiman Kpaka,,R-Sr.,DE,6-2,280.0,"Grand Prairie, Texas / Grand Prairie",,Financial Counseling & Planning,thereaalpak,svkthegreat,,
61,,51.0,Nick Taylor,,R-Jr.,LS,6-4,225.0,"Indianapolis, Ind. / Lawrence North",,Biomedical Health Sciences,nicktaylor.17,nickctaylor,,
62,,52.0,Zac Tuinei,,R-Sr.,RB,6-0,245.0,"Michigan City, Ind. / Noblesville",Arkansas State,Communication,zactuinei,TuineiZac,,
63,,53.0,Gus Hartwig,,Sr.,OL,6-5,310.0,"Zionsville, Ind. / Zionsville",,Finance,gushartwig53,gushartwig53,,
64,,54.0,Josh Kaltenberger,,R-Jr.,OL,6-5,305.0,"Cranberry Township, Pa. / Seneca Valley",,General Management,josh_kaltenberger,jkalt54,,
65,,54.0,Ben Kreul,,R-Jr.,LB,6-3,235.0,"Waukesha, Wis. / Catholic Memorial",,Organizational Leadership,benkreul,BenKreul7,,
66,,55.0,Malachi Preciado,,R-Fr.,OL,6-5,290.0,"New Orleans, La. / Warren Easton",,General Education Curriculum & Instruction,_malachi.p,_malachi_p,,
67,,56.0,Jayden Scruggs,,R-Fr.,DE,6-1,235.0,"Indianapolis, Ind. / Cathedral",,Law & Society,jayden.scruggs,jascruggs21,,
68,,59.0,Vince Carpenter,,R-Fr.,OL,6-5,285.0,"Monmouth Beach, N.J. / Red Bank",,Audio Engineering Technology,vincecarp4,Vcarpot22,,
69,,61.0,Aaron Roberts,,R-So.,OL,6-4,295.0,"Indianapolis, Ind. / Cardinal Ritter",,Kinesiology,aaron.r34,AaronR2423,,
70,,62.0,Ben Kuhns,,R-Sr.,OL,6-4,295.0,"Pendleton, Ind. / Pendleton Heights",,Mechanical Engineering Technology,benkuhns62,kuhnsben62,,
71,,63.0,Marcus Mbow,,R-So.,OL,6-5,305.0,"Wauwatosa, Wis. / Wauwatosa East",,Undecided,marcusmbow_,MarcusMbow,,
72,,64.0,Mahamane Moussa,,R-So.,OL,6-4,285.0,"Indianapolis, Ind. / Pike",,Undecided,moussa64_,Moussaaa_,,
73,,67.0,Drew Woodruff,,R-Fr.,OL,6-3,270.0,"Louisville, Ky / Trinity",,Mechanical Engineering,drew.woodruff_,DrewWoodruff4,,
74,,68.0,Jimmy Liston,,Fr.,OL,6-3,280.0,"Hinsdale, Ill. / IMG Academy",,,jimboliston,jimmyliston64,,
75,,70.0,Zach Richards,,R-So.,OL,6-3,305.0,"Mooresville, Ind. / Mooresville",,Selling & Sales Management,z_rich70,Zrichy70,,
76,,71.0,Nalin Fox,,R-Jr.,OL,6-5,305.0,"Pontiac, Mich. / Notre Dame Prep",,Law & Society,nalinfox23,nalinfox,,
77,,72.0,Sione Finau,,5th,OL,6-3,305.0,"Keller, Texas /",FIU,Selling & Sales Management,sionefinau__,SioneFinau_,,
78,,73.0,Daniel Johnson,,6th,OL,6-5,305.0,"London, Ontario /",Kent State,MS Learning Design & Technology,danieljohnson6,djohnson0603,,
79,,74.0,Eric Miller,,6th,OL,6-7,305.0,"Mason, Ohio / William Mason",,General Management,ericmiller_74,ericmiller74_,,
80,,75.0,Jalen Grant,,Sr.,OL,6-3,285.0,"Chicago, Ill. / Mount Carmel",Bowling Green,,,Jalen_Grant99,,
81,,76.0,Andre Oben,,R-Fr.,OL,6-5,290.0,"Montclair, N.J. / St. Peter's Prep",,Finance,ac.oben,ac_oben,,
82,,78.0,Cross Watson,,R-Fr.,OL,6-5,275.0,"Portage, Mich. / Portage Central",,First-Year Engineering,cross_watson75,CrossWatson2022,,
83,,79.0,Jared Bycznski,,R-Jr.,OL,6-5,310.0,"Berea, Ohio / Berea-Midpark",,Selling & Sales Management,bycznski79,jaredbyz,,
84,,80.0,Bennett Boehnlein,,R-Fr.,P,6-3,200.0,"Louisville, Ky / St. Xavier",,,,bennettb04,,
85,,81.0,Collin Sullivan,,R-Jr.,WR,6-2,200.0,"Round Rock, Texas / Round Rock",,Selling & Sales Management,thecollinsullivan,collinsullivan9,,
86,,82.0,Drew Biber,,R-So.,TE,6-5,225.0,"Cedarburg, Wis. / Cedarburg",,Financial Counseling & Planning,drew_biber,drew__biber,,
87,,83.0,Zion Steptoe,,R-Fr.,WR,5-11,180.0,"Little Elm, Texas / Memorial",,Supply Chain Information & Analytics and General Management,steptoezion,ZionSteptoe,,
88,,84.0,Preston Terrell,,R-So.,WR,6-3,195.0,"Brownsburg, Ind. / Brownsburg",,Selling & Sales Management,p.terrel1,prestonterrell5,,
89,,86.0,Max Klare,,R-Fr.,TE,6-4,225.0,"Guilford, Ind. / St. Xavier",,Finance,maxklare,m4klare,,
90,,87.0,Maddix Bogunia-Bright,,Fr.,WR,6-2,180.0,"Mishawaka, Ind. / Marian",,,,maddixbobr,,
91,,88.0,Garrett Miller,,R-Sr.,TE,6-5,245.0,"Round Rock, Texas / Round Rock",,Organizational Leadership,,garrettmill1,,
92,,89.0,Paul Piferi,,R-Sr.,TE,6-5,240.0,"Villa Park, Calif. / Villa Park",,Mechanical Engineering Technology,paul_piferi16,paulpiferi,,
93,,90.0,Isaiah Nichols,,Gr.,DL,6-3,315.0,"Springdale, Ark.. / Springdale",Arkansas,,zay.xcii,isaiahnichols93,,
94,,91.0,Cole Brevard,,R-Jr.,DT,6-3,315.0,"Carmel, Ind. /",Penn State,,cole_brevard,cole_brevard,,
95,,91.0,Ben Buechel,,R-Jr.,TE,6-3,240.0,"New Berlin, Wis. / Eisenhower",,General Management,ben_buechel3,BenBuechel13,,
96,,92.0,Mo Omonode,,So.,DT,6-0,285.0,"West Lafayette, Ind. / West Lafayette",,Kinesiology,,moomonode50,,
