,Number,Name,Position,Height,Weight,Class,EXP,Hometown,Previous School,Unnamed: 9,Unnamed: 2
86,78.0,Arrison Cole,OL,6-7,310.0,RS-So.,1SQ-RS,"Suwanee, Ga.",Lambert HS,acole_45,
87,79.0,Walter Baca,OL,6-1,285.0,RS-Jr.,2SQ-RS,"Los Lunas, N.M.",Los Lunas HS,Walterbaca10  Wallyworld53,
88,80.0,Michael Buckley,WR,5-11,175.0,RS-So.,1SQ-RS,"Cabo San Lucas, Mexico",Santa Margarita HS,michaelbuckkley  michaelbuckley1,
89,81.0,Elijah Queen,TE,6-5,230.0,Sr.,*3VL,"Carson, Calif.",Narbonne HS,enaastyyyy  elijah.queen_,
90,82.0,Austin Erickson,WR,6-0,180.0,RS-Jr.,2VL-RS,"Albuquerque, N.M.",Manzano HS,aerickson2216  _austin_2216,
91,83.0,Everett Hunter,TE,6-5,240.0,So.,JC,"Modesto, Calif.",Modesto JC/Modesto Christian HS,EverettHunter_,
92,83.0,Kade Zimmerman,WR,6-3,190.0,Jr.,1VL,"Irvine, Calif.",Black Hills State/Irvine HS,kadezimm,
93,85.0,Trace Bruckler,TE,6-3,225.0,RS-So.,1VL-RS,"Frisco, Texas",Lone Star HS,tbruckler  tbruc,
94,87.0,Joe Ray Maez,DE,6-5,260.0,So.,HS,"Rio Rancho, N.M.",Cleveland HS,j_maez40  jrmaezz,
95,88.0,Xavier Van,WR,6-1,175.0,RS-Fr.,TR,"La Mesa, Calif.",San Diego/Helix HS,,
96,89.0,David Rowaiye,DE,6-5,270.0,RS-Fr.,HS,"Oklahoma City, Okla.",Southeast HS,drowaiye  rowaiye88,
97,89.0,Elijah Spaulding,WR,6-2,205.0,RS-Fr.,RS,"Albuquerque, N.M.",Cibola HS,elspaulding6  Spaulding06,
98,90.0,Tyler Kiehne,DE,6-3,250.0,RS-So.,1VL,"Los Lunas, N.M.",Los Lunas HS,tylerkiehne  tylerkiehne,
99,91.0,OJ Bartley,TE,6-2,265.0,RS-Jr.,2VL-RS,"Pagai, American Samoa",Edison HS,oj_bartley  oj_bartley,
100,93.0,Destin Gainer,DE,6-4,240.0,RS-So.,RS,"Tampa, Fla.",Reedley JC/Hamilton HS,DESTINGAINER  gainer__d,
101,94.0,Luke Drzewiecki,PK,6-0,180.0,So.,1VL,"Shelby Township, Mich.",Utica Eisenhower HS,lukedrzewieck13  luke__drzewiecki,
102,94.0,Landon Williams,DE,6-4,225.0,RS-Fr.,RS,"Albuquerque, N.M.",Albuquerque HS,landonjwilliams  04_landon,
103,96.0,Zach Benedict,K,6-3,205.0,RS-Fr.,HS,"Rio Rancho, N.M.",Rio Rancho HS,,
104,97.0,Hunter Rapolla,DL,6-3,265.0,Jr.,JC,"Temecula, Calif.",Mt. San Jacinto College/Rancho Christian HS,josephRapolla2  thejosephrapolla,
105,98.0,Max Elkman,DE,6-6,235.0,RS-Fr.,RS,"Dallas, Texas",Woodrow Wilson HS,ElkmanMax  max.elkman,
106,99.0,Jared Long,P,6-1,195.0,RS-Jr.,1SQ-1VL-RS,"Albuquerque, N.M.",Del Norte HS,,
0,,Danny Gonzales,Head Football Coach,,,,,,,,CoachGonzUNM
1,,Bryant Vincent,Offensive Coordinator/QBs,,,,,,,,bryantvincent44
2,,Jamie Christian,Special Teams Coord./RBs,,,,,,,,CoachJChristian
3,,Cam Blankenship,Offensive Line,,,,,,,,Coach_Cam71
4,,Jerome Haywood,Defensive Line,,,,,,,,JHaywoodUNM
5,,David Howes,Safeties,,,,,,,,DavidHowes5
6,,Troy Reffett,Defensive Coordinator/Corners,,,,,,,,CoachReffett
7,,Heath Ridenour,Quarterbacks,,,,,,,,Coach_Ridenour
8,,Jake Rothschiller,Linebackers,,,,,,,,JRothschillerNM
9,,Joe Scelfo,Tight Ends,,,,,,,,jscelfo66
10,,Cornelius Williams,Wide Receivers,,,,,,,,CoachCwill
11,,Ben Maurer,Operations Graduate Assistant,,,,,,,,
12,,Trey Lomax,Defensive Graduate Assistant,,,,,,,,treyyloww
13,,Derrick Baker,Director of Athletic Performance,,,,,,,,
14,,Tim Gray,Assistant Director of Athletic Performance (FB/BASE),,,,,,,,
15,,Byron Bell,Offensive Graduate Assistant,,,,,,,,
16,,Dante Caro,Defensive Graduate Assisant,,,,,,,,dcaro_UNM
17,,Ashley Nowak,Associate Director of Equipment Operations - Football,,,,,,,,UNMLoboEquip
18,,Jalen Harvey,Director of Player Development,,,,,,,,iamjalenharvey
19,,Tara Arrieta,Ex. Asst. to the Head Coach/Dir. of Nutrition & On-Campus Recruiting,,,,,,,,
