,Statistic,#,Full Name,Pos.,Ht.,Wt.,Class,Hometown / High School,Current School Name,Previous School,Instagram,Twitter,Image,Name,Title
43,,66.0,Ja'Quay Hubbard,OL,6-5,326.0,R-Jr.,"Hermitage, Pa. / Sharpsville",West Virginia,Virginia,quayhubb66,jhubb3366,,,
44,,22.0,Josiah Jackson,CB,6-0,185.0,Fr.,"Fairfield, Ohio / Fairfield",West Virginia,,,,,,
45,,80.0,TJ Johnson,TE/FB,6-3,211.0,Fr.,"Chesapeake, Va. / Oscar Smith",West Virginia,,,,,,
46,,26.0,Justin Johnson Jr.,RB,5-11,209.0,Jr.,"St. Louis, Mo. / Edwardsville",West Virginia,,justinjr.4k,j_ustin26,,,
47,,76.0,Charlie Katarincic,OL,6-4,289.0,R-Fr.,"Pittsburgh, Pa. / Choate Rosemary School (Connecticut)",West Virginia,,char_kat,Big_Kat_77,,,
48,,15.0,Scott Kean,QB,6-2,201.0,R-Fr.,"Weston, Fla. / St. Thomas Aquinas",West Virginia,,ScottKean12,ScottKean12,,,
49,,39.0,Danny King,K/P,5-10,181.0,R-So.,"Cumberland, Md. / Fort Hill",West Virginia,,dannyking03,dannyking03,,,
50,,42.0,RJ Kocan,K/P,5-10,216.0,R-Fr.,"West Islip, N.Y., / St. John The Baptist",West Virginia,,,,,,
51,,8.0,Lee Kpogba,LB,6-1,231.0,Sr.,"Winston-Salem, N.C. / Parkland",West Virginia,Syracuse / East Mississippi CC,jett_leee_,kashhh_2timezz,,,
52,,19.0,Trey Lathan,LB,6-1,221.0,R-Fr.,"Goulds, Fla. / Gulliver Prep",West Virginia,,treyjetski,treylathan5,,,
53,,41.0,Jarrett Lawrence,S,5-10,210.0,R-Fr.,"Morgantown, W.Va. / Morgantown",West Virginia,,jarrettlawrence17,,,,
54,,99.0,Zeiqui Lawton,DL,6-1,280.0,R-So.,"Charleston, W.Va. / South Charleston",West Virginia,Cincinnati,,,,,
55,,67.0,Landen Livingston,OL,6-4,280.0,R-Fr.,"Leo, Ind. / Leo",West Virginia,,landen.livingston,LandenLivingst1,,,
