,Statistic,#,Name,Exp.,Pos.,Ht.,Wt.,Yr.,El.,Hometown / High School,Previous School,Image,Title
52,,43.0,Cole McElvany,,LB,6-2,205.0,So.,4.0,"Milan, Mich. / Milan",,,
53,,44.0,Luke Cameron,***,LB,6-1,224.0,Gr.,2.0,"Kokomo , Ind. / Kokomo",Army West Point,,
54,,46.0,Steve Bird,***,LS,5-10,227.0,Gr.,1.0,"Phoenix, Ariz. / Sandra Day O'Connor",,,
55,,47.0,Joseph Zelinsky,*,DL,6-4,258.0,Sr.,1.0,"Cressona, Pa. / Blue Mountain",Hudson Valley CC,,
56,,48.0,Jaden Gaines,,DL,6-5,242.0,So.,4.0,"Alpharetta, Ga. / Chattahoochee",,,
57,,49.0,Jeremiah Drake,,TE,6-5,245.0,So.,4.0,"Wyoming, Mich. / Godwin Heights",,,
58,,50.0,Owen Snively,,OL,6-4,310.0,Jr.,3.0,"Fremont, N.H. / Tilton",Colorado State,,
59,,51.0,Andrew Buck,,LB,6-0,195.0,So.,4.0,"Menlo Park, Calif. / Menlo-Atherton",,,
60,,52.0,Carter Evans,*,DL,6-4,252.0,Jr.,3.0,"Crystal Lake, Ill. / Prairie Ridge",,,
61,,53.0,Steven Scheidt,***,LB,6-2,222.0,Sr.,2.0,"Clovis, Calif. / Buchanan",Fresno City College,,
62,,54.0,Zack Conti,**,OL,6-6,312.0,Sr.,2.0,"Trenton, Mich. / Trenton",,,
63,,55.0,Dan Sunderman,,OL,6-5,315.0,Gr.,1.0,"Omaha, Neb. / Millard South",Central Missouri,,
64,,56.0,Sterling Miles,*,DL,6-5,234.0,Sr.,2.0,"West Bloomfield, Mich. / West Bloomfield",Cincinnati,,
65,,57.0,Carter Gilbert,*,DL,6-4,297.0,Jr.,3.0,"Oxford, Mich. / Oxford",,,
66,,58.0,Maliek Bogard,,DL,6-6,218.0,So.,4.0,"Beggs, Okla. / Beggs",,,
67,,59.0,Daniel Greene,*,OL,6-4,297.0,Sr.,3.0,"Goodrich, Mich. / Goodrich",,,
68,,60.0,Tommy Dickinson,,OL,6-5,275.0,So.,4.0,"Collegeville, Pa. / Methacton",,,
69,,61.0,Jeremiah Jackson Jr.,,OL,6-4,287.0,So.,4.0,"Lakeland, Fla. / Kathleen",,,
70,,63.0,Mickey Rewolinski,*,OL,6-5,300.0,Sr.,3.0,"Caledonia, Wis. / Union Grove",,,
