,Statistic,No.,Image,Name,Pos.,Ht.,Wt.,Cl.,Hometown/High School,Previous School,Major,Twitter,Instagram,Opendorse,Title
113,,85.0,,Emil Smith,WR,6-1,205.0,R-Jr.,"Attalla, Ala. / Etowah",,Interdisciplinary Studies,E_Smith_10,e.smith.10,emil-smith,
114,,86.0,,Graeme Williams,WR,6-1,175.0,R-Fr.,"Monticello, Ga / Jasper County",,Mechanical Engineering,THROITTO11,graeme_will1166,graeme-williams,
115,,87.0,,Evan Lester Jr.,TE,6-2,215.0,R-Fr.,"Dalton, Ga. / Christian Heritage School",,Interdisciplinary Studies,evanlester_10,evanlester_10,evan-lester,
116,,88.0,,Lawson Bachelder,WR,6-4,205.0,Jr.,"Augusta, Ga. / Aquinas",Presbyterian,Business,lawsonbachelder,lawbach,Lawson-Bachelder,
117,,89.0,,Matthew Daniel,WR,5-11,175.0,R-Jr.,"Richmond Hill, Ga. / Richmond Hill",West Virginia,Finance,matthewdaniell_,_matthewdaniel,matthew-daniel-profile,
118,,89.0,,Jackson Wheeler,LS,6-3,245.0,R-Jr.,"Bainbridge, Ga. / Bainbridge",,Exercise Science,jcwheeler14,jackson__wheeler,jackson-wheeler,
119,,90.0,,Parker Devine,DL,6-3,280.0,R-Sr.,"Jacksonville, Fla. / Bartram Trail",,Interdisciplinary Studies,Parker_Devine99,Parker.Devine,parker-devine,
120,,91.0,,Davion Rhodes,DL,6-2,240.0,R-Fr.,"Camilla, Ga. / Pelham",,Management,DavionRhodes00,Godz9ine,Davion-Rhodes,
121,,92.0,,Kristian Varner,DL,6-3,290.0,R-Jr.,"Hiram, Ga. / Hiram",North Carolina,Interdisciplinary Studies,VarnerKristian,kristianvarner,kristian-varner,
122,,93.0,,Da'Shawn Davis,DL,6-2,280.0,Fr.,"Charlotte, N.C. / Hough",,Management,Dashawn704,,Da'Shawn-Davis,
123,,93.0,,Gaines Wood,LS,6-0,200.0,Fr.,"Atlanta, Ga. / North Atlanta",,Business,Gaines_WoodLS,Gaines_Wood,Gaines-Wood,
124,,94.0,,Elhadj Fall,DL,6-3,270.0,Fr.,"Marietta, Ga. / Osborne",,Economics,ElhadjFall91,,Elhadj-Fall,
125,,95.0,,Amaru Herring,DL,6-1,300.0,R-Jr.,"Beulaville, N.C. / East Duplin",,Management,herringamaru,amaru_herring95,amaru-herring,
126,,95.0,,Mark Langston,LS,6-0,210.0,R-Jr.,"Savannah, Ga. / Savannah Christian",Kennesaw State,Marketing Sales,longSnapMark,updownqb,mark-langston,
127,,96.0,,Chase Folser,K,5-11,160.0,Fr.,"McDonough, Ga. / Ola",,Communication Studies,Chasefolser,Chasefolser,Chase-Folser,
128,,96.0,,LJ McCloud,DL,6-0,275.0,R-Fr.,"Pike Road, Ala. / Pike Road",,Psychology,0nly1Ski,0nly1ski,Lawrence-McCloud,
129,,97.0,,Bryce Christensen,K,5-11,195.0,R-Sr.,"Suwanee, Ga. / Lambert",,Management,becboy23,bryce_christensen,bryce-christensen,
130,,97.0,,Myles Winslow,DL,6-3,250.0,R-Fr.,"Orlando, Fla. / Tohopekaliga",,Marketing,Myleswin101,_myleswin11,myles-winslow,
131,,98.0,,Michael Lantz,K,6-0,180.0,R-Jr.,"Peachtree City, Ga. / Starr's Mill",Minnesota,Communications,Michaellantz38,Michaellantz.38,michael-lantz,
132,,99.0,,Walker Bradberry,P,6-0,160.0,R-Fr.,"Athens, Ga. / Clarke Central",,Marketing,walkerbradberry,walkerbradberry,walker-bradberry,
133,,99.0,,Kierron Smith,DL,6-0,325.0,R-Jr.,"Fitzgerald, Ga. / Fitzgerald",,Interdisciplinary Studies,SmithKierron,keeeehefner,kierron-smith,
0,,,,Clay Helton,,,,,,,,,,,Head Coach
1,,,,Kevin Whitley,,,,,,,,,,,Assistant Head Coach (Cornerbacks)
2,,,,Bryan Ellis,,,,,,,,,,,Assistant Coach (Offensive Coordinator/Quarterbacks)
3,,,,Will Harris,,,,,,,,,,,Assistant Coach (Defensive Coordinator/Secondary)
4,,,,Ryan Aplin,,,,,,,,,,,Assistant Coach (Tight Ends/Inside Receivers/Pass Game Coordinator)
5,,,,Marcus Davis,,,,,,,,,,,Assistant Coach (Wide Receivers)
6,,,,Matt Merritt,,,,,,,,,,,Assistant Coach (Running Backs)
7,,,,Richard Owens,,,,,,,,,,,Assistant Coach (Offensive Line/Run Game Coordinator)
8,,,,Rip Rowan,,,,,,,,,,,Assistant Coach (Defensive Line)
9,,,,Aaron Schwanz,,,,,,,,,,,Assistant Coach (Linebackers)
10,,,,Turner West,,,,,,,,,,,Assistant Coach (Special Teams Coordinator)
11,,,,Malcolm Askew,,,,,,,,,,,Graduate Assistant - Offense
12,,,,Noah Fisher,,,,,,,,,,,Graduate Assistant - Offense
13,,,,Drew Gaither,,,,,,,,,,,Graduate Assistant - Defense
14,,,,Andrew Neupert,,,,,,,,,,,Graduate Assistant - Defense
0,,,,Matt Hassan,,,,,,,,,,,"Assistant Athletics Director, Football Operations"
1,,,,Robert Stiner,,,,,,,,,,,Head Strength & Conditioning Coach
2,,,,Ryan Smith,,,,,,,,,,,General Manager
3,,,,Adrian Peterson,,,,,,,,,,,Director of Student-Athlete Development
4,,,,Andy Harris,,,,,,,,,,,Director of Equipment Operations
5,,,,Milan Turner,,,,,,,,,,,Director of High School Relations
6,,,,Nick Sparacio,,,,,,,,,,,Head Football Athletic Trainer
7,,,,Daniel Benedict,,,,,,,,,,,Video Coordinator
8,,,,Eliza Petersen,,,,,,,,,,,Director of Football Nutrition
9,,,,Sam Medlock,,,,,,,,,,,"Assistant S&C Coach, Football"
10,,,,Sam Zanders Jr.,,,,,,,,,,,"Assistant S&C Coach, Football"
11,,,,Andrew Bevill,,,,,,,,,,,Assistant Director of Player Personnel
12,,,,Eli Boswell,,,,,,,,,,,"Assistant Manager, Equipment Services"
13,,,,Ashley Allenstein,,,,,,,,,,,Assistant Athletic Trainer
14,,,,Cal King,,,,,,,,,,,Analyst - Defense
15,,,,Bryan Schor,,,,,,,,,,,Analyst - Offense
16,,,,Blake Wilson,,,,,,,,,,,Analyst - Special Teams
17,,,,Rachel Cooper,,,,,,,,,,,Football Operations Assistant
18,,,,Bryan Johnston,,,,,,,,,,,"Senior Associate Athletics Director, Communications"
19,,,,Dr. Brandonn Harris,,,,,,,,,,,Sport Psychologist
20,,,,Thomas Hearn,,,,,,,,,,,Volunteer Assistant
21,,,,Jarae Thurmond,,,,,,,,,,,Volunteer Assistant
22,,,,Connor Lawson,,,,,,,,,,,Recruiting Assistant
23,,,,Kennedy Joerger,,,,,,,,,,,On-Campus Recruiting
24,,,,Matt Wise,,,,,,,,,,,Character Development Volunteer
