,Statistic,No.,Name,Pos.,Ht.,Wt.,Elig.,Hometown,High School,Last School,Instagram,Twitter
45,,25.0,Jared Badie,OLB,6-3,225.0,Fr.,"Aurora, Ill.",Oswego East,,jaredbadie,JaredBadie
46,,26.0,Mike Manning,DB,5-8,190.0,So.,"Frankfort, Ill.",Lincoln-Way East,Butler,mike.manning9,MikeManning52
47,,27.0,Matthew Bobak,DB,5-11,200.0,R-Fr.,"Hinsdale, Ill.",Hinsdale Central,,matthew.bobak,mattbobak1
48,,28.0,Dylan Rosiek,LB,6-1,225.0,R-Fr.,"East Lake, Fla.",East Lake,,dylan_rosiek,dylan_rosiek
49,,29.0,TJ Griffin,DB,6-0,200.0,Fr.,"Hickory Hills, Ill.",Amos Alonzo Stagg,,TJ_griffin23,Timothy01338927
50,,30.0,Sydney Brown,DB,6-0,205.0,Sr.,"London, Ontario",St. Stephen's Episcopal (Fla.),,sydbrown___,Sydbrown___
51,,31.0,Devon Witherspoon,DB,6-0,180.0,Jr.,"Pensacola, Fla.",Pine Forest,,lilspoon___,DevonWitherspo1
52,,32.0,Tailon Leitzsey,DB,6-0,190.0,Sr.,"Laurel, Md.",Riverside (S.C),Missouri Baptist,tailon.leitzsey,TailonLeitzsey
53,,33.0,Ezekiel Holmes,OLB,6-5,245.0,Jr.,"Wichita Falls, Texas",Hirschi,,ezekiel.holmes.33,EzekielHolmes33
54,,34.0,Ryan Meed,LB,6-1,230.0,So.,"Brooklyn, N.Y.",Canarsie,,,RyanMeed34
55,,35.0,Grayson Griffin,DB,5-11,180.0,Fr.,"Aurora, Ill.",St. Francis,,grayson1griffin,gray1griffin
56,,36.0,Lane Hansen,LS,6-0,220.0,R-Fr.,"East Lake, Fla.",East Lake,,lane36_hansen,lane_hansen36
57,,36.0,Ben Schultz,OLB,6-3,230.0,So.,"Champaign, Ill.",Central,,ben_schultzz,BenSchultzz
58,,37.0,Solo Turner,DB,6-2,220.0,Jr.,"Frisco, Texas",Prestonwood Christian,Hawaii,official.king.solo,kingsolofficial
59,,38.0,Isaac Darkangelo,LB,6-1,230.0,Sr.,"Brighton, Mich.",Detroit Catholic Central,Northern Michigan,isaacdarkangelo,isaacdarkangelo
60,,39.0,Aidan Hall,LS,6-2,205.0,So.,"Glen Ellyn, Ill.",Benet Academy,,aidan_hall,ajhall51
61,,39.0,Kenenna Odeluga,LB,6-1,230.0,R-Fr.,"South Holland, Ill.",Mount Carmel,,kvngkdog,KOdeluga
62,,40.0,Lucas Althaus,TE,6-6,240.0,R-Fr.,"Alpha, Ill.",Alwood,,the_lucas_althaus,LucasAlthaus10
63,,40.0,Shammond Cooper,OLB,6-2,220.0,So.,"St. Louis, Mo.",Trinity Catholic,,shammondc,Shammond07
64,,41.0,James Kreutz,LB,6-0,210.0,Fr.,"Bannockburn, Ill.",Loyola Academy,,james.kreutz,jameskreutz3
65,,42.0,Michael Marchese,TE,6-4,235.0,Sr.,"Vernon Hills, Ill.",Stevenson,,mmarchese08,MMarchese24
66,,42.0,Luke Zardzin,LB,6-0,205.0,R-Fr.,"Mount Prospect, Ill.",Prospect,,luke_zardzin24,LZardzin24
67,,43.0,Griffin Moore,TE,6-4,250.0,So.,"Bloomington, Ill.",Bloomington,,griffnmoore,griffnmoore
68,,44.0,Ben Clawson,WR,6-0,200.0,Fr.,"Arlington Heights, Ill.",Hersey,,b3nclawson,bclawson33
69,,45.0,Malachi Hood,LB,6-2,220.0,Fr.,"Plainfield, Ill.",Joliet Catholic,,Malachiloading,Malachiloading
70,,47.0,Preston Engel,LS,6-0,250.0,Jr.,"Normal, Ill.",Normal Community,,preston_e,PrestonEngel53
71,,48.0,Bryce Barnes,DL,6-2,280.0,Jr.,"Gibson City, Ill.",Gibson City-Melvin-Sibley,,bryce.barnes_,BarnesBryce_
72,,48.0,Mike Cerniglia Jr.,TE,6-3,240.0,So.,"Madison, Wis.",Memorial,Northern Illinois,michael.c3rn,
73,,49.0,Seth Coleman,OLB,6-5,240.0,So.,"Melbourne, Fla.",Holy Trinity Episcopal Academy,,seth_coleman2,SethColeman20
74,,52.0,Verdis Brown,DL,6-4,345.0,Jr.,"Chicago, Ill.",IMG Academy (Fla.),,the.biguzi,verdisbrown
75,,53.0,Devin Hale,OL,6-0,310.0,R-Fr.,"Springfield, Ill.",Sacred Heart-Griffin,,devinhale._1,Devinhale55
76,,54.0,Julian Pearl,OL,6-6,315.0,Jr.,"Danville, Ill.",Danville,,jpearl_54,Jpearl_54
77,,55.0,Sed McConnell,DL,6-3,280.0,R-Fr.,"Atlanta, Ga.",Westlake,,sedmcc._,SEDMcC
78,,56.0,Magnus Møller,OL,6-9,310.0,Fr.,"Vejle, Denmark",Rødkilde Gymnasium,,mag_mller,BigMacMller
79,,57.0,Evan Kirts,DL,6-5,300.0,So.,"Evergreen Park, Ill.",Brother Rice,,evan_kirts,evan_kirts
80,,62.0,Sam Tsagalis,OL,6-2,275.0,Fr.,"Arlington Heights, Ill.",Prospect,,tsag79,tsag79
81,,63.0,Alex Palczewski,OL,6-6,315.0,Sr.,"Mount Prospect, Ill.",Prospect,,alexapalczewski,PalczewskiAlex
82,,64.0,Josh Kreutz,OL,6-2,280.0,R-Fr.,"Bannockburn, Ill.",Loyola Academy,,josh.kreutz,JoshKreutz
83,,65.0,Joey Okla,OL,6-2,325.0,Fr.,"Hartland, Wis.",Arrowhead,,Joey.okla,JoeyOkla
84,,66.0,Jordyn Slaughter,OL,6-5,325.0,Jr.,"Belleville, Ill.",Althoff Catholic,,slaughter.66_,Slaughter66_
85,,68.0,Zachary Barlev,OL,6-5,305.0,R-Fr.,"Bolingbrook, Ill.",Plainfield East,,13arlev,Barlev23
86,,70.0,Tommy Cronin,OL,6-4,310.0,So.,"Oak Park, Ill.",Oak Park River Forest,,,
87,,71.0,Hunter Whitenack,OL,6-7,345.0,Fr.,"New Carlisle, Ind.",New Prairie,,hunterwhitenack71,HunterWhitenack
88,,72.0,Zy Crisler,OL,6-6,330.0,So.,"Crystal Springs, Miss.",Copiah Academy,Mississippi Gulf Coast CC,d1_zy,D1_Zy
89,,73.0,Josh Gesky,OL,6-5,325.0,R-Fr.,"Manteno, Ill.",Manteno,,joshgesky,JGesky
90,,74.0,Dylan Davis,OL,6-4,300.0,So.,"Sarasota, Fla.",St. Stephen's Episcopal,Furman,dylansdavis1,dylansdavis1
91,,75.0,Alex Pihlstrom,OL,6-6,305.0,Sr.,"Glen Ellyn, Ill.",Glenbard West,,apihlstrom0,apihlstrom45
92,,76.0,Clayton Leonard,OL,6-4,290.0,Fr.,"Danforth, Ill.",Iroquois West,,clayton_leonard,ClaytonLeonar16
93,,78.0,Isaiah Adams,OL,6-5,315.0,Jr.,"Ajax, Ontario",McLellan Catholic,Garden City CC (Kan.),1saiahadams,IAdams56
94,,79.0,Luciano Elias,OL,6-5,320.0,Fr.,"Wilmette, Ill.",New Trier,,Lucelias1001,lucelias5
95,,80.0,Hank Beatty,WR,5-11,185.0,Fr.,"Rochester, Ill.",Rochester,,Beatty.3,BeattyHank
96,,82.0,Luke Ford,TE,6-6,265.0,Sr.,"Carterville, Ill.",Carterville,Georgia,lukeford82,lukeford82
97,,83.0,Keion Battle,WR,6-1,200.0,R-Fr.,"Plainfield, Ill.",Oswego East,Northern Illinois,keion.battle,KeionBattle
98,,84.0,Owen Anderson,TE,6-4,230.0,Fr.,"Skillman, N.J.",The Hun School,,Oanderson3,Oanderson44
99,,85.0,Miles Scott,WR,5-11,200.0,R-Fr.,"Dolton, Ill.",Thornton Fractional North,,_dcmiles,DcMiles2
100,,86.0,Weston Adams,WR,5-11,195.0,Fr.,"Shell, Wyo.",IMG Academy (Fla.),,Westonnadams,Westonjadams
101,,87.0,Kody Case,WR,5-10,180.0,Sr.,"Lake City, Iowa",South Central Calhoun,South Dakota,kodycase6,kodycase3
102,,88.0,Henry Boyer,TE,6-6,265.0,Fr.,"Chicago, Ill.",Brother Rice,,henryb0yer,henryboyer17
103,,88.0,Keith Randolph Jr.,DL,6-5,305.0,So.,"Belleville, Ill.",Belleville West,,keithrandolph88,Randolph_22
104,,89.0,Tip Reiman,TE,6-5,265.0,So.,"Rapid City, S.D.",O'Gorman,,tipreiman,
105,,90.0,Alec Bryant,OLB,6-3,240.0,R-Fr.,"Pearland, Texas",Shadow Creek,Virginia Tech,_alecbryant_,ABXC__
106,,91.0,Jamal Woods,DL,6-2,290.0,Sr.,"Hueytown, Ala.",Hueytown,,jamal4425,jamal4425
107,,93.0,Calvin Avery,DL,6-2,325.0,Sr.,"Dallas, Texas",Bishop Dunne,,_tmboog,_TMBoog
108,,94.0,Raashaan Wilkins Jr.,DL,6-3,315.0,Jr.,"Chicago, Ill.",Mount Carmel,Vanderbilt,raashaan__,raashaan_
109,,98.0,Deon Pate,OLB,6-2,265.0,Sr.,"Jacksonville, Fla.",Trinity Christian Academy,,98reasons_,Deezy98__
110,,98.0,Fabrizio Pinton,K/P,6-3,230.0,R-Fr.,"Houston, Texas",The Woodlands,Air Force,Fabrizio.pinton,Fabriziopinton
111,,99.0,Christian Lorenzo,DL,6-3,285.0,Fr.,"Baton Rouge, La.",DeKalb (Ill.),,big_z.o,BigChristian90
