,Statistic,#,Full Name,Year,Pos.,Ht.,Wt.,Hometown,High School,Previous School,C,Image,Name,Title
80,,81.0,Payton Bunch,R-Sr.,LS,6-3,190.0,"Pendleton, S.C.",Pendleton HS,,,,,
81,,82.0,Jameson Tucker,R-So.,WR,6-2,190.0,"Mauldin, S.C.",Mauldin HS,,,,,
82,,83.0,Kyre Duplessis,R-Jr.,WR,5-10,195.0,"Woodbridge, Va.",Woodbridge HS,,,,,
83,,84.0,Cane Berrong,R-So.,TE,6-4,245.0,"Hartwell, Ga.",Hart County HS,Notre Dame,,,,
84,,85.0,Kendall Karr,R-Jr.,TE,6-3,250.0,"Belmont, N.C.",Stuart W. Cramer HS,North Carolina,,,,
85,,87.0,Malachi Taylor,R-So.,WR,6-3,200.0,"Goose Creek, S.C.",Goose Creek HS,,,,,
86,,88.0,Tate Davis,R-So.,WR,6-4,190.0,"Wilmington, N.C.",North Brunswick HS,UNC Pembroke,,,,
87,,91.0,Emmanuel Johnson,Sr.,DE,6-6,260.0,"North Charleston, S.C.",Fort Dorchester HS,Georgia Tech,,,,
88,,93.0,James Johnson Jr.,R-Jr.,DT,6-2,275.0,"Fort Pierce, Fla.",Vero Beach HS,,,,,
89,,94.0,Micheal Mason,Super-Sr.,DE,6-3,270.0,"Florence, S.C.",South Florence HS,Wofford,,,,
90,,95.0,Matt Scicchitano,Fr.,DT,6-4,280.0,"Mount Carmel, Pa.",Mount Carmel Area HS,,,,,
91,,95.0,Mack West,R-So.,P/PK,5-8,175.0,"Hamlet, N.C.",Richmond HS,,,,,
92,,96.0,Kyrie Samuel,R-Fr.,DT,6-0,255.0,"Fort Lauderdale, Fla.",St. Thomas Aquinas HS,,,,,
93,,97.0,David Portu,R-Fr.,DE,6-3,245.0,"Fort Myers, Fla.",Bishop Verot Catholic HS,,,,,
94,,98.0,Travis Nesbitt,R-So.,DE,6-4,255.0,"Columbia, S.C.",Dutch Fork HS,,,,,
95,,99.0,Kennedy Roberts,Super-Sr.,DT,6-3,275.0,"Clearwater, Fla.",Clearwater Central Catholic,,,,,
0,,,,,,,,,,,,,Tim Beck,Head Football Coach
1,,,,,,,,,,,,,Travis Trickett,Offensive Coordinator / Quarterbacks
2,,,,,,,,,,,,,Craig Naivar,Defensive Coordinator / Safeties
3,,,,,,,,,,,,,Dan Carrel,Co-Defensive Coordinator / Linebackers
4,,,,,,,,,,,,,Jimmy Brumbaugh,Defensive Line / Defensive Run Game Coordinator
5,,,,,,,,,,,,,Xavier Dye,Running Backs
6,,,,,,,,,,,,,Curtis Fuller,Cornerbacks
7,,,,,,,,,,,,,Perry Parks,Wide Receivers
8,,,,,,,,,,,,,Kriss Proctor,Tight Ends
9,,,,,,,,,,,,,Josh Miller,Outside Linebackers / Special Teams
10,,,,,,,,,,,,,Derek Warehime,Offensive Line
0,,,,,,,,,,,,,Joe Moglia,Chair of Athletics / Executive Director for Football / Executive Adviser for the President
1,,,,,,,,,,,,,Jill Kingston,Executive Assistant
2,,,,,,,,,,,,,Kevin Cristello,Associate Director of Football Administration
3,,,,,,,,,,,,,Paul Ressa,Director of Player Personnel
4,,,,,,,,,,,,,Matt Pearce,Director of Recruiting
5,,,,,,,,,,,,,Kianna Jasper,Director of On-Campus Recruiting
6,,,,,,,,,,,,,Jared Tucker,Coordinator of Defensive Recruiting
7,,,,,,,,,,,,,Kyle Steinhoff,Coordinator of Offensive Recruiting
8,,,,,,,,,,,,,Quinn Barham,"Director of Football Speed, Strength and Conditioning"
9,,,,,,,,,,,,,Tommie Moore,"Assistant Director of Speed, Strength and Conditioning"
10,,,,,,,,,,,,,Tyler Redding,"Assistant Director of Speed, Strength and Conditioning"
11,,,,,,,,,,,,,Alex Politis,Dietician
12,,,,,,,,,,,,,Kaitlynn Seymour,Assistant Athletic Trainer (Football)
13,,,,,,,,,,,,,Christian Mitchell,Assistant Director of Football Operations
14,,,,,,,,,,,,,Grace DeLong,Operations & Recruiting Assistant
15,,,,,,,,,,,,,Cal Leslie,Director of Technology & Video
16,,,,,,,,,,,,,Connor Wagner,Director of Creative Media
17,,,,,,,,,,,,,Tiffany Henry,Football Photographer for Creative Media
18,,,,,,,,,,,,,Dan Morphis,Equipment Coordinator
19,,,,,,,,,,,,,Mike Marangelli,Assistant Equipment Coordinator
20,,,,,,,,,,,,,John Morello,FCA Campus Director
21,,,,,,,,,,,,,Morgan Sumner,Associate Director of Student-Athlete Academic Services (Football)
22,,,,,,,,,,,,,Tyrone McKenney,"Academic Advisor (Football, Beach Volleyball, Women's Golf, Men's and Women's Tennis)"
23,,,,,,,,,,,,,John Bonney,Defensive Analyst
24,,,,,,,,,,,,,MacAnder Dieudonne,Offensive Analyst
25,,,,,,,,,,,,,Sawyer Jordan,Offensive Analyst
26,,,,,,,,,,,,,Aidan Panni,Special Teams Analyst
27,,,,,,,,,,,,,Collin Wilder,Defensive Analyst
