,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,High School,Current School Name,Previous School,Hometown,Image,Name,Title
68,,40.0,Scott Taylor Renfroe,K,6-1,191.0,R-Fr.,Pike Liberal Arts,Troy,,"Troy, Ala.",,,
69,,40.0,Tyson Wall,S,5-9,180.0,Fr.,Trinity Christian School,Troy,,"Sharpsburg, Ga.",,,
70,,41.0,Javon Solomon,BAN,6-2,245.0,So.,Godby HS,Troy,,"Tallahassee, Fla.",,,
71,,42.0,Jacob Foster,LB,6-3,210.0,Fr.,Greenville HS,Troy,,"Greenville, Ala.",,,
72,,43.0,Jordan Killings,CB,5-11,170.0,Fr.,Carroll HS,Troy,,"Ozark, Ala.",,,
73,,43.0,Russell Weeks,TE,6-4,240.0,R-Fr.,New Brockton HS,Troy,,"New Brockton, Ala.",,,
74,,44.0,Mike Rivers,P,6-0,187.0,Sr.,North Brunswick HS,Troy,North Carolina A&T,"Wilmington, N.C.",,,
75,,44.0,Tavares Williams Jr.,S,5-10,174.0,Fr.,Buchholz HS,Troy,,"Gainesville, Fla.",,,
76,,45.0,Luke Hodge,LB,6-2,225.0,Fr.,Oneonta HS,Troy,,"Oneonta, Ala.",,,
77,,45.0,Gage Messick,TE,6-3,205.0,Fr.,Crenshaw Christian Academy,Troy,,"Luverne, Ala.",,,
78,,46.0,Zach Long,K,6-3,184.0,R-Fr.,Hillsborough HS,Troy,,"Tampa, Fla.",,,
79,,47.0,DeVon Reaves,DE,6-4,233.0,So.,Salem HS,Troy,,"Conyers, Ga.",,,
80,,48.0,Nick Woolfolk,K,6-1,189.0,Sr.,Thomas Jefferson HS,Troy,Virginia State,"Richmond, Va.",,,
81,,49.0,Jackson Blalock,TE,6-3,229.0,R-Fr.,Abbeville Christian,Troy,,"Abbeville, Ala.",,,
82,,51.0,Chase Little,OL,6-6,326.0,So.,Montgomery Catholic,Troy,,"Montgomery, Ala.",,,
83,,52.0,Buddha Jones,DT,6-3,288.0,Jr.,Godby HS,Troy,Kent State,"Tallahassee, Fla.",,,
84,,53.0,Quentin Skinner,LS,6-0,274.0,So.,Buford HS,Troy,LSU,"Buford, Ga.",,,
85,,55.0,Jake Andrews,OL,6-3,325.0,Jr.,Stanhope Elmore HS,Troy,,"Millbrook, Ala.",,,
86,,58.0,Logan Self,OL,6-4,301.0,R-Fr.,Hewitt-Trussville HS,Troy,,"Trussville, Ala.",,,
87,,60.0,Browder Braswell,OL,6-3,286.0,Fr.,Demopolis HS,Troy,,"Demopolis, Ala.",,,
88,,61.0,Tyler Cappi,OL,6-3,300.0,Fr.,Priceville HS,Troy,,"Priceville, Ala.",,,
89,,62.0,Matthew Johnson,OL,6-5,285.0,Fr.,Marbury HS,Troy,,"Marbury, Ala.",,,
90,,63.0,Carson Burt,OL,6-5,292.0,So.,Fort Payne HS,Troy,,"Fort Payne, Ala.",,,
91,,64.0,Deandre Butler,OL,6-4,323.0,Sr.,Opelika HS,Troy,Jacksonville State,"Opelika, Ala.",,,
92,,66.0,Sebastian Joseph,OL,6-3,300.0,Jr.,Archbishop Williams HS,Troy,Monroe College,"Randolph, Mass.",,,
93,,67.0,Grant Betts,OL,6-3,292.0,Jr.,Spanish Fort HS,Troy,,"Spanish Fort, Ala.",,,
94,,68.0,Sydney Solomon,OL,6-3,348.0,Jr.,Servite HS,Troy,Cerritos College,"Anaheim, Calif.",,,
95,,69.0,Jonas Woods,OL,6-4,297.0,Jr.,Badger HS,Troy,Palomar College,"Milwaukee, Wisc.",,,
96,,70.0,Tyler Harvey-Fallows,OL,6-3,330.0,So.,Runshaw College,Troy,Laney College,"Mawdesley, England",,,
97,,71.0,Kyler Gibson,OL,6-5,291.0,Fr.,Munford HS,Troy,,"Munford, Ala.",,,
98,,72.0,Beau Sellers,OL,6-4,291.0,Fr.,Wicksburg School,Troy,,"Newton, Ala.",,,
99,,73.0,Caleb Robbins,LS,6-5,236.0,R-Fr.,Hillcrest HS,Troy,,"Tuscaloosa, Ala.",,,
100,,74.0,Daniel King,OL,6-5,318.0,So.,Cairo HS,Troy,Georgia Military College,"Cairo, Ga.",,,
101,,75.0,Kobe Williams,OL,6-4,287.0,So.,Bixby HS,Troy,Northeastern Oklahoma A&M,"Bixby, Okla.",,,
102,,77.0,Derrick Graham,OL,6-4,304.0,R-Fr.,Lake Minneola HS,Troy,,"Lake Minneola, Fla.",,,
103,,78.0,Jeremiah Frazier,OL,6-3,312.0,So.,Pike Road HS,Troy,Tennessee State,"Pike Road, Ala.",,,
104,,79.0,Austin Stidham,OL,6-5,292.0,Sr.,Russellville HS,Troy,,"Russellville, Ala.",,,
