,Statistic,NO.,Name,Pos.,Ht.,Wt.,Class,Hometown / High School,Instagram,Twitter,Image,Title
48,,36.0,Jaylin Simpson,CB,6-1,177.0,Sr.,"Brunswick, Ga. / Frederica Academy",3k.simpp,jaylinsimp,,
49,,37.0,Rod Elston,CB,5-9,192.0,So.,"Anniston, Ala. / Oxford",,,,
50,,37.0,Daniel Perez,P,5-11,202.0,R-Fr.,"Brentwood, Tenn. / Brentwood Academy",,D_perez31,,
51,,38.0,Alex McPherson,K,5-9,157.0,R-Fr.,"Fort Payne, Ala. / Fort Payne",alex_mcpherson04,AlexMc83,,
52,,39.0,Dylan Brooks,Jack,6-4,245.0,So.,"Roanoke, Ala. / Handley",Dylan_26k,_dylanbrooks,,
53,,39.0,Marshall Meyers,K,5-7,213.0,So.,"Opelika, Ala. / Opelika",_marshallmeyers_,Marshal06586591,,
54,,42.0,Kyle Vaccarella,LS,6-3,227.0,So.,"/ Fairfield, Conn.",kylevac_42,KyleVaccarella,,
55,,44.0,Sean Jackson,RB,5-9,233.0,So.,"Trussville, Ala. / Hewitt-Trussville",jackboy_502,Jackboy_33_,,
56,,45.0,Paul Thompson Jr.,S,6-0,199.0,R-Fr.,"Hoover, Ala. / Hoover",paulyt123,PaulThompson_12,,
57,,46.0,Jake Levant,LB,6-1,233.0,Jr.,"Vestavia Hills, Ala. / Vestavia Hills",jakelevant_,LevantJake,,
58,,47.0,Grant Hidalgo,TE,6-5,233.0,So.,"Orlando, Fla. / Dr. Phillips",,,,
59,,47.0,Mac McClinton,S,5-8,180.0,R-Fr.,"Montgomery, Ala. / Trinity Presbyterian",macmcclinton_,mac_mcclinton,,
60,,50.0,Marcus Harris,DL,6-3,294.0,Sr.,"Montgomery, Ala. / Park Crossing",marcusharris_50,li_marcus15,,
61,,50.0,Jalil Irvin,OL,6-3,320.0,Sr.,"Stone Mountain, Ga. / Stephenson",jpi.50,Jalil_Irvin50,,
62,,52.0,Wilky Denaud,DL,6-3,275.0,Fr.,"Stuart, Fla. / John Carroll",Wilky_Denaud,wilkydenaud30,,
63,,52.0,Dillon Wade,OL,6-4,296.0,Jr.,"Houston, Texas / Cypress Falls",dillon.wade1,icey_wade,,
64,,53.0,Gunner Britton,OL,6-6,305.0,Sr.,"Conway, S.C. / Conway",GunnerBritton,GunnerB75,,
65,,54.0,Tate Johnson,OL,6-4,295.0,Jr.,"LaGrange, Ga. / Callaway",tatejohnson54,TateJohnson54,,
66,,55.0,Bradyn Joiner,OL,6-2,341.0,Fr.,"Anniston, Ala. / Auburn",bradyn_joiner,BradynOL78,,
67,,56.0,E.J. Harris,OL,6-5,324.0,R-Fr.,"Auburn, Ala. / Auburn",@d1bound.ej,@ejharris20,,
68,,56.0,Stephen Johnson,DL,6-3,341.0,Fr.,"Fayetteville, Ga. / Whitewater",atl_stephen56,StephenJ2004,,
69,,58.0,Tobechi Okoli,DL,6-5,274.0,So.,"Kansas City, Mo. / Lincoln Prep",tobechiokoli,OkoliTobechi,,
70,,61.0,Reed Hughes,LS,6-1,229.0,So.,"Conway, Ark. / Conway",reed_hughes,reedhughes22,,
71,,62.0,Kameron Stutts,OL,6-5,339.0,Sr.,"Killen, Ala. / Brooks",_bighomiekam,_BigHomieKam,,
72,,64.0,Cort Bradley,OL,6-3,290.0,So.,"Auburn, Ala. / Auburn",cort_bradley,CortBradley,,
73,,66.0,Avery Jones,OL,6-4,302.0,Sr.,"Havelock, N.C. / Havelock",averyj.jones,averyJ_Jones,,
74,,67.0,Jacob Quattlebaum,LS,6-1,234.0,Sr.,"Enterprise, Ala. / Enterprise",jacob_qbaum,jacob_qbaum50,,
