,Statistic,#,Name,Pos.,Ht.,Wt.,Cl.,Hometown / High School,Current School Name,Previous School,Image,Title
62,,57.0,Marley Cook,DT,6-2,291.0,R-Jr.,"Water Valley, MS / Water Valley",Middle Tennessee,,,
63,,58.0,Dylan Kling,LB,6-0,206.0,R-Fr.,"Lake Mary, FL / Bishop",Middle Tennessee,,,
64,,59.0,Jacob Jackson,LB,5-11,208.0,R-Jr.,"Smyrna, TN / Franklin Road Academy",Middle Tennessee,Sewanee,,
65,,61.0,J'Shun Bodiford,OL,6-3,289.0,R-Jr.,"Montgomery, AL / Jefferson Davis",Middle Tennessee,NE Mississippi CC,,
66,,63.0,Wilson Kelly,OL,6-2,291.0,R-So.,"Danville, KY / Boyle County HS",Middle Tennessee,,,
67,,64.0,Jacqui Graham,OL,6-4,264.0,R-Sr.,"Montgomery, AL / Jefferson Davis",Middle Tennessee,East Central CC,,
68,,67.0,Cooper Koch,OL,6-3,301.0,R-Fr.,"Spring Hill, TN / Summit",Middle Tennessee,,,
69,,69.0,Brody Butler,LS,5-11,228.0,Jr.,"Homewood, AL / Homewood",Middle Tennessee,,,
70,,72.0,Morgan Scott,OL,6-5,304.0,R-So.,"Germantown, TN / Houston",Middle Tennessee,Coffeeville CC,,
71,,74.0,Ethan Ellis,OL,6-6,290.0,Sr.,"Murfreesboro, TN / Oakland",Middle Tennessee,Coffeyville CC,,
72,,75.0,Jamari Williams,OL,6-3,310.0,R-Jr.,"Fort Lauderdale, FL / Cardinal Gibbons",Middle Tennessee,Arizona,,
73,,77.0,Keylan Rutledge,OL,6-4,312.0,So.,"Royston, GA / Franklin County",Middle Tennessee,,,
74,,79.0,Sterling Porcher,OL,6-4,286.0,Jr.,"Sumter, SC / Sumter",Middle Tennessee,Iowa Western,,
75,,80.0,AJ Toney,WR,5-6,179.0,Sr.,"Birmingham, AL / Jackson-Olin",Middle Tennessee,Samford,,
76,,81.0,Mitchell Howell,WR,5-10,183.0,R-So.,"Lake Orion, MI / Lake Orion",Middle Tennessee,Siena Heights,,
77,,82.0,Taharin Sudderth,WR,6-2,228.0,R-So.,"Alcoa, TN / Alcoa",Middle Tennessee,,,
78,,83.0,Holden Willis,WR,6-4,218.0,Jr.,"Greenback, TN / Greenback",Middle Tennessee,South Florida,,
79,,84.0,Elijah Metcalf,WR,5-9,167.0,R-So.,"Charlotte, NC / Mallard Creek",Middle Tennessee,,,
80,,85.0,Jaylen Ward,WR,6-1,207.0,R-Fr.,"Bessemer, AL / Thompson",Middle Tennessee,,,
81,,86.0,Jeremy Tate Jr,WR,6-5,249.0,R-Sr.,"Columbus, MS / New Hope",Middle Tennessee,Memphis,,
82,,87.0,Braxton Crouse,WR,6-1,180.0,R-Jr.,"Collierville, TN / Collierville",Middle Tennessee,Memphis,,
83,,89.0,Brandon Buckner,DE,6-0,255.0,R-So.,"Charlotte, NC / Chandler",Middle Tennessee,Oregon,,
84,,91.0,Parker Hughes,LB,6-2,211.0,R-So.,"Elizabethton, TN / Elizabethton",Middle Tennessee,,,
85,,92.0,Damonte Smith,DL,6-3,280.0,R-So.,"Savannah, GA / Island",Middle Tennessee,,,
86,,93.0,Vincent Dinkins,DT,6-1,274.0,R-So.,"Kennesaw, GA / Kell HS",Middle Tennessee,,,
87,,94.0,Ralph Mency,DE,6-2,255.0,Jr.,"Jacksonville, FL / Robert E. Lee Senior HS",Middle Tennessee,,,
88,,95.0,Tyrece Edwards,DT,6-2,281.0,R-So.,"Knoxville, TN / West",Middle Tennessee,,,
89,,96.0,Kasey Bonds,DT,5-8,264.0,R-Fr.,"Bolivar, TN / Bolivar Central",Middle Tennessee,,,
90,,97.0,Quindarius Dunnigan,DE,6-4,253.0,R-Jr.,"Chattanooga, TN / McCallie",Middle Tennessee,,,
91,,99.0,Trey Turk,P,6-1,203.0,Jr.,"Murfreesboro, TN / Oakland",Middle Tennessee,Mercer,,
92,,,Anthony Bynum,DL,6-3,260.0,Fr.,"Covington, GA / Newton",Middle Tennessee,,,
93,,,Ethan Crite,WR,6-2,180.0,Fr.,"Roswell, GA / Roswell",Middle Tennessee,,,
94,,,James Jackson III,S,6-0,180.0,Fr.,"Pahokee, FL / Pahokee",Middle Tennessee,,,
95,,,Markel James,LB,6-2,207.0,Fr.,"Wacissa, FL / John Paul Catholic",Middle Tennessee,,,
96,,,Cam'ron Lacy,WR,5-8,155.0,Fr.,"Toccoa, GA / Stephens County",Middle Tennessee,,,
97,,,Jekail Middlebrook,RB,5-9,175.0,Fr.,"Fayetteville, GA / Langston Hughes",Middle Tennessee,,,
98,,,Ja'Darious Morris,DT,6-1,270.0,Fr.,"Fort Valley, GA / Peach County",Middle Tennessee,,,
99,,,Kalani Norris,WR,6-0,170.0,R-Jr.,"Miami, FL / Christopher Columbus",Middle Tennessee,Georgia Tech,,
100,,,Justin Olson,WR,6-2,200.0,R-Jr.,"Huntersville, NC / North Mecklenberg",Middle Tennessee,North Carolina,,
101,,,Isaac Rue,OL,6-6,290.0,Fr.,"Muscle Shoals, AL / Muscle Shoals",Middle Tennessee,,,
