,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown,High School,Previous School,Instagram,Twitter,Image,Name,Title
34,,37.0,Christian Masterson,DB,5-11,188.0,R-So.,"Naples, FL",Gulf Coast,,christianmasterson,Cmasterson_7,,,
35,,37.0,Ian Ver Steeg,WR,6-0,180.0,R-Fr.,"Severn, MD",Archbishop Spalding,,_ianvs_,_ianvs_,,,
36,,38.0,Trent Nicholson,DB,5-11,172.0,R-So.,"Sammamish, WA",Eastlake,,trent.nicholson,Trent8Nicholson,,,
37,,38.0,Nick Ragano,WR,6-0,176.0,R-So.,"Clifton, VA",Centreville,,nick.ragano,nickragano_,,,
38,,40.0,Gavin Ellis,TE,6-5,238.0,R-So.,"Hampstead, NC",Topsail,,gavin_ellis8,Gavin_Ellis8,,,
39,,41.0,John Peterson III,DB,5-11,190.0,R-So.,"Elon, NC",Episcopal,,john_petersoniii,,,,
40,,41.0,Will Towns,RB,5-11,203.0,R-So.,"Jackson, NJ",Jackson Memorial,,willltowns,WillTowns,,,
41,,42.0,Tommy Bebie,LB,6-0,214.0,R-Fr.,"Rocky River, OH",Rocky River,,t_bebie4,tommybebie1,,,
42,,42.0,Zach Igwebe,RB,6-0,200.0,R-So.,"Clarksville, MD",River Hill,,zach.igwebe,zigwebe2021,,,
43,,43.0,Mason Andrade,RB,5-11,212.0,R-Fr.,"Watertown, MA",Watertown,,,,,,
44,,43.0,BJ Williams,DL,6-4,255.0,R-So.,"Johnston, S.C.",Strom Thurmond,,bj.will,BJ_Williams12,,,
45,,44.0,Ryan Dupont,TE,6-1,240.0,R-So.,"Roswell, GA",Blessed Trinity,,ryandupont1,ryandupont33,,,
46,,44.0,Justin Williams,DL,6-2,282.0,R-Jr.,"Seffner, FL",Armwood,,jay__will44,,,,
47,,45.0,Nick Andersen,DB,5-11,194.0,R-So.,"Clifton, VA",Centreville,,nickando45,NickAndo1004,,,
48,,45.0,Jacobi Gilbert,DB,5-10,195.0,R-So.,"Atlanta, GA",Westlake,,cobi_exe,JacobiGilbert,,,
49,,45.0,Andrew Gregerson,WR,6-2,180.0,R-Fr.,"Minneapolis, MN",Southwest,,,,,,
50,,46.0,Kevin Check,TE,6-5,210.0,R-Fr.,"Mclean, VA",The Potomac School,,,,,,
51,,48.0,Max Miller,LB,6-0,218.0,R-So.,"Frankfort, IL",Fork Union Military Academy,,max7miller,max21miller,,,
52,,48.0,Wesley Stroebel,WR,6-1,185.0,R-Fr.,"Cedarburg, WI",Cedarburg,,,,,,
53,,49.0,Cody Cater,DB,6-1,200.0,R-So.,"Charlotte, NC",Providence Day School,,cody_cater,Cody_Cater_,,,
54,,50.0,Dylan Hazen,LB,6-1,230.0,R-So.,"The Woodlands, TX",The Woodlands College Park,,hazen.twtx,The_DHazen,,,
55,,51.0,Luke White,LB,6-0,190.0,R-Fr.,"Los Gatos, CA",Los Gatos,,,,,,
56,,52.0,Spencer Clapp,OL,6-6,295.0,R-Sr.,"Gibsonville, NC",Eastern Guilford,,clapp4metwo,clapp4metwo,,,
57,,53.0,Carter Broers,DL,6-4,240.0,R-Fr.,"North Sioux City, SD",IMG Academy,,,,,,
58,,54.0,Matt Gulbin,OL,6-4,308.0,R-So.,"Wilton, Conn.",Wilton,,gulbinm79,GulbinMatt,,,
59,,55.0,Michael Jurgens,OL,6-4,296.0,R-Sr.,"Damascus, MD",Damascus,,michael_jurgens,Michael_jurgens,,,
60,,56.0,Mark Balbis,LB,6-1,219.0,R-So.,"Jupiter, FL",Jupiter,,markbalbis,BalbisMark,,,
61,,56.0,Brandon Hoyle,DL,6-2,222.0,R-Fr.,"Shelby, NC",Shelby,,,,,,
62,,57.0,Sebastien Pierre,OL,6-0,280.0,R-Fr.,"Norwalk, CT",Norwalk,,,,,,
63,,58.0,Matthew Lusardi,DL,6-2,220.0,R-Fr.,"Basking Ridge, NJ",,,,,,,
64,,60.0,Hampton Tanner,OL,6-3,276.0,R-So.,"Fernandina Beach, FL",Fernandina Beach,,hampp_56,Hampp_56,,,
65,,62.0,DeVonte Gordon,OL,6-5,308.0,R-Jr.,"Washington, DC",Maret School,,superstar.vonte,superstar_vonte,,,
