,Number,Name,Position,Height,Weight,Class,Hometown,High school,Previous School,Twitter,Instagram
86,80.0,Lukas Vozeh,TE,6-4,246 lbs.,Freshman,"Franklin Lakes, N.J.",IMG Academy,,,
87,81.0,Aaron Morton,WR,5-8,177 lbs.,Redshirt Sophomore,"Cincinnati, Ohio",Loveland,,,
88,82.0,Landon Samson,WR,6-0,187 lbs.,Redshirt Freshman,"Southlake, Texas",Southlake Carroll,,,
89,84.0,Nick Elksnis,TE,6-6,252 lbs.,Redshirt Sophomore,"Jacksonville, Fla",Episcopal,Florida,,
90,85.0,Eddie Lewis,WR,6-0,185 lbs.,Graduate Student,"Harlem, NY",Mater Dei HS,Memphis,,
91,86.0,Reid Mikeska,TE,6-6,242 lbs.,Freshman,"Cypress, TX.",Bridgeland,,,
92,87.0,Joseph Morris,WR,6-0,192 lbs.,Redshirt Sophomore,"Camden, S.C.",Camden,North Greenville,,
93,89.0,O'Mega Blake,WR,6-2,190 lbs.,Redshirt Sophomore,"Rock Hill, S.C.",South Pointe,,,
94,90.0,T.J. Sanders,DT,6-5,300 lbs.,Redshirt Sophomore,"Marion, S.C.",Marion,,,
95,91.0,Tonka Hemingway,DT,6-3,290 lbs.,Senior,"Conway, S.C.",Conway,,,
96,93.0,Nick Barrett,DT,6-3,325 lbs.,Junior,"Goldsboro, N.C.",Eastern Wayne,,,
97,94.0,Demetrius Watson,DT,6-3,285 lbs.,Redshirt Freshman,"Charleston, S.C.",Fort Dorchester,,,
98,95.0,Alex Huntley,DT,6-4,305 lbs.,Redshirt Junior,"Blythewood, S.C.",Hammond School,,,
99,98.0,Mitch Jeter,PK,5-10,197 lbs.,Senior,"Salisbury, N.C.",Cannon School,,,
100,99.0,D'Andre Martin,DT,6-4,305 lbs.,Redshirt Freshman,"Durham, N.C.",Life Christian Academy,,,
0,,Shane Beamer,Head Football Coach,,,,,,,@CoachSBeamer,-
1,,Pete Lembo,Associate Head Coach/Special Teams Coordinator,,,,,,,-,-
2,,Dowell Loggains,Offensive Coordinator/Quarterbacks Coach,,,,,,,-,-
3,,Clayton White,Defensive Coordinator/Inside Linebackers Coach,,,,,,,-,-
4,,Montario Hardesty,Running Backs Coach,,,,,,,-,-
5,,Justin Stepp,Wide Receivers Coach,,,,,,,-,-
6,,Jody Wright,Tight Ends Coach,,,,,,,-,-
7,,Jimmy Lindsey,Defensive Line Coach,,,,,,,-,-
8,,Sterling Lucas,Defensive Ends/Outside Linebackers Coach,,,,,,,-,-
9,,Torrian Gray,Defensive Backs Coach,,,,,,,-,-
10,,Lonnie Teasley,Offensive Line Coach,,,,,,,-,-
