,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Current School Name,Previous School,Major,Image,Name,Title
68,,91.0,Pat Caughey,Defensive Line,6-5,264.0,So.,"Essex Fells, N.J. / Delbarton School",Stanford,,Undeclared,,,
69,,92.0,Lance Keneley,Outside Linebacker,6-4,250.0,Sr.,"Mission Viejo, Calif. / Mission Viejo",Stanford,,Mechanical Engineering,,,
70,,94.0,Anthony Franklin,Defensive Line,6-3,281.0,Jr.,"Phoenix, Ariz. / Pinnacle",Stanford,,Undeclared,,,
71,,95.0,Aristotle Taylor,Defensive Line,6-7,260.0,Jr.,"Birmingham, Mich. / Brother Rice",Stanford,,Undeclared,,,
72,,97.0,Zach Rowell,Defensive Line,6-3,281.0,So.,"San Diego, Calif. / Torrey Pines",Stanford,,Undeclared,,,
73,,98.0,Zach Buckey,Defensive Line,6-3,260.0,Jr.,"Bakersfield, Calif. / Garces Memorial",Stanford,,Undeclared,,,
74,,99.0,Zephron Lester,Defensive Line,5-11,297.0,Sr.,"Far Rockaway, N.Y. / Christ the King",Stanford,,Sociology,,,
0,,,,,,,,,Stanford,,,,Troy Taylor,Bradford M. Freeman Director of Football
1,,,,,,,,,Stanford,,,,Bobby April,Willie Shaw Director of Defense/Outside Linebackers
2,,,,,,,,,Stanford,,,,Bob Gregory,Couch Family Safeties Coach/Special Teams Coordinator
3,,,,,,,,,Stanford,,,,Malcolm Agnew,Running Backs
4,,,,,,,,,Stanford,,,,Nate Byham,Tight Ends
5,,,,,,,,,Stanford,,,,Mark D’Onofrio,Inside Linebackers
6,,,,,,,,,Stanford,,,,Al Netter,Co-Offensive Line Coach
7,,,,,,,,,Stanford,,,,Viane Talamaivao,Co-Offensive Line Coach
8,,,,,,,,,Stanford,,,,Ross Kolodziej,Defensive Line
9,,,,,,,,,Stanford,,,,Tyler Osborne,The Krishnamurthi Wide Receivers Coach and Assistant Quarterbacks Coach
10,,,,,,,,,Stanford,,,,Paul Williams,Cornerbacks
11,,,,,,,,,Stanford,,,,Ryan Deatrick,Kissick Family Director of Football Sports Performance
12,,,,,,,,,Stanford,,,,Ryan Bright,Defensive Quality Control Analyst
13,,,,,,,,,Stanford,,,,Dylan Cruz,Offensive Quality Control Analyst
14,,,,,,,,,Stanford,,,,Corey Edsall,Offensive Quality Control Analyst
15,,,,,,,,,Stanford,,,,Tsuyoshi Kawata,Offensive Quality Control Analyst
16,,,,,,,,,Stanford,,,,Dorian Keller,Offensive Quality Control Analyst
17,,,,,,,,,Stanford,,,,Jonathan McDonald,Defensive Graduate Assistant
18,,,,,,,,,Stanford,,,,Thomas Merkle,Offensive Graduate Assistant
19,,,,,,,,,Stanford,,,,Jacob Russell,Defensive Graduate Assistant
20,,,,,,,,,Stanford,,,,Anthony Lazard,Assistant Director of Football Sports Performance & Applied Sport Science Coordinator
21,,,,,,,,,Stanford,,,,Tristan McLaren,Assistant Director of Football Sports Performance
22,,,,,,,,,Stanford,,,,Dorian Parris,Assistant Director of Football Sports Performance
23,,,,,,,,,Stanford,,,,Austin Sparks,Assistant Director of Football Sports Performance
0,,,,,,,,,Stanford,,,,Matt Doyle,Senior Associate Athletics Director • Football Operations and Player Development
1,,,,,,,,,Stanford,,,,Garrett Wolfe,Director of Football Operations
2,,,,,,,,,Stanford,,,,Preston Pehrson,Director of Recruiting and Player Personnel
