,Statistic,#,Full Name,Pos.,Ht.,Wt.,Class,Hometown / High School,Previous School,Instagram,Twitter,Image,Name,Title
76,,62.0,Okino King,OL,6-3,305.0,R-Fr.,"Miami, Fla. / Northwestern",,,king_real55,,,
77,,64.0,Federico Maranges,OL,6-4,297.0,R-Jr.,"Dorado, Puerto Rico / Columbus",,federicomaranges,FedeMaranges,,,
78,,66.0,Deshawn Richardson,OL,6-4,295.0,R-Jr.,"Pahokee, Fla. / Pahokee",,drich_54,D_RICH54,,,
79,,67.0,Andre Lamas,OL,6-3,309.0,Jr.,"Miami, Fla. / Columbus",,andrelamas_lxiii,AndreLamas7,,,
80,,68.0,Issa Hamideh,OL,6-3,297.0,R-So.,"Delray Beach, Fla. / Boca Raton",,issadasnipa_,Issa_Hamideh,,,
81,,70.0,Malcolm Lamar,DL,6-5,313.0,R-Sr.,"Seffner, Fla. / Armwood",Florida State,pmd_bigmalc,mlamar35,,,
82,,71.0,Chaz Neal,OL,6-8,315.0,R-Sr.,"Tampa, Fla. / Wesley Chapel",Florida State,chazneal99,ChazNeal99,,,
83,,73.0,Alex Atcavage,OL,6-5,300.0,Jr.,"Honesdale, Pa. / IMG Academy",,alexatcavage,AlexAtcavage,,,
84,,74.0,Jordan Sandlin,OL,6-6,274.0,R-So.,"Tampa, Fla. / Tampa Catholic",,sandlinjordan,sandlin_jordan,,,
85,,75.0,Marquice Robinson,OL,6-4,320.0,R-Sr.,"Decatur, Ala. / Austin",,king_quice75,kingquice_75,,,
86,,77.0,Wallace Unamba,OL,6-6,332.0,Jr.,"Rowlett, Texas / Rowlett",Kilgore Community College,,,,,
87,,78.0,Dorian Hinton,OL,6-4,317.0,R-Jr.,"Naples, Fla. / Naples",Middle Tennessee,dhinton78,,,,
88,,79.0,Kamaar Bell,OL,6-2,300.0,R-Jr.,"Moultrie, Ga. / Colquitt County",Auburn,7.kub.9,BKamaar,,,
89,,79.0,Deondrick Harper,DL,6-4,290.0,R-Jr.,"St. Petersburg, Fla. / Canterbury",,dharp79,deonthegoat35,,,
90,,80.0,Kobe Stewart,WR,6-3,191.0,R-So.,"Atlanta, Ga. / Narbonne",,0pen24hr,kob3__,,,
91,,81.0,A.J. Jenkins,WR,6-3,190.0,Fr.,"Fort Lauderdale, Fla. / Dillard",,,,,,
92,,83.0,Omari Hayes,WR,5-9,165.0,R-Fr.,"Sarasota, Fla. / Venice",,omari.1,Omarihayes4,,,
93,,84.0,BJ Alexander,WR,6-3,198.0,R-Sr.,"Miami Gardens, Fla. / Chaminade Madonna",Kentucky,b.j.__,Bj__4,,,
94,,85.0,Jymetre Hester,WR,5-10,160.0,Jr.,"Belle Glade, Fla. / Glades Central",Mississippi Gulf Coast CC,,jymetrehester,,,
95,,86.0,Jahmal Edrine,WR,6-3,210.0,R-So.,"Fort Lauderdale, Fla. / Fort Lauderdale",,jahmallll,EdrineJahmal,,,
96,,88.0,Marvin Landy,TE,6-4,235.0,Sr.,"Lakeland, Fla. / Jenkins",Tarleton,mightymarv9,landymarvin,,,
97,,90.0,Decarius Hawthorne,DL,6-2,295.0,Jr.,"Birmingham, Ala. / Center Point",,dee.jh90,DeCariusH_53,,,
98,,91.0,Travis Lockhart,DL,6-3,280.0,R-So.,"Albany, Ga. / Carrollton",,,lockhart_travis,,,
99,,92.0,Kiemar Richardson,DL,6-5,255.0,Fr.,"Arcadia, Fla. / Desoto High School",Georgia Military College,,,,,
100,,93.0,Kareem Wilson,DL,6-4,245.0,R-Fr.,"Miami, Fla. / Gulliver Prep",,,,,,
101,,95.0,Marlon Bradley,DE,6-4,240.0,R-Jr.,"Deltona, Fla. / Deltona",,i95_marlo,murantula,,,
102,,97.0,Jaden Wheeler,DL,6-3,287.0,Jr.,"Nashville, Ga. / Berrien",,jaywheel97,ASAPJADEN_41,,,
103,,98.0,Dorien Josey,DE,6-2,283.0,R-Jr.,"Southwest Brevard County, Fla. / Rockledge",,,BigDorienJosey,,,
104,,99.0,Tre Jackson,OLB,6-3,237.0,R-Sr.,"Winter Haven, Fla. / West Orange",,supahjit,SupahJit,,,
0,,,,,,,,,,,,,Tom Herman,Hagerty Family Head Football Coach
1,,,,,,,,,,,,,Roc Bellantoni,Defensive Coordinator/LB
2,,,,,,,,,,,,,Charlie Frye,Offensive Coorinator/QB
3,,,,,,,,,,,,,Brandon Harris,Co-Defensive Coordinator/Cornerbacks
4,,,,,,,,,,,,,Ed Warinner,Associate Head Coach/Run Game Coordinator/OL
5,,,,,,,,,,,,,Chad Lunsford,Tight Ends Coach and Special Teams Coordinator
6,,,,,,,,,,,,,David Beaty,Wide Receivers Coach
7,,,,,,,,,,,,,Derrick Gibson,Safeties
8,,,,,,,,,,,,,"Roosevelt Maggitt, Jr.",Defensive Line
9,,,,,,,,,,,,,Chris Perkins,Running Backs
0,,,,,,,,,,,,,Matt Smidebush,"Chief of Staff, Football"
1,,,,,,,,,,,,,Jeff Love,Director of Player Personnel
2,,,,,,,,,,,,,Regine Hill,Assistant Director of Player Development
3,,,,,,,,,,,,,Julie Reed,Director of Football Operations
4,,,,,,,,,,,,,Matt Wiesner,Director of Recruiting/NFL Liaison
5,,,,,,,,,,,,,Shane Marinelli,Director of High School Relations
6,,,,,,,,,,,,,Tyler Fambrough,Senior Offensive Analyst/Special Assistant to the Head Coach
7,,,,,,,,,,,,,Faith Padgett,Director of On-Campus Recruiting
8,,,,,,,,,,,,,Gabriel Marinas,Director of Football Video
9,,,,,,,,,,,,,Kevin Johnson,Analyst (Special Teams)
10,,,,,,,,,,,,,Jordan Helm,Defensive Analyst
11,,,,,,,,,,,,,Michael Cibene,Defensive Analyst
12,,,,,,,,,,,,,Clay Williams,Director of Football Creative
13,,,,,,,,,,,,,Nathan Hinkley,Director of Equipment
14,,,,,,,,,,,,,Ryan Beer,Scouting Coordinator
