,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Current School Name,Previous School,Twitter,Instagram,Custom Field 1,Image,Name,Title
54,,33.0,Watson Cusick,RB,5-11,200.0,Fr.,"Austin, Texas / Lake Travis",Charlotte,,,,,,,
55,,33.0,Aidan Laros,K,6-2,205.0,R-Fr.,"Chapel Hill, N.C. / Northwood",Charlotte,,,,,,,
56,,34.0,Collin Frank,TE,6-1,235.0,Fr.,"Winston-Salem, N.C. / Oak Grove",Charlotte,,,,,,,
57,,36.0,Uriah West,DB,6-0,190.0,R-So.,"Lexington, S.C. / River Bluff",Charlotte,Carson-Newman,,,,,,
58,,37.0,Bailey Rice,P,6-1,200.0,So.,"Melbourne, Australia / Hallam Senior College",Charlotte,,,,,,,
59,,38.0,Jamari Broady,DB,5-10,160.0,Fr.,"Rockingham, N.C. / Richmond",Charlotte,,,,,,,
60,,38.0,Hahsaun Wilson,RB,5-10,180.0,R-Fr.,"Florence, SC / South Florence",Charlotte,,,,,,,
61,,39.0,Teddy Creecy III,CB,6-1,190.0,R-Jr.,"Charlotte, N.C. / Mallard Creek HS",Charlotte,UNC Pembroke,,,,,,
62,,40.0,Reid Williford,LB,6-2,210.0,Fr.,"Franklin, Tenn. / Christ Presbyterian Academy",Charlotte,,,,,,,
63,,41.0,Luke Raykovicz,DB,6-3,190.0,Fr.,"Waxhaw, N.C. / Marvin Ridge",Charlotte,,,,,,,
64,,42.0,Emmanuel Balogun,DL,6-7,270.0,Jr.,"Oshogba, Nigeria / Saint Frances Acad./Fork Union",Charlotte,Marshall,,,,,,
65,,43.0,Isaiah Turnage,LB,6-0,230.0,R-Fr.,"Winterville, N.C. / South Central",Charlotte,,,,,,,
66,,44.0,Grant Gonya,P,6-2,212.0,Sr.,"Hudson, Ohio / Hudson",Charlotte,Youngstown State / John Carroll,,,,,,
67,,45.0,Nico Crawford,LS,6-2,240.0,R-Fr.,"Dublin, Ohio / Dublin Scioto",Charlotte,Illinois,,,,,,
68,,46.0,Omari Orgertrice,DB,6-1,205.0,Fr.,"Mooresville, N.C. / Mooresville Senior",Charlotte,,,,,,,
69,,47.0,Chase Monroe,LB,6-2,212.0,R-Sr.,"Huntersville, N.C. / Davidson Day",Charlotte,Wake Forest,,,,,,
70,,48.0,Malik Puryear,DL,6-5,262.0,Jr.,"Greensboro, N.C. / High Point Christian",Charlotte,Wake Forest / Coahoma,,,,,,
71,,50.0,Ja'Khi Green,OL,6-6,290.0,R-So.,"Palmer Park, Md. / Saint Frances Acad.",Charlotte,Maryland,,,,,,
72,,50.0,Darion Smith,DL,6-4,240.0,R-So.,"St. Louis, Mo. / Trinity Catholic",Charlotte,,,,,,,
73,,51.0,B.J. Ragland,DL,6-2,290.0,R-Fr.,"Chattanooga, Tenn. / Red Bank",Charlotte,,,,,,,
