,Statistic,No.,Name,Pos.,Ht.,Wt.,Class,Hometown / High School,Current School Name,Previous School,Image,Title
49,,43.0,Jack Sauder,K,5-10,175.0,Jr.,"Franklin, Tenn. / Battleground Academy",Bowling Green,,,
50,,44.0,Harold Fannin Jr.,TE,6-4,230.0,So.,"Canton, Ohio / McKinley",Bowling Green,,,
51,,45.0,Rocco Hicks,TE,6-4,250.0,So.,"Overland Park, Kan. / Blue Valley West",Bowling Green,,,
52,,46.0,James Miller,ILB,6-1,220.0,Sr.,"Gaylord, Mich. / Gaylord",Bowling Green,,,
53,,47.0,George Carlson,LS,6-1,215.0,So.,"Woodstock, Ill. / Marian Central",Bowling Green,,,
54,,48.0,Myles Bradley,OLB,6-0,220.0,R-Fr.,"Mansfield, Ohio / Mansfield",Bowling Green,,,
55,,50.0,Alex Wollschlaeger,OT,6-7,290.0,Jr.,"Aurora, Illinois / Oswego East",Bowling Green,,,
56,,51.0,Cedric Dunbar II,OT,6-5,325.0,Sr.,"Natchez, Miss. / Cathedral HS",Bowling Green,Jackson State,,
57,,51.0,Chris Williams,ILB,6-2,205.0,Jr.,"Alpharetta, Ga. / King's Ridge Christian",Bowling Green,,,
58,,52.0,Kitione Tau,DL,6-0,285.0,Sr.,"Concord, Calif. / Pittsburg HS",Bowling Green,Laney CC,,
59,,53.0,Tunde Fatukasi,OT,6-5,300.0,Jr.,"Far Rockaway, N.Y. / Erasmus Hall HS",Bowling Green,Rutgers,,
60,,54.0,Anthony Hawkins,DL,6-2,290.0,Sr.,"Mansfield, Ohio / Mansfield Senior",Bowling Green,,,
61,,55.0,James Thomas Jr.,DL,6-5,290.0,Fr.,"Fairfield, Ohio / Fairfield HS",Bowling Green,,,
62,,56.0,Armon Bethea,OL,6-5,285.0,So.,"Brooklyn, N.Y. / Erasmus Hall HS",Bowling Green,Arizona State,,
63,,57.0,Alex Padgett,OT,6-6,315.0,So.,"Avon Lake, Ohio / Avon Lake",Bowling Green,,,
64,,60.0,Dontrez Brown,DL,6-3,295.0,Sr.,"Fremont, Ohio / Fremont Ross",Bowling Green,,,
65,,64.0,Bronson Warner,OG,6-3,305.0,Jr.,"Chaska, Minn. / Eden Prairie HS",Bowling Green,Abilene Christian,,
66,,65.0,Jake Burns,OG,6-2,300.0,Jr.,"Akron, Ohio / Archbishop Hoban",Bowling Green,Cincinnati,,
67,,72.0,Cade Zimmerly,C/OG,6-1,295.0,So.,"Perrysburg, Ohio / Perrysburg",Bowling Green,,,
68,,76.0,Kameren Stewart,OT,6-6,285.0,Sr.,"Irmo, S.C. / Dutch Fork HS",Bowling Green,Coastal Carolina,,
69,,79.0,Darius Gaddy,OT,6-9,330.0,So.,"Atlanta, Ga. / Meadowcreek",Bowling Green,Southwest Ohio Preparatory Academy,,
70,,81.0,Bryce Boyer,TE,6-3,230.0,So.,"Whitehouse, Ohio / Anthony Wayne",Bowling Green,,,
71,,82.0,Zach Russell,TE,6-3,250.0,So.,"East Point, Ky. / Johnson Central",Bowling Green,,,
72,,84.0,Dom Grguric,WR,6-0,175.0,So.,"Cuyahoga Fall, Ohio / Walsh Jesuit",Bowling Green,Valparaiso,,
73,,86.0,Ian Drummond,TE,6-4,240.0,Sr.,"Lewis Center, Ohio / Olentangy HS",Bowling Green,Elon,,
74,,89.0,Andrew Bench,TE,6-5,250.0,Sr.,"Elmore, Ohio / Genoa",Bowling Green,,,
75,,90.0,Davonte Miles,DL,6-5,275.0,R-Fr.,"River Rouge, Mich. / River Rouge HS",Bowling Green,,,
76,,91.0,Nate Pabst,DL,6-5,275.0,So.,"Springdale, Ohio / Archbishop Moeller",Bowling Green,,,
77,,98.0,Alan Anaya,K,5-6,180.0,So.,"Mexico City, Mexico / ITESM Queretaro",Bowling Green,,,
78,,99.0,Ali Saad,DL,6-3,265.0,Jr.,"Dearborn, Mich. / Dearborn",Bowling Green,Minnesota,,
79,,99.0,Sami Sir,P,6-2,210.0,So.,"Melbourne, Australia / Essendon Keilor College",Bowling Green,,,
0,,,Scot Loeffler,,,,,,Bowling Green,,,Head Coach
1,,,Steve Morrison,,,,,,Bowling Green,,,Co-Defensive Coordinator (Inside Linebackers)
2,,,Sammy Lawanson,,,,,,Bowling Green,,,Co-Defensive Coordinator (Outside Linebackers)
3,,,Greg Nosal,,,,,,Bowling Green,,,Co-Offensive Coordinator/Run Game Coordinator (Offensive Line)
4,,,Max Warner,,,,,,Bowling Green,,,Co-Offensive Coordinator (Quarterbacks)
5,,,Alex Bayer,,,,,,Bowling Green,,,Special Teams Coordinator (Tight Ends)
6,,,Julian Campenni,,,,,,Bowling Green,,,Assistant Head Coach/Defensive Run Coordinator (Defensive Line)
7,,,Erik Campbell,,,,,,Bowling Green,,,Passing Game Coordinator (Wide Receivers)
8,,,Derrick Jackson,,,,,,Bowling Green,,,Defensive Pass Game Coordinator (Secondary)
9,,,Beyah Rasool,,,,,,Bowling Green,,,Assistant Coach (Cornerbacks) and Special Teams Assistant
10,,,Brian White,,,,,,Bowling Green,,,Assistant Coach (Running Backs)
11,,,Kevin Tolbert,,,,,,Bowling Green,,,Football Sports Performance Coach
12,,,Grant Strock,,,,,,Bowling Green,,,Offensive Graduate Assistant
13,,,Brady Thomas,,,,,,Bowling Green,,,Defensive Graduate Assistant
0,,,Damaris Linker,,,,,,Bowling Green,,,Director of Football Operations
1,,,Chris Haase,,,,,,Bowling Green,,,Director of Player Personnel/Recruiting Coordinator
2,,,Dani Coppes,,,,,,Bowling Green,,,Head Football Athletic Trainer
3,,,Tony Palmieri,,,,,,Bowling Green,,,Football Video Coordinator
4,,,Chrissy Steffen,,,,,,Bowling Green,,,Assistant AD for Student-Athlete Services
